file, node, defect, ratio, # of sides
L_1_C001H001S0001000001.jpg, 17531, 8.954893e-02, 6.731429e-01, 5.948862e+00 
L_2_C001H001S0001000001.jpg, 27217, 8.054427e-02, 6.740495e-01, 5.938495e+00 
L_3_C001H001S0001000001.jpg, 23876, 8.364602e-02, 6.742158e-01, 5.946116e+00 
L_4_C001H001S0001000001.jpg, 23297, 8.348672e-02, 6.761864e-01, 5.935299e+00 
L_5_C001H001S0001000001.jpg, 25744, 8.839215e-02, 6.691502e-01, 5.921993e+00 
L_6_C001H001S0001000001.jpg, 12126, 8.447009e-02, 6.632946e-01, 5.907187e+00 
L_7_C001H001S0001000001.jpg, 28453, 9.375966e-02, 6.721285e-01, 5.927797e+00 
L_8_C001H001S0001000001.jpg, 24496, 9.160095e-02, 6.755233e-01, 5.942379e+00 
A_10_C001H001S0001000001.tif, 2508, 9.250162e-02, 6.336444e-01, 5.882262e+00 
A_1_C001H001S0001000001.tif, 3695, 1.033251e-01, 6.580344e-01, 5.826943e+00 
A_2_C001H001S0001000001.tif, 4045, 7.975576e-02, 6.497733e-01, 5.881901e+00 
A_3_C001H001S0001000001.tif, 3401, 1.268184e-01, 6.579753e-01, 5.866894e+00 
A_4_C001H001S0001000001.tif, 3992, 8.217279e-02, 6.619145e-01, 5.890785e+00 
A_5_C001H001S0001000001.tif, 4672, 1.087566e-01, 6.646157e-01, 5.875519e+00 
A_6_C001H001S0001000001.tif, 5026, 1.159314e-01, 6.640570e-01, 5.866102e+00 
A_7_C001H001S0001000001.tif, 3689, 9.310247e-02, 6.501363e-01, 5.885142e+00 
A_8_C001H001S0001000001.tif, 3893, 9.267302e-02, 6.651332e-01, 5.841066e+00 
A_9_C001H001S0001000001.tif, 4111, 8.634863e-02, 6.503237e-01, 5.904038e+00 
C_10_C001H001S0001000001.tif, 4861, 1.084726e-01, 6.482026e-01, 5.880990e+00 
C_1_C001H001S0001000001.tif, 3392, 9.575185e-02, 6.484580e-01, 5.896552e+00 
C_2_C001H001S0001000001.tif, 2448, 9.410561e-02, 6.427181e-01, 5.876387e+00 
C_3_C001H001S0001000001.tif, 2972, 9.384542e-02, 6.546921e-01, 5.864671e+00 
C_4_C001H001S0001000001.tif, 3326, 7.620315e-02, 6.358965e-01, 5.896835e+00 
C_5_C001H001S0001000001.tif, 3350, 1.066133e-01, 6.395409e-01, 5.895288e+00 
C_6_C001H001S0001000001.tif, 4018, 9.739809e-02, 6.539652e-01, 5.854127e+00 
C_7_C001H001S0001000001.tif, 4408, 8.338619e-02, 6.480663e-01, 5.858144e+00 
C_8_C001H001S0001000001.tif, 4165, 7.818231e-02, 6.554190e-01, 5.883396e+00 
C_9_C001H001S0001000001.tif, 3745, 9.534463e-02, 6.449132e-01, 5.882780e+00 
E_10_C001H001S0001000001.tif, 4096, 8.113452e-02, 6.455884e-01, 5.869565e+00 
E_1_C001H001S0001000001.tif, 3392, 8.182358e-02, 6.572492e-01, 5.885387e+00 
E_2_C001H001S0001000001.tif, 3332, 1.034451e-01, 6.495105e-01, 5.903869e+00 
E_3_C001H001S0001000001.tif, 2943, 1.055415e-01, 6.335373e-01, 5.903119e+00 
E_4_C001H001S0001000001.tif, 3638, 1.201970e-01, 6.617148e-01, 5.833421e+00 
E_5_C001H001S0001000001.tif, 3114, 1.065725e-01, 6.495908e-01, 5.919395e+00 
E_6_C001H001S0001000001.tif, 2692, 9.956766e-02, 6.450734e-01, 5.918427e+00 
E_7_C001H001S0001000001.tif, 4043, 1.023404e-01, 6.511882e-01, 5.866986e+00 
E_8_C001H001S0001000001.tif, 3324, 9.898925e-02, 6.474214e-01, 5.856065e+00 
E_9_C001H001S0001000001.tif, 4222, 9.590371e-02, 6.518667e-01, 5.873336e+00 
G_10_C001H001S0001000001.tif, 2891, 8.898909e-02, 6.514163e-01, 5.885676e+00 
G_1_C001H001S0001000001.tif, 4075, 9.755901e-02, 6.581864e-01, 5.867996e+00 
G_2_C001H001S0001000001.tif, 3650, 1.006838e-01, 6.441716e-01, 5.862361e+00 
G_3_C001H001S0001000001.tif, 3969, 1.167053e-01, 6.409358e-01, 5.872133e+00 
