file, number of nodes, angular defect, isoperimetric ratio, average number of sides
OA_1_C001H001S0001000001.jpg, 135, 3.583198e-02, 6.074051e-01, 5.546667e+00 
OA_2_C001H001S0001000001.jpg, 5, -1, 8.862426e-02, 3.200000e+00 
OA_3_C001H001S0001000001.jpg, -1, -1, -1, -1 
OA_4_C001H001S0001000001.jpg, 16, -1, 5.302070e-01, 4.545455e+00 
OA_5_C001H001S0001000001.jpg, 14, -1, 5.160435e-01, 4.400000e+00 
OA_6_C001H001S0001000001.jpg, 39, -1, 4.920441e-01, 5.217391e+00 
OA_7_C001H001S0001000001.jpg, 24, -1, 3.152998e-01, 4.933333e+00 
OB_1_C001H001S0001000001.jpg, 570, 1.649960e-01, 2.888067e-01, 5.724590e+00 
OB_2_C001H001S0001000001.jpg, 121, 1.998397e-02, 4.177883e-01, 5.400000e+00 
OB_3_C001H001S0001000001.jpg, 2, -1, -1, 2 
OB_4_C001H001S0001000001.jpg, -1, -1, -1, -1 
OB_5_C001H001S0001000001.jpg, 13, -1, 3.588890e-01, 4.444444e+00 
OB_6_C001H001S0001000001.jpg, 44, -1, 5.090888e-01, 5.230769e+00 
OB_7_C001H001S0001000001.jpg, 14, -1, 5.151190e-01, 4.181818e+00 
OC_1_C001H001S0001000001.jpg, 972, 1.178075e-01, 3.886156e-01, 5.811395e+00 
OC_2_C001H001S0001000001.jpg, 47, -1, 5.373977e-01, 5.214286e+00 
OC_3_C001H001S0001000001.jpg, 116, 3.796077e-02, 5.241186e-01, 5.507692e+00 
OC_4_C001H001S0001000001.jpg, 55, -1, 5.153960e-01, 5.312500e+00 
OC_5_C001H001S0001000001.jpg, 37, 1.918454e-01, 3.743757e-01, 5.181818e+00 
OC_6_C001H001S0001000001.jpg, 67, 1.072160e-01, 5.029521e-01, 5.333333e+00 
OC_7_C001H001S0001000001.jpg, 26, -1, 4.462987e-01, 4.666667e+00 
OD_1_C001H001S0001000001.jpg, 866, 2.138323e-01, 5.850602e-01, 5.840000e+00 
OD_2_C001H001S0001000001.jpg, 927, 9.263513e-02, 5.994750e-01, 5.830228e+00 
OD_3_C001H001S0001000001.jpg, 1265, 1.512490e-01, 5.844969e-01, 5.838906e+00 
OD_4_C001H001S0001000001.jpg, 1058, 1.537283e-01, 5.827971e-01, 5.833031e+00 
OD_5_C001H001S0001000001.jpg, 1170, 9.330605e-02, 5.994798e-01, 5.873964e+00 
OD_6_C001H001S0001000001.jpg, 1383, 9.838060e-02, 5.886031e-01, 5.884669e+00 
OD_7_C001H001S0001000001.jpg, 453, 1.380122e-01, 5.888557e-01, 5.822034e+00 
OE_1_C001H001S0001000001.jpg, 1503, 2.206723e-01, 5.582122e-01, 5.757196e+00 
OE_2_C001H001S0001000001.jpg, 1781, 1.416893e-01, 5.934343e-01, 5.817597e+00 
OE_3_C001H001S0001000001.jpg, 15848, 8.616108e-02, 6.583268e-01, 5.927624e+00 
OE_4_C001H001S0001000001.jpg, 14014, 9.390815e-02, 6.674652e-01, 5.930435e+00 
OE_5_C001H001S0001000001.jpg, 1675, 7.655296e-02, 5.848937e-01, 5.841561e+00 
OE_6_C001H001S0001000001.jpg, 1535, 1.020802e-01, 5.871871e-01, 5.813433e+00 
OE_7_C001H001S0001000001.jpg, 1094, 1.289097e-01, 5.705226e-01, 5.838313e+00 
OF_1_C001H001S0001000001.jpg, 2019, 1.247183e-01, 5.671559e-01, 5.820076e+00 
OF_2_C001H001S0001000001.jpg, 8166, 9.414997e-02, 6.195223e-01, 5.927833e+00 
OF_3_C001H001S0001000001.jpg, 2365, 1.534309e-01, 5.588194e-01, 5.829822e+00 
OF_4_C001H001S0001000001.jpg, 1734, 1.362917e-01, 5.919512e-01, 5.810781e+00 
OF_5_C001H001S0001000001.jpg, 2143, 1.028639e-01, 5.567213e-01, 5.823214e+00 
OF_6_C001H001S0001000001.jpg, 6175, 1.008923e-01, 6.074067e-01, 5.909436e+00 
OF_7_C001H001S0001000001.jpg, 3261, 1.406991e-01, 5.939219e-01, 5.884386e+00 
