Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310695,4431.90362958443,-20
1310206,5419.36890158062,-204
1307621,8126.77701558537,-213
1302678,10282.1669823748,-115
1296929,12217.751486627,-113
1291018,13526.7185615021,-68
1285604,14511.4752297151,-105
1280831,15341.640407838,-121
1276884,15919.7170573103,-98
1273539,16339.2752258756,-125
1270645,16818.7604643356,-122
1268182,17366.8707739387,-129
1265987,17877.0192373368,-118
1264016,18217.5420124826,-101
1262148,18586.933950124,-101
1260519,18939.7208932762,-103
1259000,19267.8582907553,-107
1257630,19584.056842799,-136
1256403,19907.9188069266,-124
1255254,20202.1724503217,-106
1254145,20478.289771147,-100
1253029,20754.4860284644,-81
1251998,21028.3260912917,-67
1250940,21261.0232470144,-56
1249945,21439.7810872222,-36
1249083,21569.778848168,-5
1248247,21724.5609078081,25
1247501,21840.9932104628,46
1246768,22032.9122498983,58
1246069,22210.2340468003,105
1245406,22327.7443736239,104
1244692,22472.8158009782,146
1244073,22555.269064774,158
1243452,22684.8856866198,177
1242819,22772.8203892765,201
1242225,22811.5676336448,223
1241641,22883.6432717297,245
1241090,22923.9613124247,264
1240487,23033.213398551,275
1239988,23072.1117442232,292
1239469,23077.2610888326,287
1238930,23133.7798649534,300
1238386,23170.749395162,296
1237900,23166.53655002,323
1237464,23202.6975621019,328
1236972,23216.5652230008,324
1236495,23261.421431409,336
1236066,23286.1662618572,344
1235573,23343.4935561048,375
1235159,23407.9057821057,375
1234693,23428.3982991658,389
1234219,23482.853506802,400
1233731,23477.3951879043,419
1233262,23473.2381592912,455
1232786,23423.8370114893,460
1232354,23403.4561274871,462
1231886,23352.6025880968,479
1231440,23285.8505158884,474
1231018,23234.8064069481,500
1230630,23132.218645229,499
1230240,23073.8595667391,509
1229855,23038.5561176323,513
1229501,22991.4948160378,504
1229158,22874.3723999947,502
1228825,22853.0550165252,525
1228476,22771.4987839506,528
1228170,22726.1266834212,542
1227870,22657.6921818283,549
1227587,22600.920247948,544
1227310,22545.2590348022,556
1227030,22506.7418282301,569
1226745,22471.5009673327,590
1226474,22429.556313782,599
1226189,22392.1892961905,615
1225911,22349.7056305553,619
1225639,22345.5880701883,632
1225422,22352.3082111245,632
1225170,22320.7248350018,644
1224922,22291.4023685943,655
1224708,22248.6328486341,649
1224449,22199.9054659378,661
1224239,22172.3443654072,661
1224010,22118.2934168343,658
1223779,22091.668815771,651
1223550,22065.6785115672,653
1223315,22018.6008616899,669
1223060,21973.6099002606,662
1222822,21920.3838180972,671
1222609,21906.9598845077,698
1222388,21839.327129361,702
1222152,21776.1767253985,706
1221917,21711.8597841726,713
1221693,21655.1831350673,709
1221457,21602.433476779,708
1221262,21544.7808599604,710
1221058,21510.0558911841,713
1220846,21446.6591011427,721
1220620,21408.4672171417,714
1220459,21372.3620215887,730
1220281,21313.4081144855,726
1220087,21264.3390609352,740
1219905,21171.4455832191,741
1219723,21152.4843942398,747
1219554,21104.1218023607,744
1219384,21047.7541275438,739
1219221,20997.1700941957,735
1219066,20969.7995632151,740
1218927,20922.5476920706,741
1218768,20886.5377812926,744
1218594,20857.5801057024,740
1218430,20790.256324844,743
1218280,20761.1638962326,746
1218119,20719.8698878242,751
1217970,20661.241303292,755
1217802,20595.5836035354,762
1217649,20534.1387489209,757
1217500,20486.4268021841,749
1217348,20439.674474878,752
1217207,20404.9495061018,758
1217076,20392.6921097757,766
1216931,20380.7600360208,775
1216791,20367.1618811641,784
1216646,20326.5185178979,785
1216472,20308.5169483492,795
1216328,20282.6219289204,798
1216170,20241.748527858,809
1215983,20238.2816126333,806
1215812,20206.0081231223,799
1215657,20156.994886101,790
1215463,20122.920562467,790
1215281,20083.8085272815,788
1215085,20052.5899419761,797
1214894,20006.9483354045,798
1214691,19914.5544015268,798
1214488,19852.64947132,787
1214278,19802.200190993,797
1214087,19747.4591290317,799
1213902,19707.791733479,798
1213705,19683.6022633981,808
1213534,19648.3219342546,805
1213337,19578.0307820098,821
1213139,19520.1875956411,824
1212932,19443.9385806602,811
1212773,19386.5160016377,800
1212592,19312.1236373087,795
1212410,19237.4059504086,792
1212245,19162.2281879162,776
1212074,19135.6825233451,774
1211913,19075.6737120362,768
1211737,19022.3686933806,758
1211585,18976.0927899496,751
1211431,18920.0504377038,745
1211305,18888.8318523984,755
1211140,18839.8580836231,754
1210985,18756.5010169256,734
1210854,18695.4209531283,739
1210711,18636.276476475,751
1210563,18604.5978155774,752
1210418,18553.4189536159,753
1210284,18509.8245672462,750
1210162,18452.3067034486,744
1210029,18406.3397743058,745
1209890,18352.5188635291,746
1209756,18337.3893805917,755
1209616,18287.7649666742,761
1209472,18255.4914771632,766
1209338,18224.828252225,768
1209227,18189.8732456527,771
1209092,18162.1773921009,768
1208942,18115.940956916,769
1208831,18081.771348507,763
1208682,18016.8595786677,754
1208548,17979.318339809,747
1208426,17924.5214613189,747
1208271,17893.3192242963,730
1208148,17876.4447237649,733
1208016,17826.511335559,727
1207884,17777.6886680878,725
1207770,17717.3545342077,716
1207638,17654.7036740836,714
1207504,17614.9804620019,715
1207386,17559.4934701234,704
1207254,17481.6341905697,689
1207139,17430.8201194255,685
1207014,17420.3240889762,676
1206899,17363.4963385671,665
1206762,17334.6502960347,655
1206654,17323.178297872,653
1206549,17307.5492710963,657
1206428,17287.168387094,635
1206309,17267.5960212185,630
1206185,17240.9714201552,614
1206063,17231.1260348482,610
1205937,17205.5563379905,606
1205806,17179.5660337867,602
1205654,17164.032291786,592
1205509,17128.5219248463,581
1205334,17107.3556426807,563
1205191,17093.852772599,562
1205067,17061.674567863,558
1204903,17022.1813935775,542
1204737,17006.0922912095,528
1204577,16994.7550460679,519
1204432,16972.842833985,511
1204276,16950.4705463098,496
1204117,16926.2416079828,482
1203970,16860.3538704301,454
1203828,16844.3995210832,422
1203648,16824.1928583481,413
1203475,16798.1630858982,388
1203323,16755.488850713,366
1203148,16739.2255270778,347
1202987,16739.1302423027,331
1202823,16741.867575893,310
1202655,16763.5102819337,286
1202485,16766.5171215662,263
1202335,16791.3014202605,257
1202179,16776.5530764231,238
1202044,16775.7676782597,229
1201883,16783.3521538515,212
1201706,16805.5502202594,183
1201565,16837.2683494032,154
1201419,16879.06190165,131
1201256,16944.8543544277,111
1201089,16976.3982623043,85
1200919,17015.0896901436,64
1200769,17073.7577429218,40
1200587,17131.1966702272,-3
1200409,17222.7493894126,-31
1200242,17343.2829041516,-78
1200056,17454.0663183586,-112
1199860,17554.1236643203,-140
1199664,17681.1867504453,-181
1199403,17822.7123260827,-223
1199155,18012.3309875569,-283
1198869,18218.0782196451,-331
1198559,18550.4679305123,-442
1198256,18906.3406497892,-524
1197899,19301.9365811478,-651
1197477,19889.625773209,-827
1196961,20587.2176965389,-1010
1196384,21562.1329462035,-1267
1195635,22811.8873463721,-1610
1194705,24565.24429027,-2112
1193480,26896.6029139066,-2718
1191927,29987.7837136509,-3577
1189993,33922.8733378351,-4572
1187391,39301.4603557095,-5916
1184202,45849.4120784414,-7466
1179795,54951.883169514,-9598
1174093,66330.725436183,-12013
1166870,80542.0080310628,-14844
1157726,98206.0065767725,-18096
1146502,119172.814885481,-21663
0,0,0
