Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310606,4642.4585354281,-77
1309701,5877.84573085944,-155
1307158,7735.14077160942,-138
1303013,9549.77792545699,-106
1297962,11356.4359212518,-134
1292452,12906.8511647048,-101
1287313,13594.0451472824,11
1283120,13644.7503902907,-16
1279723,13753.3382879138,-11
1277044,13841.2757954924,-52
1274942,14090.6269905528,-51
1273106,14300.6823525581,-51
1271484,14600.2364418665,-66
1269989,14868.2697432617,-77
1268573,15196.5582420447,-86
1267208,15470.8352605009,-80
1265978,15707.2851857734,-80
1264762,15969.0516501442,-88
1263626,16239.5922473335,-78
1262619,16398.9451712524,-89
1261633,16583.0265773367,-94
1260744,16741.7356277938,-97
1259869,16907.9107491043,-95
1258965,17037.5600675157,-111
1258126,17179.141459682,-120
1257391,17263.8556331929,-138
1256676,17367.6888686677,-125
1256055,17485.8267206703,-129
1255418,17601.0530178155,-126
1254832,17765.0230459398,-146
1254282,17920.2025929628,-145
1253693,18070.4628331725,-144
1253136,18249.6249324436,-154
1252569,18400.5916343245,-168
1251998,18570.8121511904,-166
1251441,18701.5000255245,-154
1250961,18821.4387116501,-146
1250498,18971.5247305926,-152
1249960,19120.904287864,-172
1249480,19245.93650207,-185
1249001,19405.7726215444,-175
1248558,19515.6195362841,-174
1248122,19688.2289442058,-193
1247687,19818.9889833517,-203
1247224,19963.6724999255,-209
1246775,20092.2110976023,-218
1246368,20247.2000750753,-233
1245940,20436.4934139783,-241
1245474,20592.5536439397,-244
1245025,20788.0906999038,-249
1244553,20961.6597272561,-239
1244065,21159.0370855892,-231
1243565,21342.7931691023,-234
1243069,21530.3251421285,-222
1242564,21691.7715261759,-210
1242102,21843.9837018125,-204
1241609,22025.8273181449,-188
1241133,22155.5324530852,-187
1240629,22293.3052591727,-186
1240172,22400.0269295417,-177
1239708,22544.5756930943,-190
1239256,22702.4367571786,-190
1238799,22844.1134341199,-205
1238343,22898.0854462006,-203
1237926,22996.4372428144,-208
1237512,23123.8651197567,-190
1237093,23238.9008473518,-194
1236676,23334.015766537,-190
1236302,23466.9414306231,-182
1235938,23539.8582834003,-164
1235569,23635.1079556066,-160
1235189,23721.6229632405,-145
1234812,23845.9650640581,-152
1234469,23918.1523352008,-139
1234123,23978.8281399348,-131
1233790,24057.9328932442,-125
1233427,24151.5723008776,-123
1233104,24270.995094882,-119
1232751,24376.0506841491,-109
1232408,24468.9278135824,-95
1232077,24568.3672109674,-87
1231748,24631.6128997049,-67
1231416,24699.9521165228,-56
1231085,24789.204457747,-49
1230772,24878.1151281172,-41
1230405,24961.1074039974,-26
1230049,25052.3742688578,-9
1229707,25144.0617410644,1
1229367,25205.3160261289,14
1228999,25282.120401477,40
1228663,25298.209503845,50
1228336,25336.782526946,79
1227984,25347.7386329875,94
1227661,25345.2871537223,97
1227340,25418.2992912745,104
1227032,25439.3866369479,117
1226717,25462.5443227865,126
1226422,25494.8736288265,124
1226096,25515.905157971,144
1225786,25522.9342731955,165
1225485,25533.4303036447,182
1225213,25601.9600900126,189
1224950,25598.9532503801,188
1224685,25617.7238698095,200
1224414,25645.9750837285,217
1224139,25660.0727824236,247
1223866,25674.4168671976,259
1223635,25693.9728847903,272
1223377,25736.7818729966,275
1223121,25726.7459181397,299
1222870,25752.4503680185,299
1222627,25757.3533265489,306
1222379,25768.7300399365,316
1222128,25759.7258693219,325
1221880,25763.0580315255,333
1221629,25792.189928383,336
1221388,25826.2642520169,335
1221136,25876.8877536112,348
1220903,25932.1283594107,343
1220660,25949.3676507594,354
1220396,25998.9757163941,342
1220142,26000.2606583958,341
1219870,26030.1779534167,351
1219608,26089.5919361122,350
1219334,26141.0171841526,353
1219040,26193.7668424409,361
1218771,26204.318689419,363
1218434,26269.2304592583,385
1218109,26308.2472096688,402
1217781,26338.0297516685,408
1217443,26405.393000773,432
1217098,26405.3535325269,432
1216751,26436.3257317533,438
1216373,26430.0425464462,462
1216033,26446.4964396314,472
1215646,26455.3658572249,494
1215278,26474.9613430638,502
1214896,26486.0916703724,521
1214556,26491.1851984529,529
1214184,26468.1064491065,537
1213823,26447.2096729831,546
1213476,26394.6505842448,546
1213128,26388.1768293876,546
1212784,26352.7059306941,555
1212463,26328.4769923671,556
1212141,26313.6728320008,564
1211829,26295.0369655926,559
1211531,26261.2321480009,556
1211225,26245.6820577173,570
1210952,26290.9425251888,565
1210705,26301.0342965747,562
1210439,26297.1073057577,563
1210180,26279.5426918379,555
1209924,26260.5256863297,572
1209634,26265.4286448601,577
1209336,26267.8801241253,592
1209044,26248.7841821248,576
1208773,26235.3207802892,588
1208514,26252.980678984,596
1208230,26243.6906540443,591
1207962,26233.7105157163,578
1207684,26296.9167362077,576
1207392,26301.9939160053,577
1207105,26301.7638782092,566
1206835,26317.7018792733,578
1206585,26322.8348755998,573
1206313,26350.9908047438,566
1206057,26323.8503115593,564
1205798,26304.5801482916,569
1205544,26269.165066127,571
1205261,26297.320995271,575
1205004,26257.9231057605,567
1204796,26267.1736624541,567
1204497,26297.6857860883,571
1204242,26332.1807170684,570
1203978,26351.3719438439,569
1203715,26353.6328535591,570
1203439,26350.8165834766,580
1203164,26379.757910784,587
1202891,26402.7644953187,592
1202623,26435.8233829931,591
1202387,26426.6681110746,598
1202148,26428.2783756475,606
1201883,26429.6191341781,605
1201604,26423.3196005881,604
1201342,26395.6400953192,594
1201075,26422.8758732787,581
1200829,26412.0545202583,583
1200588,26396.7113478076,579
1200331,26392.1895283773,590
1200056,26378.5913735206,587
1199780,26396.1165191943,595
1199509,26394.0461790291,577
1199238,26390.4281625004,585
1198966,26402.5902740515,586
1198686,26426.1127507073,588
1198437,26431.761639155,582
1198134,26447.9065580519,563
1197837,26467.3278226235,549
1197512,26484.5276457261,518
1197171,26485.3525121356,519
1196884,26540.323611893,508
1196555,26522.6637131982,501
1196244,26509.6767352376,476
1195893,26565.2195436451,461
1195553,26569.011781441,454
1195222,26579.3172423401,425
1194864,26637.1767769917,403
1194522,26639.3587502147,370
1194154,26653.5122654386,333
1193826,26691.5693964185,307
1193477,26776.957335035,294
1193121,26835.6812043422,276
1192760,26874.5632017315,261
1192373,26929.5506497717,229
1191994,26978.1990959758,183
1191645,27048.1649256494,141
1191261,27144.8901094075,103
1190886,27226.7716645532,77
1190514,27350.5815249668,44
1190124,27503.5790987668,6
1189759,27643.2085555062,-20
1189370,27733.4763326899,-44
1188992,27910.893414367,-92
1188599,28092.046917311,-152
1188212,28279.6741751122,-194
1187809,28438.6854281772,-255
1187416,28584.5586019777,-302
1187002,28757.7791867955,-345
1186585,29002.2505432887,-421
1186184,29254.4411283948,-499
1185754,29560.7615985659,-579
1185340,29784.0897928568,-651
1184858,30157.3692530691,-755
1184334,30609.8882196119,-854
1183778,31089.8335336642,-969
1183232,31495.925495472,-1069
1182636,32039.1723147907,-1190
1182016,32644.0150900279,-1355
1181348,33364.1467506197,-1537
1180575,34301.5765779546,-1784
1179749,35343.2371281471,-2054
1178785,36616.0240377355,-2361
1177692,38316.1808243552,-2769
1176375,40468.7122478942,-3337
1174757,43261.6267052538,-4045
1172799,46721.239823209,-4877
1170274,51420.4366334547,-5974
1167483,56573.8810795544,-7139
1163586,64091.7362652846,-8812
1158702,73557.9436338704,-10740
1152443,85492.3323893522,-13106
1144719,100125.61505546,-15915
1135256,117649.296835964,-18906
0,0,0
