Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310673,4489.00088603585,-39
1310060,5676.77141950545,-241
1306975,8712.01472838139,-199
1301417,10893.8156067208,-81
1295200,12043.8503650231,14
1289669,12796.3863013885,-36
1285209,13057.5376221045,-88
1281574,13483.0604250863,-63
1278516,13728.6915471625,-61
1276037,14077.0288356961,-74
1273847,14477.3467326374,-69
1271932,14843.2554067713,-60
1270211,15217.0671073876,-73
1268551,15598.3679988206,-84
1266921,16012.4813918491,-91
1265364,16388.7349951282,-66
1263843,16594.4196390071,-41
1262520,16741.5941030922,-28
1261298,16907.0396427682,-7
1260192,17019.2917968466,-22
1259155,17181.500459094,-19
1258174,17341.6455528568,-9
1257163,17464.5910786149,34
1256142,17520.6334308607,42
1255240,17511.7245450211,61
1254369,17538.0632917593,67
1253543,17551.661446616,60
1252826,17552.6210660466,55
1252138,17574.2637720873,56
1251505,17618.1603610649,49
1250879,17704.1036600488,57
1250252,17781.7329018064,67
1249669,17806.2871627045,70
1249131,17885.3129795217,57
1248613,17974.5095042169,77
1248105,18024.9424362611,71
1247591,18089.1246244659,86
1247054,18153.425217409,92
1246580,18190.6806019427,99
1246088,18187.4273762313,106
1245648,18182.7708037798,97
1245197,18156.3762405126,102
1244796,18199.9311586362,98
1244414,18271.1819303116,99
1244003,18302.3841673342,102
1243621,18328.716142392,101
1243250,18393.0330836179,97
1242840,18457.675347415,87
1242459,18528.2754739481,87
1242025,18574.3213395831,86
1241586,18633.8306070536,101
1241149,18719.6949695452,107
1240703,18749.1916572199,127
1240246,18743.368547505,141
1239785,18749.0963724449,141
1239353,18747.9298351814,159
1238922,18765.2807595879,156
1238475,18805.7335533041,162
1238068,18794.1268021203,177
1237650,18808.3197855904,164
1237244,18839.0061304918,193
1236828,18822.6311737987,201
1236454,18782.6384556748,198
1236086,18782.1225635537,209
1235721,18798.1163811467,218
1235383,18782.2573165748,223
1235044,18802.9240549021,215
1234711,18810.3343092266,213
1234377,18813.4364336341,212
1234125,18800.2588861235,218
1233819,18768.1759661626,219
1233521,18774.919227062,237
1233250,18762.1228186515,247
1232954,18757.1640435922,261
1232695,18783.0985312671,263
1232431,18777.8865984484,263
1232157,18772.9047034258,264
1231868,18770.1837181183,271
1231590,18813.5085984458,269
1231324,18825.1942861218,273
1231054,18844.4249811434,265
1230786,18857.9278512251,280
1230533,18858.7132493885,274
1230280,18869.2487480838,276
1230030,18903.4183564927,271
1229762,18898.7059675123,268
1229480,18928.1631869409,270
1229199,18969.9009226588,260
1228918,19000.5872675602,280
1228627,19046.0777728279,284
1228341,19053.2021728274,293
1228049,19070.4809324221,312
1227752,19076.6293647082,323
1227488,19084.9039536883,320
1227220,19094.098693853,331
1226961,19060.5797305863,327
1226693,19091.6472145878,341
1226389,19096.129565772,344
1226114,19129.3232064676,343
1225838,19139.9145216918,340
1225564,19119.1919668356,351
1225319,19113.7336479379,358
1225072,19139.6123190839,363
1224860,19159.723697044,371
1224599,19160.4138104323,387
1224330,19136.3196251264,383
1224082,19136.1848721053,394
1223839,19139.3033447956,394
1223613,19118.2718156511,389
1223385,19129.1721051636,403
1223174,19165.1820159416,412
1222968,19170.8703726354,408
1222729,19194.9482096585,425
1222531,19170.8145561065,428
1222311,19155.2808141058,431
1222133,19138.9058574127,431
1221924,19118.5644416566,448
1221698,19110.3293209226,455
1221494,19110.3293209226,451
1221292,19107.5525190862,449
1221072,19103.7602812904,455
1220858,19071.1220009621,455
1220661,19081.2927088402,461
1220438,19057.9444534515,450
1220205,19061.5066534513,462
1219997,19029.4632017364,475
1219761,19032.0494340227,489
1219504,19039.8081308817,496
1219256,19011.8822395338,502
1219017,18995.872073658,511
1218753,18984.0352846781,527
1218488,18974.4199371673,546
1218182,18940.5593030467,559
1217937,18888.959833739,564
1217655,18842.4933607579,575
1217394,18809.1091505123,589
1217124,18767.4503512866,593
1216840,18708.5917289584,597
1216591,18675.6839425879,597
1216341,18603.2829819319,599
1216087,18562.3142960946,606
1215871,18539.251895031,603
1215625,18463.1934496002,598
1215390,18399.7177230666,598
1215144,18338.5981910232,605
1214925,18308.9667503274,601
1214692,18201.2854605278,600
1214475,18135.5324759962,603
1214274,18054.0157116677,600
1214084,18027.2958258294,587
1213899,17948.00050297,582
1213732,17898.7572281526,578
1213551,17846.3723606815,577
1213339,17791.8613365164,578
1213156,17770.2186304757,578
1212974,17739.0163934531,572
1212783,17699.6579721887,578
1212604,17639.537527822,573
1212426,17601.8057194133,579
1212239,17580.1630133726,578
1212049,17556.719473209,588
1211873,17517.5516214946,591
1211673,17485.2386637374,594
1211501,17439.2717345947,595
1211317,17403.66608288,590
1211123,17352.1618983474,578
1210956,17303.2439461011,579
1210778,17274.611593082,587
1210607,17247.4710998975,585
1210446,17199.2990775685,584
1210243,17156.1089502621,596
1210043,17133.4508082619,604
1209850,17106.1197455274,615
1209664,17086.8332339769,622
1209479,17047.8001352836,625
1209289,17017.7875554878,629
1209108,16982.6977958943,627
1208912,16953.3916777696,623
1208728,16880.4190084635,646
1208550,16848.0502341775,641
1208372,16801.6232294425,648
1208186,16744.3748716871,651
1208003,16680.3832530323,640
1207828,16633.551989234,644
1207655,16592.5438351506,644
1207488,16575.7088028653,654
1207320,16521.5231012713,652
1207130,16458.2774125338,637
1206962,16406.7732280012,637
1206789,16365.4397513466,630
1206624,16316.5612673464,627
1206439,16249.4675242841,614
1206241,16189.8629720386,620
1206062,16156.3440087719,618
1205887,16121.8490777918,618
1205699,16116.8903027325,617
1205520,16077.6271662431,614
1205342,16030.0894407735,610
1205141,15981.9568866906,615
1204954,15961.2901483634,606
1204741,15915.5137887706,610
1204541,15850.4114493813,623
1204331,15795.2497800739,622
1204137,15759.1282362381,613
1203934,15710.630891338,604
1203741,15648.2495372561,595
1203528,15583.1471978667,581
1203349,15528.7314584767,569
1203143,15469.6427983523,570
1202943,15428.6904607978,555
1202741,15370.9262109213,555
1202556,15320.3979941021,547
1202365,15292.242064958,539
1202187,15260.4844675682,523
1202004,15197.9125439363,521
1201805,15154.9129861799,514
1201642,15141.045325281,500
1201497,15110.2078790756,484
1201302,15095.6895730344,473
1201115,15081.4013047893,459
1200938,15083.4321767084,454
1200784,15063.3207987484,440
1200614,15070.7147047901,424
1200442,15067.4220108326,414
1200290,15072.8639814474,410
1200090,15095.0062313265,393
1199916,15081.6381142659,387
1199759,15098.7031843474,378
1199600,15098.1478239801,367
1199451,15098.1478239801,359
1199276,15121.0754720225,350
1199096,15149.2314011666,341
1198929,15192.6515662691,325
1198747,15245.4570410863,300
1198586,15257.159077045,281
1198385,15315.557623781,266
1198179,15413.3935282736,242
1197970,15524.0258411767,197
1197766,15588.6122884449,166
1197506,15804.2443740862,85
1197199,16121.409317241,0
1196827,16585.2164840768,-139
1196410,17144.1385700978,-317
1195869,18091.9364465413,-614
1195155,19415.6067871638,-1013
1194170,21301.6661290321,-1543
1192846,23917.9162063124,-2295
1191036,27698.9764724542,-3317
1188789,32461.2977617772,-4522
1185525,39324.2950426503,-6127
1181296,48189.7608480832,-8175
1175711,59723.5295040157,-10659
1168675,73814.9264243769,-13428
1159627,91280.3906510924,-16623
0,0,0
