Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310718,4372.91025423507,-1
1310680,4461.95567762638,-25
1310232,5247.99819573416,-156
1308346,7163.17589109896,-196
1304895,8623.59963509097,-2
1301541,8774.49697708207,15
1298965,8864.71851433919,-28
1296946,9040.59072457461,-38
1295219,9341.42975588478,-64
1293758,9587.02818139537,-75
1292569,9769.93627853574,-76
1291442,10061.8500757235,-79
1290413,10242.5761996409,-75
1289436,10473.6794390735,-80
1288510,10702.8470913622,-91
1287638,10901.5257399798,-87
1286739,11120.9105951709,-87
1285887,11285.9518757836,-93
1285097,11407.9541303939,-93
1284372,11613.2576351727,-104
1283681,11833.9995971773,-116
1283016,11966.0772748906,-128
1282373,12115.8774395081,-136
1281695,12305.2824114689,-131
1281008,12520.4380732352,-123
1280307,12680.4416422964,-123
1279701,12770.70941948,-129
1279131,12871.8938344591,-126
1278626,13065.4000185042,-124
1278158,13213.8199563449,-104
1277682,13342.0890479795,-101
1277197,13445.4390878987,-99
1276701,13565.6472800665,-93
1276243,13643.1975853319,-85
1275792,13717.3762601476,-88
1275387,13807.0165121522,-98
1274986,13862.4082192557,-85
1274608,13954.9369061546,-91
1274192,14015.5963626058,-95
1273794,14117.2639731404,-96
1273386,14181.025553999,-91
1272988,14275.529296288,-95
1272583,14342.7183241253,-89
1272190,14376.2536356748,-102
1271840,14446.6795409407,-113
1271499,14523.658137556,-120
1271148,14628.6579102942,-122
1270799,14719.2346617662,-127
1270467,14856.0478484232,-128
1270108,14997.2875697355,-129
1269708,15126.6115655757,-131
1269319,15230.152175045,-135
1268902,15316.0165375366,-129
1268455,15425.3244401918,-151
1268057,15531.3791171357,-153
1267622,15668.1364872637,-166
1267223,15768.5191557966,-171
1266817,15882.1746566149,-177
1266383,16023.9860865773,-159
1266000,16102.5354795194,-162
1265606,16175.9287561717,-160
1265245,16241.9117784995,-162
1264863,16342.9845604207,-179
1264498,16458.7662179331,-186
1264154,16557.8639444642,-187
1263823,16634.0571429161,-182
1263469,16760.0095083066,-188
1263127,16869.9911760675,-184
1262762,17020.8231249273,-192
1262409,17138.6751226049,-199
1262067,17274.5681580774,-220
1261744,17413.5238497112,-218
1261411,17529.7492345331,-209
1261072,17639.8030671056,-222
1260729,17748.2697550686,-211
1260395,17843.7889333171,-204
1260050,17949.9947115649,-216
1259725,18102.9364688359,-222
1259388,18266.9854334524,-223
1259074,18434.7313510898,-228
1258751,18594.5674705642,-225
1258421,18756.8714175867,-234
1258086,18933.7331388964,-237
1257764,19070.5463255534,-227
1257406,19237.197870739,-237
1257024,19389.0847238045,-230
1256682,19551.1981012769,-226
1256284,19759.5479139343,-228
1255912,19927.6355024256,-213
1255571,20056.5552392025,-220
1255195,20213.7098416156,-192
1254840,20354.6964051686,-196
1254472,20470.8986700272,-184
1254106,20595.2802390909,-170
1253730,20759.2107989691,-145
1253334,20885.2979173807,-142
1252986,20976.7553517911,-122
1252608,21056.4712819967,-112
1252203,21114.3702848943,-100
1251833,21201.7496271838,-84
1251445,21272.6750762881,-73
1251083,21325.115760288,-60
1250761,21413.1062794737,-52
1250433,21455.6621099206,-40
1250081,21534.8226797589,-25
1249747,21573.7604936772,-9
1249406,21652.6352091904,16
1249083,21691.5730231087,20
1248760,21763.9345155186,35
1248457,21830.0917591136,41
1248140,21908.7922533596,52
1247810,21974.02934577,63
1247479,21989.3888665036,82
1247201,22022.1618998529,89
1246901,22030.7618114042,110
1246604,22102.2426208757,120
1246299,22138.4036329577,132
1246011,22166.1784230016,143
1245727,22223.3478442648,132
1245418,22256.0582894048,134
1245114,22285.0390849583,153
1244834,22269.8306655287,161
1244516,22280.2872277318,174
1244204,22288.7129180159,177
1243857,22309.9350167104,178
1243518,22321.311730098,193
1243196,22333.9897337702,215
1242863,22315.163297812,235
1242475,22306.5633862607,248
1242112,22339.0669135678,268
1241705,22358.9482537317,282
1241313,22368.2777469175,297
1240899,22394.9976327558,321
1240427,22368.3172151636,339
1239959,22371.4029912883,346
1239479,22297.4475825882,340
1239024,22262.5715125081,357
1238573,22214.8037492424,368
1238118,22186.6478200984,377
1237684,22188.0116985923,402
1237256,22184.1636442676,424
1236822,22093.9122153667,452
1236436,22044.113580182,456
1236059,21995.7509883029,477
1235674,21927.5234045428,487
1235315,21867.6888145012,504
1234980,21810.3220520075,499
1234615,21733.7082462095,503
1234268,21689.0031391052,517
1233927,21630.3745545731,534
1233597,21556.3469810613,537
1233256,21511.1423301187,537
1232932,21464.5411041165,537
1232595,21420.7003316678,548
1232264,21381.2629739112,554
1231943,21297.2552620714,563
1231658,21260.9431486856,583
1231355,21191.358458112,599
1231037,21152.976004561,615
1230729,21071.8634992958,617
1230408,21014.1550659482,632
1230098,20968.1323202766,645
1229775,20892.0738748458,659
1229474,20820.9973244376,663
1229188,20771.9840874163,679
1228915,20695.3702816182,671
1228635,20626.8404952503,686
1228368,20539.635374228,698
1228088,20457.3726799822,720
1227814,20364.7650565911,726
1227551,20278.5195549995,731
1227290,20188.5376321408,754
1227017,20110.1229922198,759
1226741,20009.2407798487,759
1226471,19941.1874173558,768
1226224,19842.2013238825,766
1225976,19754.9962028602,765
1225725,19681.9282487791,750
1225482,19608.4165673885,755
1225225,19531.7074768155,761
1224992,19390.4514072203,759
1224774,19292.3296484027,761
1224556,19205.5451347265,758
1224340,19119.2206966427,748
1224134,19040.5760189256,738
1223900,18966.1673063138,743
1223675,18897.4074821497,751
1223446,18780.5545721488,750
1223236,18707.1381755332,744
1223030,18649.1833561067,744
1222839,18593.371041657,753
1222621,18541.4857180243,759
1222420,18462.039293861,770
1222200,18372.9380539408,777
1221967,18292.1672195296,771
1221756,18199.4643113635,772
1221520,18105.6506824629,768
1221322,18022.2772674826,769
1221128,17977.9206029127,786
1220917,17879.2598320106,775
1220693,17768.8970251498,772
1220478,17680.5417151468,770
1220283,17628.8469610642,768
1220092,17557.5009046138,769
1219904,17499.7530030201,767
1219722,17429.7082368542,765
1219509,17351.0077426082,768
1219324,17258.9391313016,769
1219135,17183.2454766881,769
1218949,17097.4763989714,775
1218755,17016.054919418,769
1218564,16943.598142233,764
1218383,16848.7296091268,751
1218193,16756.6215295741,749
1218013,16708.1078363911,750
1217831,16623.258909859,753
1217658,16558.0054691658,763
1217490,16509.912383329,756
1217310,16456.0520043062,750
1217147,16398.6688935297,745
1217003,16356.914809529,749
1216833,16291.9077549147,744
1216673,16235.8654026689,734
1216531,16190.8744412396,725
1216371,16169.1364504238,723
1216187,16142.6466023816,717
1216030,16143.050861445,718
1215881,16109.9919737705,713
1215721,16047.5711514426,695
1215560,16036.043336751,698
1215413,15998.8274204635,688
1215229,15971.2663199328,694
1215069,15931.6383926262,699
1214898,15878.737633034,692
1214736,15854.548162953,691
1214536,15863.0922579754,664
1214349,15818.3871508711,647
1214160,15849.2640653226,627
1213922,15882.7272120603,595
1213678,15979.8961231278,537
1213418,16148.5063754208,455
1213149,16385.6858823278,373
1212761,16822.2572712041,217
1212361,17354.3083700829,52
1211776,18284.3115948104,-253
1211078,19502.2362327774,-613
1210127,21266.0565105589,-1115
1208831,23831.5714531871,-1808
1207213,27089.6473792742,-2646
1205039,31546.7589191606,-3801
1202089,37593.1226217995,-5225
1198127,45718.5359582306,-7100
1193068,55838.2385150163,-9212
1186674,68271.5608602516,-11611
0,0,0
