Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310717,4375.5917712964,-2
1310639,4563.71857293597,-56
1309632,6172.88477241796,-231
1306542,8443.91883877685,-70
1302229,9298.17539728381,59
1297935,9922.66270320831,-6
1293908,10319.1094258615,15
1290517,10501.8991182636,-20
1287604,10993.1816774574,-42
1284980,11267.714658595,-38
1282807,11526.9901754545,-80
1280971,11924.5149222766,-73
1279188,12351.8847993078,-121
1277544,12755.4463453582,-144
1275940,13200.4761210843,-107
1274551,13519.0308676182,-128
1273264,13832.5873708466,-135
1272053,14190.3167407754,-112
1270963,14482.6184487436,-112
1269943,14772.9614496046,-129
1268934,15044.8264570417,-129
1267949,15335.8432230082,-122
1266959,15541.1698477504,-134
1266029,15796.9784493851,-131
1265161,15952.6575402464,-120
1264335,16090.0424355535,-136
1263558,16272.2277227399,-137
1262830,16432.8655886605,-151
1262195,16584.0786766204,-151
1261547,16720.2412181351,-162
1260865,16918.9198667528,-169
1260223,17087.5464673285,-172
1259655,17221.9081747203,-174
1259054,17441.5230677075,-162
1258503,17590.9747897906,-163
1257973,17708.652566201,-173
1257442,17828.7818218766,-169
1256952,17974.2902048598,-162
1256455,18100.9163353559,-152
1255956,18201.759079481,-140
1255450,18355.9231905445,-145
1254939,18519.3215100187,-154
1254464,18667.146619246,-165
1253993,18828.2282124761,-169
1253534,18936.694900439,-187
1253078,19054.3168603205,-191
1252657,19165.1792110197,-184
1252209,19307.9107921667,-173
1251750,19458.1315641303,-168
1251290,19616.9522476452,-171
1250774,19798.3126684221,-163
1250264,19957.7281805504,-148
1249730,20051.4070564299,-136
1249235,20194.9076874574,-139
1248726,20306.2069937856,-135
1248227,20427.2169323996,-127
1247712,20503.3706626054,-117
1247226,20606.1095256284,-98
1246753,20719.7255582007,-93
1246313,20782.2416653037,-93
1245845,20839.5063713419,-93
1245410,20878.5394700351,-87
1244963,20931.4007613813,-91
1244530,21015.9243653422,-83
1244138,21071.7366797919,-88
1243741,21156.43450502,-91
1243378,21196.0787806095,-87
1242974,21255.111624205,-87
1242615,21301.7523184533,-80
1242269,21367.5053029849,-74
1241934,21411.9572523298,-80
1241616,21464.2468350258,-85
1241291,21496.4019197985,-95
1240974,21542.5036019624,-102
1240624,21557.1171927786,-98
1240321,21581.7667384518,-108
1240001,21667.1152088222,-108
1239666,21755.0104432329,-100
1239352,21835.5117716018,-104
1239044,21893.1249201744,-105
1238732,21982.3609131158,-90
1238443,22033.1355160139,-91
1238142,22098.5073614455,-67
1237840,22140.2219772001,-66
1237533,22210.6873507121,-54
1237217,22287.7217638563,-46
1236915,22333.402838674,-45
1236575,22374.6968470825,-39
1236250,22446.4076943501,-34
1235915,22486.7815515741,-35
1235591,22483.9816297744,-18
1235285,22477.8331974884,-5
1234994,22503.5934638961,7
1234676,22514.7959560165,7
1234411,22500.1265486713,25
1234133,22536.7476363455,28
1233876,22581.9291673249,28
1233590,22590.8380531645,50
1233335,22617.5184707567,53
1233068,22612.060151859,65
1232825,22624.2780799389,81
1232574,22617.4395342645,94
1232326,22623.5484983045,86
1232102,22649.4829859794,90
1231838,22665.8021261435,94
1231598,22695.7194211644,115
1231352,22696.7348571239,115
1231103,22710.4677650017,130
1230870,22724.1217363873,127
1230638,22710.4841132845,134
1230421,22683.8595122212,138
1230229,22705.541686508,137
1229961,22702.6859481795,139
1229736,22704.8121048735,142
1229511,22700.9245823026,150
1229274,22704.6610035696,156
1229049,22730.1748838984,170
1228837,22738.1799668363,171
1228637,22766.8912563476,177
1228431,22798.9183597796,176
1228212,22836.4595986383,178
1228000,22859.3477784347,183
1227785,22867.9082217399,183
1227537,22919.1429002303,179
1227317,22962.4119640289,185
1227114,22992.1550377825,189
1226832,23020.2714986804,205
1226572,23069.5311217807,213
1226324,23057.6943328008,221
1226018,23095.1008186383,225
1225729,23156.489856724,251
1225404,23190.031939954,282
1225088,23209.2068184466,297
1224772,23211.6582977118,313
1224428,23238.4176517963,332
1224103,23259.8697882869,342
1223791,23269.4851357977,352
1223486,23298.4822796341,358
1223151,23276.9743266145,364
1222859,23276.6095357972,374
1222541,23242.9394712266,397
1222224,23217.3303061228,404
1221944,23173.6406349781,406
1221661,23140.9465381209,406
1221406,23126.7535546508,403
1221145,23076.2648060777,403
1220888,23056.708788485,408
1220602,23042.2299506899,432
1220340,23035.5819745655,442
1220112,23018.1915819129,454
1219861,22991.1069052573,442
1219635,22947.5519871337,449
1219403,22895.9130495799,447
1219183,22878.1973343562,450
1218964,22870.2480679472,454
1218761,22857.6816973329,452
1218528,22854.5401046793,461
1218286,22821.3069957377,470
1218053,22803.1870214506,477
1217792,22783.2662130406,477
1217579,22754.0159114449,473
1217351,22741.3379077727,489
1217121,22697.6482366279,497
1216907,22700.4250384643,498
1216711,22656.3705765023,489
1216469,22639.3613229498,497
1216250,22637.9647478902,511
1216022,22623.541726624,511
1215799,22590.1575163784,520
1215557,22550.608525564,520
1215351,22542.468689605,522
1215143,22490.5438977262,524
1214926,22457.5408265807,511
1214736,22448.250801641,513
1214530,22434.2878559671,505
1214308,22384.4497525363,502
1214116,22367.3452142087,496
1213925,22338.0390960841,491
1213727,22324.1714351851,485
1213526,22296.2060755912,478
1213322,22242.8057721606,472
1213113,22242.9963417106,468
1212918,22225.2806264869,454
1212717,22209.6121314651,451
1212478,22191.2621193819,443
1212296,22168.9292999528,442
1212129,22153.4350261981,442
1211930,22138.9167201569,438
1211746,22137.3459238301,434
1211558,22101.5660508483,425
1211365,22077.2976442752,418
1211172,22063.7784259107,415
1210968,22095.7265928505,409
1210767,22102.6046067711,404
1210546,22073.3774251386,392
1210304,22073.8375007309,382
1210081,22131.1253267323,374
1209873,22164.5095369779,381
1209670,22159.1465028552,363
1209418,22181.0028984093,362
1209183,22221.9715842466,352
1208961,22214.2687039165,344
1208703,22225.6454173041,331
1208469,22241.2744440799,321
1208207,22238.3628892224,320
1207917,22237.5611427762,333
1207675,22245.2245548602,324
1207398,22285.121988209,318
1207118,22333.2940105381,319
1206891,22371.8506853563,322
1206627,22372.5013304985,313
1206361,22414.9849961337,295
1206082,22400.8314809098,276
1205821,22435.1358423398,268
1205550,22457.9682056073,260
1205285,22489.8605560183,249
1205030,22493.4622242641,243
1204749,22546.7672429197,232
1204456,22586.6252080224,214
1204206,22659.6373455746,192
1203931,22736.8854482322,180
1203656,22772.0868408835,155
1203384,22837.9745784362,129
1203127,22919.0707354185,95
1202880,23014.5504454209,59
1202568,23101.5255286471,35
1202281,23167.4690827287,-11
1201985,23266.9152517942,-37
1201692,23377.2780586551,-67
1201375,23467.815341881,-92
1201074,23614.0138382527,-130
1200773,23771.1289724197,-151
1200445,23926.3643359716,-198
1200113,24091.2381669975,-237
1199798,24245.0374872438,-285
1199452,24381.2558452874,-321
1199073,24646.7587309251,-368
1198701,24926.1292774618,-435
1198241,25289.1263967382,-510
1197790,25649.4419989533,-594
1197333,26062.8489303105,-701
1196806,26584.3019422846,-837
1196182,27266.0511493254,-1015
1195560,28033.9178766172,-1220
1194797,29113.7539625279,-1503
1193830,30600.244142294,-1900
1192637,32545.7106951774,-2424
1191196,35128.5765622121,-3093
1189301,38621.1995229933,-3968
1186861,43177.6157072436,-5070
1183756,49178.3733047984,-6454
1179743,56969.8125906746,-8178
1174566,67055.5293369209,-10305
0,0,0
