Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310713,4386.31783954174,-6
1310576,4677.68304804269,-65
1309533,6262.9061635227,-270
1306187,8948.62533156018,-184
1301418,10603.6659803318,-39
1296872,11065.4710050556,-54
1292946,11621.786543749,-53
1289637,11944.8332180695,-65
1286879,12284.2221525174,-87
1284639,12558.1997732876,-109
1282592,12957.4627660233,-115
1280741,13354.7411267665,-128
1279034,13773.0278966909,-144
1277472,14156.0901540008,-138
1275911,14539.310284295,-133
1274411,14897.1907555277,-123
1273029,15191.5723802635,-130
1271755,15498.6945968808,-125
1270557,15678.3658165926,-126
1269437,15962.6787899058,-123
1268331,16158.882839295,-130
1267149,16421.4020052635,-120
1266042,16682.422539717,-128
1265012,16842.1007862071,-129
1264002,16978.2960242874,-128
1263100,17084.4786825719,-148
1262288,17262.7764471874,-145
1261490,17439.1617446221,-144
1260724,17611.4458299726,-144
1259958,17795.7967420991,-142
1259220,17978.4026366316,-155
1258523,18120.1977183112,-160
1257830,18253.6161545552,-157
1257097,18405.5424758667,-156
1256415,18485.4489756223,-151
1255736,18608.7429439148,-155
1255089,18752.411024529,-163
1254459,18824.811985185,-149
1253824,18958.8252500424,-153
1253223,19063.3812954711,-159
1252688,19172.5544451053,-168
1252091,19276.0787062917,-172
1251519,19393.5100966231,-166
1251016,19481.7864701339,-171
1250505,19583.2403911551,-174
1249993,19751.5416691597,-174
1249479,19848.3621376928,-177
1248974,20012.8711779016,-185
1248410,20173.6996133723,-198
1247829,20388.8716234213,-188
1247196,20591.0171872637,-197
1246582,20768.1089463696,-195
1245947,20993.6980503757,-193
1245279,21098.7305196795,-196
1244654,21190.5132766611,-191
1244040,21311.7532530712,-188
1243446,21445.4643153207,-188
1242841,21541.8805247904,-182
1242258,21646.9197657747,-171
1241658,21765.0576177774,-174
1241084,21843.1632834101,-167
1240511,21942.8953068006,-171
1239997,22030.0051430479,-173
1239496,22126.6350420309,-170
1239005,22217.7671538702,-172
1238526,22261.0525659516,-174
1238041,22345.2903155875,-169
1237582,22466.2049694265,-166
1237166,22582.4467025312,-170
1236738,22712.5560965349,-173
1236307,22802.4427346185,-177
1235870,22890.9722658886,-171
1235439,23001.6209270745,-173
1235009,23129.7389174052,-164
1234548,23278.3657730788,-159
1234123,23352.6628526328,-156
1233717,23443.946065776,-169
1233300,23542.1467610858,-164
1232892,23661.3789855402,-170
1232484,23773.8842973779,-168
1232072,23886.9680895463,-153
1231648,23981.6624013853,-148
1231237,24132.3037806951,-146
1230819,24229.045312736,-131
1230406,24359.3452762896,-140
1229981,24465.2815484952,-143
1229532,24572.9628382947,-132
1229074,24699.8517031525,-129
1228593,24794.5065467455,-142
1228107,25004.4271557297,-139
1227676,25122.9856150785,-139
1227217,25219.8060836116,-125
1226768,25349.3206490018,-121
1226305,25457.0414070475,-103
1225863,25625.1684637849,-113
1225415,25737.3484530515,-137
1224952,25837.4057990132,-124
1224521,25941.0648132207,-116
1224089,26003.9062428948,-108
1223711,26105.3438156333,-95
1223299,26216.3177993904,-81
1222890,26328.5372569031,-79
1222500,26441.5026443331,-82
1222062,26554.086892663,-73
1221645,26652.1133667057,-51
1221242,26721.7538738082,-37
1220857,26833.3785027075,-33
1220436,26950.1755961795,-22
1220026,27044.235611159,-18
1219629,27146.307480757,5
1219210,27244.7940303919,10
1218837,27332.3639422314,18
1218383,27438.0701766408,41
1217961,27496.0249960673,48
1217595,27547.6802819039,50
1217201,27592.8618128832,62
1216801,27687.5561247223,80
1216424,27767.3278714567,94
1216004,27845.9888974567,98
1215633,27927.6404148062,113
1215242,28027.2540334585,115
1214837,28080.0595082757,136
1214400,28139.2829214212,144
1213969,28261.0224416697,159
1213489,28331.3135939145,170
1213017,28425.5083619151,203
1212483,28522.5193999982,213
1211924,28618.403369064,233
1211377,28739.2622063741,268
1210832,28812.9086407858,305
1210219,28859.1219560074,334
1209614,28947.9373416026,379
1208977,29002.4878340138,405
1208341,29032.5793503019,425
1207705,29048.8426739371,440
1207065,29039.1156933685,472
1206397,29000.098942958,507
1205736,28900.1600017346,548
1205143,28762.291910872,579
1204498,28640.7987767025,589
1203871,28511.0936417622,597
1203300,28339.1743472289,615
1202740,28225.0193025721,605
1202212,28136.7592773442,606
1201713,28067.0793019956,623
1201201,28017.034280732,640
1200712,27959.2305626094,650
1200180,27870.7404995853,669
1199682,27786.1379591322,667
1199222,27736.7762795764,667
1198743,27678.7030554116,655
1198248,27589.4112459413,639
1197797,27512.7579718972,652
1197342,27453.4787422228,666
1196874,27391.1926729159,669
1196401,27307.5892201394,689
1195911,27258.3295970392,712
1195437,27191.5217083019,720
1194965,27152.2027552836,743
1194524,27115.0263072422,753
1194065,27059.7135366309,776
1193576,26966.9548119359,798
1193156,26856.2666825039,800
1192694,26721.5633042581,794
1192261,26600.513897398,805
1191790,26504.3440740072,810
1191348,26359.7000256796,808
1190924,26276.8030345743,805
1190484,26227.599228003,810
1190020,26117.9660027766,826
1189637,26028.9042311024,842
1189258,25975.106440289,854
1188809,25874.3195126928,845
1188424,25807.8205982439,867
1188035,25694.7204577928,870
1187661,25618.9315184042,864
1187240,25504.9670432975,861
1186843,25423.2991776651,875
1186455,25307.4222353777,872
1186094,25238.8529807636,881
1185714,25111.2508825541,866
1185317,25030.177845535,877
1184963,24988.7885523516,884
1184586,24897.2753014122,893
1184220,24773.7744152869,891
1183848,24658.4923016128,895
1183510,24555.8881916109,895
1183169,24480.8846503857,906
1182810,24391.2280500982,908
1182460,24315.994471077,914
1182091,24224.2117140954,920
1181719,24040.9484027401,907
1181326,23923.825986697,915
1180944,23854.8919412657,918
1180585,23749.5110294275,918
1180214,23630.9525700787,920
1179874,23573.3788897522,931
1179473,23458.5173834242,931
1179086,23341.7202899522,941
1178734,23211.0555355813,941
1178336,23085.0637019447,921
1178014,22999.5641302703,924
1177660,22910.7323963923,922
1177307,22809.9849370423,925
1176942,22713.2597532842,921
1176603,22614.5431658532,910
1176278,22494.0885876064,907
1175955,22352.8883345402,902
1175623,22268.4436670714,907
1175302,22143.5067376404,911
1174985,22055.3651171508,907
1174661,21972.81656858,895
1174344,21889.2131158036,884
1174016,21812.5993100055,885
1173742,21716.738460903,886
1173428,21610.3026448592,871
1173135,21528.4210897134,860
1172836,21498.0437191003,845
1172558,21462.7402699936,820
1172241,21383.2543775841,811
1171973,21337.0574106453,797
1171703,21277.817649217,788
1171433,21243.2274334618,775
1171156,21196.1103153385,756
1170893,21196.8398969729,753
1170605,21197.4905421152,728
1170352,21177.3628158724,729
1170079,21162.233332935,716
1169822,21146.5484896303,713
1169521,21152.8711431836,716
1169237,21088.4589171827,707
1168939,21116.5590297978,682
1168628,21187.0080550269,672
1168329,21233.283958458,647
1168019,21250.4443133145,635
1167668,21306.2402794813,619
1167327,21409.6692558927,588
1166990,21512.4081189157,553
1166641,21618.9392197346,519
1166282,21779.4654525975,461
1165904,22049.2043033405,404
1165432,22403.9663018829,287
1164920,22817.2057836534,158
1164294,23530.2198159262,-44
1163545,24576.9643175968,-342
1162577,26094.7751391238,-792
1161395,28172.5234826315,-1414
1159940,30876.1760221645,-2155
1157988,34684.4788379463,-3142
1155412,39921.5797484295,-4520
1152182,46467.3658462212,-6122
1147754,55488.9313498615,-8128
1142153,66748.0649682011,-10455
0,0,0
