Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310694,4434.58514664576,-21
1310371,5039.47416180953,-119
1308774,6581.42821349095,-117
1305755,8362.56275235466,-192
1301373,10590.1072937212,-112
1296393,11879.7715087629,-44
1291496,13023.3652087737,-169
1286758,14274.4101607878,-198
1282273,15136.3724045467,-199
1278433,15954.191673249,-174
1274948,16576.0301586778,-191
1271891,17305.1524465233,-166
1269166,17834.3900802415,-183
1266527,18436.2654840923,-177
1264067,19067.8050252046,-192
1261734,19634.1864103986,-198
1259530,20176.7036480828,-212
1257386,20734.3898369506,-222
1255372,21170.7176446699,-202
1253608,21583.4276909583,-192
1251840,22008.6482913322,-224
1250171,22403.4357045641,-224
1248590,22701.4815857551,-231
1246981,23030.0001223342,-222
1245421,23355.3770662597,-209
1243950,23598.9513915317,-201
1242565,23876.03790839,-199
1241277,24101.4922593749,-205
1240079,24315.1261696628,-200
1238941,24513.1868697038,-194
1237822,24760.0933571794,-215
1236759,25007.5715533052,-213
1235780,25242.4275622876,-206
1234763,25508.2952387426,-210
1233823,25722.849300215,-217
1232821,25988.0105149988,-216
1231945,26177.4386069229,-210
1230945,26377.1326915001,-202
1229988,26567.3625298705,-199
1229056,26745.850864036,-189
1228144,26919.9357835094,-183
1227223,27089.791509558,-167
1226389,27286.4392862566,-156
1225579,27455.7723485036,-146
1224797,27657.4578367537,-167
1224042,27816.1206472843,-179
1223319,28061.9000657425,-198
1222561,28320.7780952191,-202
1221799,28527.0806876747,-207
1220980,28754.6053788248,-215
1220118,29020.2661374469,-216
1219267,29259.8181871269,-210
1218329,29548.8993659494,-205
1217436,29769.927182279,-188
1216498,29942.1159828545,-165
1215604,30100.8019133483,-158
1214741,30191.5134178414,-142
1213869,30368.105633109,-130
1212993,30536.2558098097,-114
1212104,30672.3394148322,-107
1211224,30802.6951949147,-101
1210357,30904.9903306283,-92
1209516,31035.2344776531,-84
1208699,31164.1936826761,-70
1207899,31274.2080470025,-62
1207084,31436.170323171,-60
1206342,31558.5046720329,-62
1205604,31697.388198855,-56
1204878,31766.3780608152,-43
1204228,31912.5765571869,-42
1203544,32015.1411989427,-40
1202892,32182.50597748,-27
1202252,32319.795588012,-39
1201560,32493.5715331971,-39
1200877,32635.7082857307,-28
1200232,32759.6855957311,-13
1199633,32865.7008044288,-10
1198995,32979.277368755,-8
1198375,33107.5301121068,-4
1197768,33190.331818437,12
1197140,33304.6937809266,19
1196506,33457.8982725594,13
1195910,33601.1688657908,34
1195301,33758.4024046961,58
1194630,33920.9989777241,83
1194005,34043.8328704243,111
1193340,34160.074603529,134
1192655,34299.4903707551,164
1191991,34432.2812818201,159
1191329,34507.3406395742,179
1190678,34602.051299696,205
1190012,34685.4873028857,225
1189316,34771.5422349274,240
1188612,34924.3723591406,264
1187933,34940.0013859164,303
1187257,34995.6394790988,327
1186635,35011.7680497129,347
1185968,35037.9489234668,354
1185353,35065.5494922435,368
1184758,35139.8629200803,393
1184178,35215.3660051439,405
1183555,35241.5632271806,430
1182950,35245.1812437092,447
1182393,35255.3124833412,472
1181831,35253.9948447738,489
1181310,35286.4983720809,513
1180747,35351.8307492664,536
1180168,35338.9390560809,543
1179598,35330.9108531797,587
1179065,35326.9675140799,597
1178489,35303.063898324,616
1177964,35288.1018649734,625
1177437,35231.9805762354,638
1176932,35200.2229788455,666
1176441,35159.7865334122,683
1175968,35113.1458391639,708
1175497,35070.4716039787,719
1174983,35052.7164205088,733
1174509,35018.2051412459,761
1174062,34953.9440165489,768
1173607,34875.378275324,790
1173113,34823.2629138952,802
1172640,34770.266869528,820
1172139,34773.4479304277,814
1171631,34786.7602309593,836
1171127,34738.8971829186,836
1170592,34687.4324666321,854
1170008,34650.2002020617,864
1169428,34621.4099760583,873
1168840,34614.8804046721,875
1168207,34652.3658270019,913
1167555,34593.2376986314,914
1166896,34532.4829574052,928
1166268,34507.9681647532,961
1165600,34441.9062059333,958
1164921,34392.7023993619,971
1164209,34328.3459898899,977
1163573,34264.2032699312,1014
1162905,34135.3788179293,1034
1162242,34056.2971845832,1050
1161557,33934.6366008269,1084
1160902,33807.3203569424,1068
1160313,33680.7568146557,1093
1159697,33515.5576610586,1101
1159106,33404.0446652171,1121
1158517,33263.1139181931,1114
1158006,33124.6741186804,1118
1157443,32999.3165819033,1114
1156925,32856.1412734469,1105
1156385,32739.478932996,1120
1155871,32610.7497657692,1132
1155384,32504.5834557675,1141
1154873,32395.3150213584,1165
1154395,32300.6601777654,1193
1153878,32177.4846142113,1196
1153362,32076.8324396362,1210
1152892,31982.6771398816,1211
1152407,31847.9901099187,1202
1151925,31712.3665804885,1233
1151375,31596.5685746932,1244
1150865,31535.6627321631,1267
1150308,31391.8993667738,1280
1149800,31230.8967100359,1310
1149288,31032.2344097011,1304
1148787,30899.2692773689,1292
1148277,30740.448593854,1297
1147814,30578.7000071988,1312
1147366,30446.6781460144,1320
1146867,30275.5605979273,1313
1146394,30100.0954516771,1314
1145948,30000.2681435116,1331
1145501,29838.6148416314,1330
1145082,29699.6591499975,1349
1144652,29554.0718305221,1345
1144207,29398.2021701107,1344
1143819,29296.8830021105,1349
1143376,29151.7394099445,1359
1142958,28988.4363752453,1344
1142600,28864.6101665489,1349
1142211,28704.7740470744,1334
1141841,28555.3223249914,1327
1141451,28437.0497199676,1323
1141107,28305.4484661294,1318
1140757,28142.7239117607,1321
1140378,27951.994529552,1318
1140016,27790.7781833008,1309
1139651,27645.999381952,1303
1139316,27528.9722506839,1299
1138978,27398.4259010513,1295
1138649,27273.2194655781,1286
1138281,27125.9660650008,1283
1137930,26964.3685796496,1280
1137625,26822.0576058488,1264
1137291,26673.9071740503,1257
1136968,26548.0500934348,1250
1136635,26393.5211915541,1238
1136296,26255.7320371837,1239
1135990,26160.8471557946,1238
1135661,26024.1687221588,1236
1135351,25904.6342950966,1223
1135044,25757.9199066037,1210
1134729,25621.2020047218,1198
1134406,25471.7502826387,1200
1134085,25320.1329356155,1185
1133753,25181.2725287566,1182
1133437,25061.5638804272,1166
1133122,24924.0837003451,1170
1132839,24811.3646989941,1155
1132523,24670.1875658911,1150
1132242,24573.6366034003,1147
1131918,24415.4107484987,1136
1131647,24311.5053482122,1126
1131354,24219.5878382096,1121
1131079,24130.1612757182,1107
1130794,24034.1656735946,1099
1130529,23925.7384538778,1092
1130237,23798.3500451816,1087
1129943,23686.0353028938,1066
1129687,23617.1801939547,1067
1129399,23534.5527088917,1054
1129120,23435.9314062357,1034
1128859,23315.6279292929,1014
1128594,23257.268850803,1010
1128327,23139.2262835754,999
1128102,23078.4157258203,992
1127862,23037.1217174118,980
1127618,22958.6117927158,978
1127384,22902.6089087161,970
1127151,22802.8768853256,953
1126916,22781.654786631,933
1126682,22746.5486787547,921
1126428,22715.4253782243,899
1126181,22685.1827606324,895
1125919,22635.6141632438,887
1125670,22582.8086884266,873
1125403,22570.1701530005,857
1125127,22605.5294186362,836
1124858,22637.4217690472,808
1124548,22674.4865840308,774
1124273,22751.3535475882,731
1123947,22864.4373397566,701
1123600,23046.5109938851,610
1123219,23274.9394879369,514
1122811,23695.3986544819,359
1122274,24408.4126867547,139
1121603,25355.1787789558,-170
1120817,26606.2017728433,-556
1119740,28508.945045693,-1128
1118367,31046.12983791,-1855
1116532,34704.9183433994,-2824
1114059,39781.6210023603,-4160
1110830,46455.69931175,-5806
1106688,54889.7036046697,-7758
1101311,65689.5518756038,-10019
0,0,0
