Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310718,4372.91025423507,-1
1310658,4495.89524823922,-26
1310346,4843.68394808602,-49
1309519,5718.82770611402,-131
1307751,7057.49558157473,-123
1305292,7957.48903142829,-103
1302745,8865.98710805812,-104
1300240,9591.87251847498,-147
1297740,10431.048638893,-192
1295355,11185.5664023289,-183
1293290,11758.2473211129,-187
1291338,12437.0387333697,-192
1289445,12975.3594741947,-199
1287587,13633.2377620452,-198
1285668,14249.0693398896,-215
1283746,14885.9324468784,-231
1281910,15538.2013145273,-227
1280041,16170.184582949,-224
1278305,16624.3628589131,-247
1276642,17046.1261206646,-254
1275208,17507.7772391627,-265
1273773,17908.4435786384,-274
1272316,18353.1316835105,-268
1270808,18794.0044306234,-279
1269401,19159.8341682651,-257
1267986,19493.6136825114,-281
1266593,19879.801184192,-287
1265319,20213.1437428093,-291
1264141,20495.7675150574,-298
1262995,20815.8930579181,-301
1261893,21137.1687897594,-296
1260803,21476.6597806628,-304
1259685,21806.4564875632,-311
1258585,22098.8534803065,-318
1257578,22407.6417780257,-313
1256516,22741.3885957063,-330
1255580,23022.0440842448,-343
1254655,23336.353289071,-363
1253670,23627.6395610797,-375
1252693,23902.7183259822,-384
1251762,24149.6248134578,-375
1250791,24455.6526576234,-372
1249873,24737.9347590176,-376
1248995,24978.7880989821,-372
1248075,25249.9629930309,-388
1247206,25493.2283440146,-398
1246403,25751.2815070817,-411
1245524,26085.0909129717,-423
1244670,26391.3719148968,-441
1243756,26721.0569887393,-443
1242852,27059.0955880542,-456
1241916,27425.155363492,-459
1240935,27759.4344215767,-445
1239910,28100.9399361163,-464
1238830,28456.0204855493,-489
1237799,28862.5657512689,-494
1236697,29177.2955634413,-509
1235641,29577.1370365075,-508
1234619,29880.3159140251,-526
1233532,30257.5618333004,-534
1232497,30600.5823276379,-538
1231411,30898.3192345406,-509
1230387,31166.3294159725,-511
1229412,31451.3651992397,-502
1228485,31657.8978294914,-495
1227575,31872.1660366387,-481
1226667,32122.976394968,-496
1225808,32312.2139173422,-461
1224984,32536.4064462886,-450
1224161,32713.4587371484,-444
1223359,32937.0727857644,-441
1222568,33149.0569632333,-461
1221727,33357.4067758907,-454
1220887,33633.1361859354,-448
1220103,33868.5312070023,-431
1219375,34064.3146490453,-423
1218635,34239.8519601073,-431
1217872,34415.4682076614,-411
1217111,34634.8694111353,-424
1216372,34838.2209804873,-404
1215642,35057.6780004901,-391
1214922,35231.3586609002,-373
1214159,35428.6734310239,-372
1213366,35644.8214087864,-361
1212602,35845.586745852,-348
1211798,36058.7837005109,-334
1211022,36265.3721472915,-315
1210186,36522.084551828,-296
1209401,36689.1961726059,-289
1208602,36867.2638994252,-301
1207770,37066.8232309813,-282
1206929,37244.1844961294,-262
1206068,37487.9725109147,-258
1205230,37650.2995779005,-242
1204447,37846.8452981437,-235
1203660,37942.3250081461,-233
1202852,38064.3667310024,-217
1202116,38209.6056079435,-200
1201369,38304.6810588825,-204
1200614,38430.879810352,-190
1199893,38557.9592447599,-173
1199163,38713.464114354,-183
1198430,38886.573066114,-165
1197677,39067.250145183,-163
1196970,39183.2223722454,-150
1196290,39316.5686436777,-146
1195584,39444.8377353123,-132
1194888,39569.75154478,-123
1194207,39675.7831017606,-123
1193495,39755.9427592755,-110
1192798,39848.6061991955,-96
1192154,39926.5934600899,-79
1191500,40020.3512724616,-83
1190844,40112.189845972,-58
1190227,40196.7692664619,-54
1189606,40259.2690252821,-55
1189004,40313.9311507511,-42
1188378,40402.3028090369,-26
1187746,40499.6228214083,-14
1187120,40568.4548103841,-18
1186470,40646.1004004245,1
1185874,40723.6112374438,20
1185250,40811.0069280161,33
1184589,40953.6826926341,38
1183893,41079.4281401918,64
1183179,41178.8743092573,70
1182473,41345.7953604852,69
1181673,41544.2208513435,59
1180844,41771.6666060014,51
1179928,42074.9013000478,36
1179004,42354.4855360978,45
1178016,42615.8545130857,57
1176986,42902.1588900718,74
1175925,43183.1464728619,79
1174855,43460.2955779295,78
1173708,43782.5867457303,90
1172530,44129.3205413715,111
1171316,44375.7996498205,128
1170098,44612.0917021086,150
1168839,44901.1960008944,201
1167586,45082.9048642057,233
1166351,45268.4386618785,245
1165112,45420.897223594,295
1163861,45594.9426748213,312
1162699,45672.1840057984,339
1161544,45758.9521711917,382
1160397,45842.8645982565,406
1159184,45881.3981531114,459
1157965,46039.2428689129,488
1156808,46053.2221628697,501
1155619,46100.2208762547,521
1154439,46144.6959455629,572
1153220,46128.4393936081,607
1152077,46053.8006432002,650
1150955,46024.1692025044,700
1149774,45909.7119552398,741
1148597,45886.9421801818,790
1147431,45795.7773717768,855
1146288,45617.9396827536,890
1145076,45529.9722835312,931
1143917,45345.4076818914,941
1142747,45212.3145682186,949
1141668,45011.8582054412,969
1140537,44806.4594158874,1010
1139323,44630.7478835582,1027
1138172,44407.1501832251,1038
1137105,44177.9035944443,1044
1136039,43973.2507348078,1047
1134951,43717.2284436597,1037
1133899,43534.9084034522,1035
1132865,43314.8402065533,1066
1131879,43156.9791424689,1062
1130864,42964.0119705083,1074
1129949,42704.8644349895,1052
1128952,42493.8725735169,1051
1127994,42246.0622831395,1056
1127083,42016.2834539547,1075
1126192,41816.6846541525,1085
1125298,41536.5845259814,1085
1124493,41325.3000385032,1065
1123724,41092.2612119265,1058
1122976,40915.5900601668,1067
1122183,40737.7687194264,1055
1121458,40598.1229144041,1064
1120732,40467.5139765621,1084
1120037,40301.933683865,1082
1119378,40128.1740869627,1056
1118752,39956.4848302255,1050
1118088,39805.8829191618,1065
1117401,39620.5329193586,1061
1116724,39487.0913631514,1049
1116118,39331.8559995995,1032
1115451,39191.3853281677,1051
1114810,39003.2027099992,1041
1114160,38868.2461739941,1043
1113471,38750.7984353798,1030
1112814,38610.1140744348,1043
1112152,38460.5834158595,1041
1111499,38362.1758027168,1049
1110899,38180.2369016094,1035
1110241,38038.2185538142,1043
1109592,37965.150599733,1032
1108960,37819.3005458958,1021
1108304,37717.2912645073,1024
1107635,37633.9015012442,1029
1107010,37543.9359266683,1015
1106396,37468.6465311181,1018
1105746,37311.0155048299,1022
1105058,37202.548816867,1005
1104402,37078.5878551494,1010
1103772,36942.0047062886,995
1103177,36855.893957718,988
1102558,36805.0798865738,977
1101946,36658.8092253904,970
1101356,36610.1607791863,970
1100764,36539.6395891454,950
1100148,36477.1234820424,939
1099584,36435.8852901629,927
1098994,36382.0643793862,916
1098431,36348.2200935483,910
1097890,36283.1735706879,883
1097311,36248.2580323617,871
1096735,36238.531051793,865
1096170,36190.6843520352,850
1095596,36192.541002687,832
1095029,36228.5903817111,831
1094487,36210.8910147702,810
1093904,36179.2123538725,797
1093352,36154.063264361,771
1092791,36255.6750583667,754
1092279,36325.1249959191,725
1091707,36382.4522901667,694
1091155,36502.2004067422,658
1090604,36564.351723028,638
1089991,36717.007625974,596
1089409,36842.8483583067,576
1088764,37051.8882843525,550
1088085,37277.730546118,533
1087416,37540.4797498826,491
1086671,37867.9501539366,440
1085905,38240.6973737449,371
1085143,38631.8177255997,318
1084293,39090.6429974129,201
1083403,39666.3837674364,61
1082374,40575.0464887311,-169
1081236,41647.8765793806,-457
1079967,43093.8649205822,-834
1078405,45186.4732409849,-1378
1076562,47926.6611600195,-2098
1074170,51687.7053329764,-3032
1071270,56654.1241215687,-4192
1067742,62959.1453924904,-5706
1063257,70989.7950571926,-7387
1057489,81633.1421757777,-9538
0,0,0
