Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310718,4372.12485607167,0
1310717,4373.46561460234,0
1310714,4378.04325056161,-1
1310710,4383.40628468428,-2
1310710,4383.40628468428,-2
1310710,4383.40628468428,-2
1310710,4383.40628468428,-2
1310708,4385.85776394949,-2
1310707,4386.41312431675,-2
1310707,4386.41312431675,-2
1310702,4394.68771329689,-3
1310693,4405.73910411337,-5
1310685,4410.08670227651,-3
1310677,4416.00509676645,-3
1310668,4420.58273272572,-3
1310659,4427.51656317518,-4
1310653,4426.73116501179,-4
1310647,4432.09419913446,-5
1310641,4437.227195461,-5
1310630,4444.25631068548,-5
1310621,4446.93782774681,-5
1310614,4452.30086186948,-6
1310603,4455.30770150196,-6
1310598,4457.20382039989,-6
1310592,4457.75918076716,-6
1310585,4459.42526186897,-6
1310578,4467.46981305298,-7
1310567,4478.75124166558,-9
1310550,4490.35799284933,-7
1310539,4506.77241778848,-10
1310530,4512.69081227842,-10
1310520,4521.75079942195,-11
1310506,4527.53444089077,-11
1310497,4533.68287317684,-11
1310485,4539.60126766678,-11
1310470,4551.99341701393,-11
1310459,4561.3787267286,-12
1310443,4567.94776636082,-12
1310427,4569.84388525876,-12
1310418,4573.08076268736,-12
1310405,4586.39306321902,-12
1310394,4592.54149550509,-11
1310384,4596.10369550483,-12
1310374,4598.78521256617,-10
1310363,4601.4667296275,-11
1310355,4606.82976375017,-11
1310344,4617.32579419938,-13
1310332,4620.56267162799,-13
1310325,4627.0364264852,-13
1310313,4633.5101813424,-12
1310290,4641.65001730142,-12
1310279,4644.88689473003,-12
1310269,4649.4645306893,-13
1310257,4657.73911966943,-13
1310241,4664.99827269004,-13
1310228,4674.38358240471,-13
1310207,4693.47952440519,-15
1310187,4698.05716036446,-17
1310168,4716.36770420155,-22
1310148,4735.2336084059,-24
1310128,4744.15884252832,-24
1310104,4750.49784436441,-22
1310086,4758.21707297728,-22
1310070,4771.62465828395,-25
1310058,4781.10525277363,-25
1310040,4791.92660579398,-26
1310013,4812.82338191739,-30
1309993,4822.5340142032,-29
1309961,4838.58364832511,-31
1309931,4858.69502628512,-32
1309899,4877.23560791833,-31
1309877,4891.52387616342,-31
1309851,4914.31677118476,-33
1309827,4944.04349665557,-38
1309807,4956.20560820659,-38
1309785,4970.49387645167,-38
1309748,4993.61209404416,-42
1309720,5007.44028669699,-40
1309690,5028.43234759541,-39
1309660,5045.9574932691,-39
1309633,5062.46720298326,-38
1309598,5079.76231086082,-38
1309569,5089.01286755438,-38
1309538,5100.71490351314,-37
1309504,5123.92840588064,-39
1309476,5137.89135155459,-39
1309433,5161.89025208548,-38
1309392,5191.80754710632,-39
1309358,5209.00737020886,-39
1309318,5231.24490486294,-41
1309277,5267.54066996597,-44
1309246,5296.90260461953,-51
1309203,5331.53228862076,-57
1309143,5388.39950727605,-63
1309073,5450.4950070329,-75
1309002,5513.01111413591,-84
1308925,5608.12603332108,-92
1308839,5721.36092679332,-114
1308753,5835.51597145006,-131
1308654,5966.4107636171,-148
1308516,6168.3262896634,-184
1308353,6422.76143620185,-209
1308161,6742.01306780458,-275
1307893,7203.21088239084,-366
1307564,7763.12528440811,-455
1307151,8456.63234393657,-559
1306593,9359.06769645299,-685
1305971,10324.9393072569,-766
1305275,11331.1847752848,-847
1304442,12466.1594105396,-935
1303398,13804.5645516385,-991
1302256,15155.5129433885,-1030
1301008,16627.1786477471,-1109
1299583,18243.9388994231,-1224
1297910,20101.5197944982,-1427
1296116,22206.427784395,-1698
1293861,25053.2680139086,-2225
1291183,28834.8932170201,-3014
1287726,34311.1909629683,-4276
1283303,41750.6219321752,-5992
1277400,52214.50871564,-8230
1269554,66438.1643066622,-11147
1258864,85573.6977704679,-14663
1244650,110448.084809515,-18574
1226394,141149.703853769,-22565
1202411,178754.043390977,-25954
1172130,222866.957076449,-28467
1134286,272362.900662733,-28879
1088748,325319.815635622,-27336
1034247,380090.235083498,-22895
970847,432894.367333937,-14636
899329,477892.606223754,-3578
820992,513082.545335349,9791
737177,534556.571598732,24417
650073,540021.060323011,38265
562433,529426.29577625,50425
477267,502421.961647768,59319
397158,463131.35329988,64501
323890,414212.582560166,65841
259163,359766.981890927,63929
203340,304118.217309082,59630
156872,250124.506919369,53502
119043,200015.574431457,45865
89162,155859.384910507,38088
66409,119025.193806595,30369
49141,88767.2327260559,23281
36412,64817.7406784587,17146
27351,47210.6938977403,12426
20972,34413.8545743489,8833
16569,25378.4174430511,6139
13357,18903.8916935371,4198
11118,14532.3191935711,2839
9474,11491.1834150904,1925
8337,9526.96259106054,1341
7507,8210.43977040079,950
6821,7309.24989164002,728
6262,6696.76005260168,616
5745,6193.29226189354,530
5317,5772.07081714837,484
4934,5490.07457007927,464
4559,5188.58489362682,482
4191,4871.71257647756,472
3864,4560.52861602211,466
3550,4271.58219022073,453
3228,3925.63379274295,421
2935,3672.65780947346,404
2690,3455.69173698196,409
2395,3165.13504660769,389
2151,2931.2713536215,371
1932,2714.59113545504,365
1724,2465.9232821026,345
1530,2238.11273662746,317
1337,2026.43076176644,311
1180,1844.20600633399,297
1025,1673.12792649303,277
888,1498.62239967344,269
749,1297.0880127272,239
655,1151.61909799004,220
563,1015.9561003137,202
477,886.727389248474,176
403,768.320031203599,150
335,658.361483406068,136
289,570.696286791526,121
234,469.163429278057,100
207,426.298624542803,98
175,373.588434500624,89
143,308.81141768244,76
117,249.492719761939,59
93,202.835677230812,53
79,172.228268821593,44
67,144.532415269836,37
56,121.644235473478,32
49,105.555133105471,27
39,84.5630722070509,23
33,69.2593680024414,18
29,59.0886601243732,14
26,52.9402278383068,12
24,48.3625918790353,11
23,45.6810748177008,10
22,42.9995577563663,9
17,33.0588876744258,7
12,22.7928950213431,6
12,22.7928950213431,6
11,20.6667383272785,5
11,20.6667383272785,5
10,17.985221265944,4
8,14.518306041212,3
8,14.518306041212,3
7,13.1775475105448,3
7,13.1775475105448,3
7,13.1775475105448,3
7,13.1775475105448,3
7,13.1775475105448,3
7,13.1775475105448,3
7,13.1775475105448,3
6,11.8367889798775,3
6,11.8367889798775,3
6,11.8367889798775,3
6,11.8367889798775,3
6,11.8367889798775,3
6,11.8367889798775,3
5,9.15527191854306,2
4,6.47375485720857,1
4,6.47375485720857,1
4,6.47375485720857,1
4,6.47375485720857,1
4,6.47375485720857,1
4,6.47375485720857,1
4,6.47375485720857,1
4,6.47375485720857,1
0,0,0
