Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310718,4372.91025423507,-1
1310716,4378.27328835774,-3
1310712,4384.74704321495,-3
1310710,4388.76931880695,-4
1310708,4393.34695476622,-5
1310707,4395.24307366416,-5
1310702,4402.73226448089,-6
1310694,4416.69521015483,-7
1310687,4421.04280831798,-8
1310679,4429.73800464426,-7
1310670,4438.01259362439,-7
1310663,4445.59706921614,-7
1310656,4456.4184222365,-8
1310644,4468.4852490125,-8
1310633,4474.72896607358,-7
1310623,4476.85512276765,-6
1310616,4483.32887762486,-6
1310606,4491.92878917613,-6
1310601,4492.71418733953,-5
1310595,4492.15882697226,-4
1310585,4495.721026972,-5
1310572,4504.09090072715,-7
1310559,4506.21705742121,-8
1310549,4510.56465558436,-8
1310539,4516.4830500743,-9
1310534,4520.73536346243,-10
1310526,4526.65375795236,-10
1310518,4532.5721524423,-12
1310508,4543.62354325878,-12
1310490,4556.80109076933,-13
1310479,4560.36329076907,-13
1310465,4574.88159681029,-14
1310454,4589.95526321877,-17
1310443,4596.6590558721,-18
1310423,4623.56951126046,-24
1310408,4639.98393619961,-28
1310377,4692.59884146678,-40
1310349,4732.59155959067,-48
1310304,4811.23623730778,-68
1310264,4888.54015649422,-87
1310200,5010.50971453884,-110
1310114,5177.47023401278,-140
1309976,5423.591323325,-168
1309812,5688.86417116663,-180
1309590,6045.07856129749,-200
1309380,6340.78459628112,-198
1309146,6609.5965241592,-167
1308878,6878.29681897946,-149
1308635,7120.31669620748,-141
1308386,7351.57103694407,-143
1308121,7600.00885250038,-161
1307833,7850.30331870854,-170
1307559,8107.8569379373,-191
1307191,8460.3349068012,-208
1306856,8741.23678141857,-216
1306418,9151.36736710118,-220
1306017,9539.95053151808,-226
1305604,9835.29177568447,-211
1305193,10154.9408946701,-218
1304706,10473.0750338578,-212
1304260,10750.5658097794,-218
1303767,11105.6694791757,-227
1303210,11451.8247944863,-230
1302683,11774.6549743716,-247
1302184,12103.9752573969,-244
1301578,12436.1118105047,-242
1300980,12774.2620428774,-252
1300359,13128.0576503087,-256
1299764,13406.1990713726,-264
1299198,13738.7398835437,-273
1298609,14031.669116691,-275
1297932,14349.5174015537,-263
1297340,14608.5465323342,-241
1296743,14856.0083801771,-235
1296154,15047.4605723398,-240
1295571,15230.6218272396,-228
1294941,15464.7319063047,-219
1294381,15656.3188514886,-221
1293797,15850.9915727971,-217
1293200,16046.6633817823,-219
1292616,16232.1808311723,-217
1292010,16403.1241579921,-213
1291412,16580.5970561981,-207
1290808,16726.9303055908,-199
1290164,16869.8688045706,-193
1289491,17057.860853189,-208
1288901,17214.1905891927,-214
1288305,17392.4883538081,-235
1287650,17580.5362189555,-243
1287014,17762.5704048379,-250
1286342,17995.7208644724,-269
1285681,18232.551928845,-286
1284999,18462.4886310142,-306
1284305,18704.5085082422,-322
1283601,18986.2352492691,-338
1282865,19264.9156824174,-349
1282060,19641.6293612888,-376
1281275,19981.6362443133,-409
1280474,20393.6629488939,-447
1279631,20787.2048883701,-479
1278798,21256.7889249943,-504
1277890,21801.590192357,-554
1276872,22419.1177429469,-626
1275712,23273.1115670921,-703
1274475,24177.0618994064,-839
1273030,25456.6151898575,-1027
1271483,26841.5426204665,-1226
1269632,28655.3943761507,-1516
1267603,30856.2094550765,-1891
1265177,33715.7412316233,-2323
1262285,37244.7022306755,-2898
1258758,41798.3049497653,-3696
1254521,47562.3526926077,-4666
1249308,54936.6841273471,-5932
1243028,64125.6527159341,-7428
1235438,75307.0905375482,-9075
1225954,89293.6934411673,-11078
1214395,106048.958743856,-13172
1200230,126159.060657877,-15333
1183133,149558.111445678,-17395
1162510,176844.81222189,-19382
1137511,207794.757929891,-20690
1108073,241520.926230753,-21322
1073973,277156.498162114,-20958
1034826,313797.052096378,-19492
990232,350543.602086136,-16010
940639,385371.786547948,-11424
885598,416967.885387878,-5305
827014,442996.817104381,2033
764526,462287.64455319,10021
699877,472319.074703223,18493
633349,473836.973556596,26920
567929,465989.488632304,34459
502916,449010.765510899,40501
440481,423842.282220193,44704
382302,392109.988142183,47049
328764,356084.188923431,47472
280997,318376.986027368,46681
238323,279606.219945633,44508
201302,241374.071197487,41221
170005,205226.271367209,37040
143548,172310.875709706,32496
122303,143686.051679961,27980
104575,118364.64181843,23551
90118,96649.4816886913,19570
78931,79044.8887109115,16019
69889,64343.1850865716,12934
62753,52526.9218015683,10386
57114,43107.9279977175,8244
52726,35874.9845806725,6596
49101,29997.629779546,5219
46290,25493.8324673214,4138
44044,22189.9119835885,3376
42159,19467.9528669769,2702
40507,17339.9593560533,2134
39131,15831.6032041307,1700
37874,14668.8768987953,1361
36725,13835.6056295063,1039
35610,13338.1582897436,786
34488,13028.9657329611,585
33417,12908.8990654949,472
32267,12977.6493130566,429
31190,12970.5412613399,420
30072,13003.1795416682,443
29005,12965.7730558306,428
27881,13021.371680767,417
26827,12964.0443865194,444
25724,12857.9338930467,441
24676,12753.758986718,412
23586,12708.5774557386,384
22528,12644.9438562206,364
21421,12538.777546219,337
20398,12437.5468913134,332
19327,12422.7821991932,351
18261,12319.1299566661,410
17202,12291.7103808371,480
16093,12158.9031214893,531
15006,11925.3089345453,570
13920,11605.2719047792,612
12882,11385.9496377975,679
11880,10979.0001130146,729
10878,10591.7808270916,794
9885,10105.1616120297,887
8971,9580.47172262705,905
8069,9020.10401669798,928
7234,8377.02988921371,919
6420,7741.02434520001,932
5724,7164.33749910681,927
5110,6614.18954590427,866
4519,5978.40726800623,775
3971,5416.92206966216,706
3477,4918.41982569382,685
3063,4486.51178094941,690
2663,4022.49769628071,637
2301,3621.25287647443,609
1944,3175.12872829666,557
1664,2780.4529481226,512
1384,2399.54954407245,474
1138,2029.46749304266,421
955,1767.58262393357,392
792,1495.94765429257,340
634,1215.80805787532,281
528,1019.67617329784,240
426,818.181254597697,194
347,677.90115271599,172
287,558.613111732704,143
244,463.974616422599,113
209,383.663857603678,91
180,325.360595642702,77
152,271.730254416012,61
133,229.286057026916,50
117,195.997131556362,42
104,170.752757269812,36
94,146.84914151393,29
86,130.99007694205,25
81,119.478610533315,21
69,97.1457911042272,15
66,94.4642740428927,15
62,89.1012399202237,15
60,85.8643624916194,15
56,81.5167643284756,14
54,77.4944887364738,13
54,77.4944887364738,13
53,74.8129716751394,12
51,69.4499375524704,10
50,69.4499375524704,10
49,66.7684204911359,9
48,65.4276619604686,9
0,0,0
