Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310717,4375.5917712964,-2
1310717,4375.5917712964,-2
1310715,4380.95480541907,-4
1310714,4383.08096211314,-4
1310713,4384.97708101107,-4
1310712,4387.65859807241,-5
1310710,4390.11007733762,-5
1310708,4393.34695476622,-5
1310706,4397.36923035822,-6
1310702,4406.52450227676,-8
1310696,4421.50288391023,-12
1310690,4433.89503325738,-16
1310686,4444.62110150272,-20
1310677,4461.36084901301,-22
1310672,4467.04920570682,-21
1310670,4469.17536240088,-21
1310662,4483.36834587095,-22
1310656,4488.82666476864,-22
1310643,4507.46253117687,-23
1310635,4517.72852382995,-24
1310629,4529.00995244256,-26
1310620,4546.2097755451,-30
1310609,4565.53575534171,-32
1310598,4584.6316973422,-37
1310586,4608.76535089421,-42
1310567,4640.80880260911,-48
1310552,4670.07545248766,-53
1310533,4691.85291154948,-56
1310509,4723.80107848936,-60
1310492,4756.76468138878,-69
1310464,4800.87495987968,-78
1310439,4847.99207800306,-88
1310406,4899.78211686073,-90
1310388,4936.07788196376,-100
1310353,4993.46099274023,-109
1310321,5048.62266204761,-117
1310289,5106.92592400859,-125
1310251,5168.79138596931,-134
1310202,5251.87894662458,-149
1310155,5338.79821332182,-164
1310117,5407.36746793588,-179
1310074,5491.47046455068,-197
1310017,5569.52031365442,-205
1309960,5668.23690108545,-221
1309892,5787.94554941489,-234
1309825,5895.3968014183,-246
1309727,6069.98126473008,-270
1309629,6194.68815636495,-274
1309533,6345.04368134971,-290
1309413,6516.3123307407,-319
1309297,6699.87784470381,-344
1309178,6868.23493923733,-367
1309014,7106.96212250784,-398
1308873,7350.99652337209,-432
1308676,7667.29713187127,-470
1308465,7974.59356975583,-498
1308255,8290.33881788773,-536
1307980,8709.48992246776,-590
1307720,9076.66041864009,-620
1307437,9467.40920799716,-636
1307154,9850.16926269915,-667
1306871,10226.931986419,-683
1306530,10658.1104495289,-705
1306177,11107.9247790471,-727
1305801,11569.4806127701,-755
1305480,11970.186420492,-775
1305050,12450.6312783826,-776
1304682,12864.9747092072,-788
1304268,13337.2729594584,-795
1303834,13780.8830401616,-809
1303355,14262.6060683736,-828
1302913,14665.4380327895,-841
1302438,15090.8328544306,-847
1301958,15580.6399020726,-857
1301483,15980.5371916678,-867
1301018,16374.0165429346,-864
1300582,16735.800885021,-889
1300113,17131.2389433952,-908
1299616,17551.960844302,-930
1299121,17929.9690417775,-935
1298629,18349.1596146036,-948
1298114,18794.5310611836,-983
1297614,19222.6795646978,-1011
1297077,19704.1562068308,-1039
1296491,20158.278666266,-1047
1295915,20625.4833884368,-1063
1295294,21176.4889046144,-1105
1294722,21707.1693533188,-1152
1294108,22185.6160358561,-1182
1293455,22737.367481951,-1224
1292745,23350.6195991895,-1258
1292008,23981.5710833688,-1313
1291290,24535.0049588484,-1357
1290493,25194.4703913086,-1409
1289681,25814.9980098505,-1463
1288872,26546.6969533799,-1538
1288010,27308.8685522974,-1605
1287112,28081.5130617009,-1672
1286166,28976.9914638046,-1780
1285274,29846.8838207677,-1881
1284209,30890.8774454871,-2012
1283088,32064.6387933562,-2183
1281954,33283.5980204875,-2349
1280592,34818.8415078351,-2580
1279165,36613.9158724095,-2903
1277578,38706.638630792,-3273
1275753,41287.6670003796,-3725
1273628,44311.1620333702,-4291
1271049,48232.895922018,-5037
1267947,53125.079057429,-5956
1264434,58741.0349899238,-7016
1260122,65943.6405046019,-8347
1255256,74120.434492232,-9836
1249548,83600.7767040856,-11448
1242736,95082.3882066699,-13350
1234753,108450.768317716,-15403
1225274,124007.659871435,-17540
1214115,141950.909878354,-19832
1201204,162535.545508705,-22241
1186509,184558.751292416,-24187
1169650,209379.507790896,-26216
1150271,236407.506883233,-27807
1128119,265763.615821502,-28994
1103458,296710.830768254,-29514
1075861,328657.701828359,-29136
1045291,361781.946643019,-27851
1010958,394899.977632261,-25413
972735,428258.332525986,-22071
931012,460740.354004456,-17996
886506,490828.814855071,-13215
838029,518158.548366854,-7068
786406,541329.566986149,254
731915,558996.964730279,9032
675308,569814.815732598,18748
617701,571241.407091028,28834
560111,563853.014139669,38533
503514,546869.98521202,47044
448618,521020.133372125,53148
396887,488552.983090238,57177
349115,451061.5014735,58375
305516,411646.247378441,58053
266391,370836.695729504,55587
232226,331951.161301882,52297
201994,295362.200264584,48755
175334,260844.77258354,44678
152674,230086.51210976,40582
132948,202328.069124251,36455
115847,177499.639637085,32599
101283,156048.231284298,29064
89071,137767.978429064,25980
78303,121322.527117245,23182
68898,106572.053355792,20503
60804,93939.3561574584,18218
53741,83015.9383210973,16243
47662,73223.7913952897,14365
42399,64792.1850887797,12662
37708,57373.5906311602,11252
33535,50848.0067480964,9974
30011,45166.1439248442,8845
26975,40424.8852181461,7875
24172,35952.5568440644,6971
21784,32282.3600904585,6229
19708,29106.2226978828,5593
17771,26141.1792232352,4995
16089,23526.727175156,4451
14520,21297.864995222,4011
13140,19199.3354754074,3566
11937,17500.2335929934,3220
10896,16018.9294211608,2935
9872,14577.4995627138,2650
8975,13283.5300226769,2389
8130,12143.866118405,2172
7395,11124.3478180916,1977
6686,10136.7218681891,1799
6044,9303.37843408836,1676
5451,8444.10051231271,1537
4938,7743.69909058088,1412
4466,7065.2262292148,1287
3998,6490.92827417743,1202
3554,5854.51847110039,1096
3159,5261.96578875485,979
2819,4792.46068862283,924
2548,4425.94083759279,866
2298,4064.6492676643,804
2042,3687.76813920615,748
1825,3349.88064119519,691
1631,3045.72579596422,649
1466,2770.10801897732,599
1315,2513.91150656204,553
1164,2250.87644847232,502
1034,2036.89409565001,464
925,1849.86166646216,441
813,1666.39143727406,411
717,1472.06038681951,369
638,1321.83961485586,335
579,1213.41239513903,313
525,1107.20661689127,288
468,982.650826560329,253
423,884.584884271592,226
375,777.228917043198,194
349,718.60033251108,180
323,665.660104672773,166
304,622.105186549137,155
288,587.015426955661,144
272,556.312733771427,139
253,516.550053443665,129
239,486.823327972858,120
231,468.282746339645,115
214,430.741507480962,102
201,398.793340541076,92
196,389.082708255263,90
186,370.542126622049,86
176,351.446184621565,81
172,342.846273070292,79
160,321.298851804602,75
154,312.698940253328,74
147,299.521392742784,72
132,262.995589843626,61
126,251.944199027146,60
120,240.662770414538,57
117,234.744375924599,56
112,222.122188781324,52
103,202.796208984713,47
97,193.64093706617,45
97,193.64093706617,45
94,186.381784045564,43
93,183.70026698423,42
89,177.226512127021,41
89,177.226512127021,41
85,166.500443881683,37
83,161.922807922412,36
0,0,0
