Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310716,4378.27328835774,-3
1310715,4380.95480541907,-4
1310715,4380.95480541907,-4
1310714,4383.63632248041,-5
1310710,4392.23623403168,-6
1310703,4408.78541199194,-9
1310694,4428.11139178855,-14
1310688,4440.5035411357,-17
1310674,4477.25938183099,-30
1310661,4507.8667902402,-39
1310641,4554.88862358857,-53
1310623,4596.68217583539,-61
1310607,4630.52646167321,-69
1310584,4679.80920473675,-77
1310562,4727.61643624852,-87
1310537,4782.68282078089,-101
1310515,4828.36389559859,-112
1310483,4899.19405992783,-130
1310435,4993.56304919571,-146
1310403,5059.58553976954,-157
1310359,5163.24455397708,-186
1310317,5249.1483847148,-200
1310266,5358.9558312084,-230
1310206,5476.38722153985,-258
1310149,5591.09762656386,-283
1310087,5710.71099011829,-304
1310018,5856.25884134765,-330
1309937,6015.80910649705,-355
1309853,6190.71889237998,-398
1309753,6403.3046701427,-448
1309656,6608.72657965983,-491
1309556,6825.10459521843,-545
1309450,7056.88159975665,-599
1309326,7320.51148645975,-653
1309167,7640.87383879702,-710
1309013,7952.50152656191,-776
1308864,8244.05730461288,-829
1308680,8623.2782792784,-912
1308489,9037.6284817835,-1003
1308289,9434.73939293995,-1084
1308070,9883.87038075019,-1170
1307853,10325.7816837859,-1268
1307601,10836.817601803,-1376
1307354,11332.1292082693,-1468
1307107,11830.4871226142,-1560
1306846,12332.7883760589,-1645
1306577,12848.7667208524,-1732
1306304,13350.7821199721,-1811
1306009,13920.8114133385,-1904
1305722,14469.214348947,-1992
1305402,15068.0107483537,-2076
1305086,15640.8168435564,-2152
1304749,16269.4583731721,-2234
1304421,16872.6976555169,-2321
1304033,17569.9247880295,-2411
1303657,18237.4810116002,-2490
1303254,18960.5078787667,-2573
1302816,19721.687161688,-2650
1302385,20449.2127283214,-2731
1301902,21284.9749451217,-2821
1301389,22157.1445600829,-2901
1300877,23004.608812842,-2970
1300391,23790.3423566614,-3033
1299878,24644.0897947277,-3112
1299318,25536.1802180988,-3179
1298742,26455.9664950217,-3256
1298139,27347.8037606335,-3307
1297546,28275.8482782537,-3367
1296934,29217.007755175,-3425
1296286,30199.1753861798,-3487
1295626,31187.7214872668,-3555
1294955,32179.0443901902,-3618
1294241,33189.844374214,-3665
1293508,34230.2526789704,-3745
1292788,35239.1960123425,-3820
1292040,36366.9836593884,-3916
1291277,37458.8798003945,-3998
1290475,38617.6954631958,-4107
1289648,39792.2027409822,-4178
1288752,41082.6658975483,-4278
1287872,42301.9504472507,-4356
1286981,43569.5023040571,-4423
1286077,44782.6942380023,-4515
1285176,45963.9380050077,-4581
1284262,47203.1760596857,-4647
1283305,48517.9335477101,-4731
1282317,49839.9174921894,-4796
1281319,51168.8679636838,-4875
1280273,52575.3523921608,-4981
1279225,53997.4658474136,-5091
1278082,55475.2405158121,-5151
1276936,57015.4360065385,-5262
1275747,58543.7321200758,-5358
1274484,60207.2148074143,-5487
1273187,61908.5477078998,-5609
1271888,63584.8268036487,-5721
1270489,65381.1071737326,-5842
1269052,67204.9813409129,-5972
1267536,69091.6016529922,-6126
1266000,71053.9945561773,-6264
1264341,73176.5652496908,-6407
1262717,75151.4292387152,-6522
1260949,77314.9849663488,-6698
1259223,79450.4473530478,-6869
1257353,81741.6051788909,-7016
1255451,84094.9047444175,-7207
1253412,86564.5509044261,-7394
1251241,89201.029602568,-7579
1249167,91747.0431822958,-7765
1246923,94443.9512990927,-8014
1244588,97270.9688098934,-8263
1242128,100260.655058534,-8537
1239560,103426.687136363,-8851
1236640,107043.009967585,-9202
1233535,110910.965218624,-9562
1230206,115073.611068687,-9995
1226603,119677.810202649,-10494
1222593,124887.772263033,-11032
1218200,130616.896534032,-11645
1213402,136821.845753795,-12273
1208077,143628.289238308,-12933
1202157,151281.000546673,-13798
1195631,159663.735140863,-14649
1188570,168570.127840214,-15445
1180950,178265.760466855,-16305
1172586,188589.63316897,-17139
1163316,199992.911773047,-18000
1153318,212370.273988699,-18836
1142093,226099.077368259,-19623
1129924,240455.454991705,-20355
1117008,255575.468987181,-21144
1102493,272814.213555363,-22007
1086533,291435.2570487,-22616
1068751,311892.288937756,-23151
1048808,334302.086000962,-23454
1026261,358912.602858319,-23304
1000747,385678.840133632,-22433
971760,414559.385413754,-20674
938932,444328.005613335,-18004
902327,474168.363746906,-13831
861181,502921.434428911,-8077
816334,529500.41272275,-1095
767673,551301.307109305,7691
716184,566486.483426798,16913
662152,575143.254462549,26882
606231,575311.198402005,36608
549874,567377.036149087,45322
494405,551564.097541172,52391
439887,528810.507647577,58213
387851,499895.472083822,62709
338561,465335.815537987,65425
293084,426990.329358665,66371
251753,387156.436565637,65606
214820,346083.903351466,63094
182560,306694.912352823,59494
154099,268410.080501357,54892
129477,232692.469141866,49739
108418,200380.203457323,44613
90694,171860.74515297,39621
75787,146790.860044957,34804
63209,124689.545110104,30277
52649,105589.944944257,26208
43902,89371.1544701808,22601
36781,75843.0881791279,19539
30809,64265.7330703428,16808
25852,54457.189710964,14468
21690,46210.9418190229,12480
18203,39225.6835159363,10734
15322,33332.1606759497,9254
12873,28215.557778718,7948
10837,24027.4431264159,6883
9164,20419.9259627412,5894
7677,17221.34015092,5035
6479,14604.9293957334,4333
5486,12391.0810989204,3687
4664,10569.8055455508,3163
3965,8964.35264737249,2686
3397,7685.96589418479,2305
2910,6583.56017936845,1966
2528,5695.12046909161,1690
2211,4975.52104890382,1478
1939,4370.30671116891,1298
1696,3829.77410547716,1136
1501,3391.32971766615,1002
1337,3015.7267595293,881
1185,2684.21773160053,791
1069,2419.15180159175,713
959,2179.8856062368,645
876,2001.50890512914,592
803,1833.95355704183,541
733,1670.38101630043,484
679,1558.02680576661,456
631,1454.69311413021,425
581,1363.79104008707,407
542,1276.22112824754,382
507,1205.3909639183,362
476,1134.14019224291,343
447,1068.02241689406,325
419,1003.4359696259,304
396,952.947221052804,290
375,908.051544398501,280
355,864.95670186712,270
340,828.851506314119,256
326,793.666461945628,245
314,765.415248026602,238
302,739.060153005512,231
288,705.866512309973,219
278,685.985172146092,215
263,650.244767410332,205
252,626.341151654449,199
247,613.488926715046,194
236,586.903793897829,186
226,563.230215938074,180
219,548.711909896862,177
204,514.082225895641,167
199,501.460038752366,163
192,484.26021564982,158
186,469.51187181248,153
176,445.608256056597,146
171,433.541429280592,142
161,410.193173891979,135
153,390.311833728098,129
147,375.793527686886,125
140,360.164500911135,122
136,350.223830829194,119
130,335.705524787982,115
127,327.660973603979,112
121,311.571871235972,106
117,301.401163357904,102
112,288.778976214629,98
108,278.052907969291,94
105,270.008356785287,91
103,266.216118989413,91
99,256.045411111345,87
96,248.786258090739,85
93,240.741706906735,82
88,228.11951976346,78
88,228.11951976346,78
85,220.860366742854,76
82,212.815815558851,73
80,207.452781436182,71
0,0,0
