Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310717,4375.5917712964,-2
1310714,4383.08096211314,-4
1310710,4391.68087366441,-6
1310702,4408.32533639969,-10
1310688,4429.54743509424,-13
1310671,4462.37628497253,-22
1310648,4508.84275795363,-29
1310629,4545.69388342393,-38
1310585,4625.31452885447,-53
1310533,4721.94442783753,-71
1310468,4851.86325229114,-101
1310385,4988.5811541731,-118
1310302,5119.11115552289,-130
1310203,5291.33942434448,-143
1310100,5440.12415300245,-146
1309981,5589.23420423156,-152
1309836,5754.93290166703,-142
1309678,5931.79462297681,-155
1309510,6081.13471200204,-157
1309338,6217.62257608787,-186
1309151,6406.86009846198,-210
1308973,6534.99443707549,-234
1308772,6702.60560169171,-264
1308610,6852.59633585923,-288
1308452,7000.78623590383,-314
1308288,7178.33807060199,-356
1308106,7382.97458195572,-391
1307948,7547.90422951061,-409
1307780,7700.63229726838,-450
1307594,7908.92629339688,-482
1307424,8121.37731813849,-515
1307233,8344.18962030819,-556
1307068,8532.46752325169,-598
1306876,8790.10007897265,-655
1306691,9045.78069926676,-691
1306464,9352.37067548012,-751
1306238,9702.59450630931,-812
1306001,10055.2698164037,-881
1305778,10392.2766314763,-945
1305535,10755.1784659776,-1010
1305266,11165.6574941947,-1092
1305000,11580.9836644132,-1175
1304714,12039.174639367,-1265
1304424,12563.7923639579,-1373
1304146,13063.1657142623,-1475
1303795,13656.9244021174,-1584
1303436,14316.1338718963,-1708
1303064,14987.27541543,-1818
1302658,15712.5073757827,-1961
1302217,16524.5796663404,-2132
1301764,17347.3385568974,-2279
1301296,18201.434437498,-2426
1300793,19121.1485496092,-2606
1300296,19998.6879703735,-2719
1299734,21076.4210195534,-2925
1299154,22103.149428039,-3089
1298573,23129.2830079112,-3223
1297930,24295.466651869,-3430
1297276,25498.4061365221,-3630
1296601,26731.60458705,-3812
1295824,28173.0643371408,-4038
1295045,29564.6696355179,-4224
1294125,31248.8624961883,-4434
1293291,32734.2024869739,-4609
1292356,34377.0224027436,-4797
1291394,36037.5349137739,-4939
1290393,37741.0796791261,-5107
1289411,39429.3833284831,-5258
1288446,41034.8852715098,-5380
1287405,42768.045129275,-5465
1286303,44609.8853645165,-5569
1285275,46204.6544676174,-5651
1284121,47996.3408534593,-5740
1282951,49847.9638857983,-5836
1281703,51724.7687042144,-5886
1280428,53674.4114389156,-5972
1279094,55745.9842634153,-6057
1277814,57573.831661339,-6101
1276428,59539.4219737066,-6169
1275050,61436.459379743,-6186
1273611,63442.6535871306,-6206
1272209,65307.6475414521,-6222
1270777,67200.4884506292,-6248
1269227,69197.02784226,-6285
1267689,71156.4533740587,-6327
1266151,73073.411588505,-6312
1264599,74999.9620304989,-6347
1262994,76974.9866974296,-6416
1261445,78768.8905579819,-6441
1259870,80576.6688511136,-6449
1258236,82444.4723038371,-6496
1256625,84169.3372575807,-6523
1255008,85924.9049045087,-6544
1253360,87698.7041587814,-6586
1251677,89477.1205172596,-6614
1250012,91232.4023098625,-6660
1248250,93073.4627567843,-6698
1246528,94642.2048923572,-6701
1244689,96443.3679059302,-6758
1242854,98255.4379806961,-6823
1240951,100084.875328151,-6857
1239051,101892.939475608,-6856
1237080,103793.453373472,-6899
1235124,105471.115500919,-6952
1233102,107360.610704532,-7004
1231102,109283.257275672,-7061
1228984,111246.080362806,-7089
1226853,113189.981729206,-7191
1224647,115191.861034996,-7251
1222340,117289.466436868,-7315
1219989,119328.101583353,-7367
1217583,121375.599375751,-7448
1215193,123480.487050607,-7511
1212725,125660.871038845,-7629
1210110,127941.519290878,-7735
1207556,130139.849032137,-7851
1204848,132551.310334923,-7975
1202068,134876.305674923,-8103
1199234,137306.888844595,-8259
1196218,139938.155609918,-8358
1193142,142692.463185774,-8539
1189784,145755.614875878,-8760
1186130,149161.961281587,-8998
1182306,152700.986965304,-9259
1178220,156839.768667857,-9576
1173738,161252.574231107,-9901
1168911,165924.155767379,-10255
1163572,171216.380522008,-10601
1157810,176888.677042598,-11027
1151738,182836.949359312,-11438
1145218,189277.858537111,-11839
1138156,196222.402955204,-12317
1130608,203660.671835155,-12861
1122601,211479.147234087,-13328
1113772,220280.142673316,-13849
1104504,229366.002479468,-14392
1094482,239376.423539732,-14980
1083782,250130.295786169,-15503
1072188,261732.427260132,-16080
1059613,274241.555374287,-16579
1045794,287940.931426062,-17205
1030405,303761.857125547,-17804
1013264,321281.393097126,-18175
994125,340355.962578199,-18226
972703,360741.159605405,-18032
948563,383473.473426201,-17129
921072,407129.342641753,-15630
890187,431532.074142173,-13512
856272,455366.538876941,-10251
818461,478635.682740564,-5875
777399,499254.372578847,-272
733372,515696.53420097,6411
686894,527978.91925472,13730
638815,533888.274753145,21262
589592,533631.63799893,28481
540416,526098.471856066,34799
491729,513065.289311205,40347
444466,494801.338086015,45063
399069,471879.6881719,48648
356519,445532.375448881,51260
316711,415900.880895755,52378
279828,384650.683732128,52370
246668,353391.753065766,51298
216775,321930.312044744,49487
190310,291868.191583953,46954
166525,263144.033698789,44313
145765,236903.663107332,41530
127240,211883.939782236,38341
111000,189191.060033026,35338
96919,169102.061331713,32576
84273,150312.430706047,29737
73351,133460.087329059,27044
63980,118683.487348544,24655
55729,105300.799816049,22435
48617,93405.0422238704,20376
42559,83036.1909418501,18484
37158,73607.5068207549,16751
32374,65123.3836986746,15164
28283,57693.7570034433,13735
24815,51279.4126434202,12510
21829,45683.8539432105,11356
19212,40647.4078985719,10287
16879,36117.6434021067,9304
14799,32066.4344163147,8437
13039,28531.6339592648,7625
11483,25380.8063341069,6901
10117,22552.6019710015,6236
8880,19975.4774722676,5607
7815,17741.8730117095,5068
6842,15670.7235994779,4535
6071,14029.8623908154,4129
5350,12442.5689351703,3698
4763,11169.4335830474,3361
4181,9865.26344348868,2980
3689,8750.73508536743,2657
3256,7765.83969737474,2379
2897,6948.53912571545,2151
2555,6161.76702597319,1919
2293,5553.83170293084,1736
2043,4973.63170168635,1565
1838,4490.61695979218,1421
1627,3992.02900765118,1265
1458,3592.37133245451,1145
1306,3234.37245648354,1042
1196,2970.60781675933,958
1082,2699.85353005674,879
988,2476.44639927367,813
934,2352.25539975997,780
857,2168.28562673351,726
804,2041.27835713737,688
752,1910.34409672423,644
692,1760.63921688175,594
650,1654.85404598016,560
609,1555.54262993577,528
579,1478.56403332046,501
545,1394.00096111341,474
519,1330.33466502977,455
489,1254.14146657786,429
455,1170.13375473808,402
429,1106.23742085831,382
399,1030.27426020253,357
386,996.199936568579,345
368,952.645018444943,333
349,907.289266198385,319
331,863.274272482493,305
319,831.881465909877,294
309,807.192451990597,286
294,767.755094233977,272
281,734.466168763423,261
263,688.555056149595,246
252,659.843766638313,236
241,631.917875290429,227
229,601.080429085082,216
226,593.591238268348,213
219,575.606017002404,207
215,564.879948757066,203
207,543.42781226639,195
198,521.420315408445,188
190,500.753577081166,181
183,483.093678386365,174
173,457.063905936417,165
164,433.715650547804,157
159,421.093463404529,153
150,396.959809852519,144
146,386.233741607181,140
138,365.567003279902,133
134,354.840935034564,129
131,346.796383850561,126
125,330.707281482554,120
0,0,0
