Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310706,4399.49538705229,-7
1310663,4456.45789048259,-12
1310550,4614.95325142637,-38
1310317,4872.22101633009,-52
1310016,5115.06575996761,-37
1309676,5302.61408127663,-47
1309297,5527.75945797324,-49
1308875,5770.50891683575,-55
1308467,6003.16660431238,-50
1308057,6145.26388859983,-56
1307654,6340.70565978892,-53
1307245,6479.18492754771,-49
1306916,6586.88256563006,-49
1306586,6727.39270530789,-63
1306256,6884.88897857496,-89
1305898,7106.63002825623,-107
1305575,7261.02417711581,-112
1305242,7458.0367446317,-153
1304900,7694.17769561588,-178
1304552,8002.01314558489,-222
1304194,8289.42824330557,-256
1303811,8617.2171982502,-296
1303409,9035.64549287621,-341
1303008,9406.68716333661,-405
1302544,9903.88811702039,-479
1302097,10439.6130489567,-538
1301674,10931.244050685,-604
1301174,11562.1628382987,-678
1300662,12209.1476083172,-734
1300074,12946.091181231,-776
1299495,13732.6495914599,-815
1298876,14497.5258274021,-826
1298296,15217.8085892978,-851
1297734,15938.2655724607,-855
1297121,16746.404100521,-903
1296488,17543.0311621725,-936
1295847,18343.1414873316,-984
1295186,19110.0976400412,-1010
1294497,19910.3590665043,-1040
1293844,20666.4775179107,-1048
1293199,21348.1410167789,-1072
1292529,22067.2436980502,-1106
1291880,22812.6360812113,-1123
1291198,23532.8331349344,-1138
1290508,24257.3682102182,-1148
1289805,25021.6428458665,-1162
1289089,25768.4318040872,-1213
1288330,26531.9999780644,-1222
1287578,27284.707330775,-1222
1286792,27990.2022805873,-1210
1286009,28780.3950556277,-1230
1285173,29618.5134669182,-1253
1284355,30430.0630936743,-1291
1283481,31259.4795369581,-1310
1282589,32055.7976243213,-1356
1281665,32915.4008686681,-1405
1280743,33723.3651754611,-1429
1279851,34504.0147678025,-1447
1278880,35279.4591990056,-1474
1277893,36083.8844257622,-1495
1276871,36932.8568866387,-1552
1275892,37779.4336847789,-1604
1274874,38675.5627320248,-1669
1273881,39508.0812997161,-1717
1272918,40347.7868556162,-1770
1271921,41193.5156673836,-1819
1270890,42068.0020085888,-1867
1269853,42940.9339017501,-1904
1268793,43803.1397266661,-1968
1267702,44711.2961324419,-2001
1266626,45557.7545258438,-2055
1265462,46521.6116130115,-2115
1264242,47539.575465281,-2172
1263012,48584.4266529755,-2259
1261651,49719.0133774498,-2314
1260265,50790.1243753904,-2424
1258804,51834.2691014138,-2498
1257436,52864.5856347843,-2613
1255967,53998.0943350896,-2736
1254474,55112.1096060116,-2864
1252932,56368.7217050594,-3005
1251425,57607.4996841451,-3118
1249863,58828.6967010283,-3236
1248285,60135.8764851413,-3402
1246672,61585.9784199514,-3603
1245008,63058.9127180288,-3755
1243291,64675.2523623587,-3944
1241553,66308.2922859529,-4125
1239731,68094.5367011798,-4287
1237966,69700.9125554645,-4444
1236130,71489.5853299934,-4620
1234158,73371.4769048096,-4820
1232265,75231.4630392232,-5017
1230383,77064.791876008,-5184
1228445,79066.9773511645,-5398
1226446,81115.892033664,-5641
1224341,83319.4703710653,-5799
1222199,85438.7089023751,-6004
1219974,87727.5009571257,-6257
1217711,90123.4747578375,-6451
1215343,92545.5177992453,-6676
1213051,94939.8255188553,-6879
1210635,97523.5545587089,-7109
1208081,100299.074656657,-7295
1205453,103189.844171714,-7537
1202729,106161.059198611,-7757
1199890,109237.346163058,-7962
1196893,112486.535161432,-8172
1193909,115657.660767341,-8365
1190754,118843.659893507,-8542
1187418,122275.464363016,-8696
1183927,125869.516963018,-8844
1180350,129556.795134988,-8987
1176668,133349.733301441,-9133
1172795,137145.813060548,-9248
1168748,141202.22324072,-9394
1164600,145197.606368701,-9493
1160433,149225.177278021,-9599
1156038,153392.860839636,-9686
1151438,157728.395180265,-9747
1146774,162010.368539558,-9777
1141829,166501.335584969,-9912
1136554,171180.366843811,-9969
1131138,176007.443673074,-10011
1125512,180850.777054292,-10015
1119556,186099.51905561,-10026
1113157,191514.113660589,-10006
1106394,197257.542548116,-9982
1099101,203362.834714222,-10091
1091415,209869.943408783,-10072
1083260,216397.502347237,-9984
1074606,223314.120873983,-9945
1065136,230583.19424963,-9804
1055232,237969.396813,-9642
1044714,245715.503947841,-9424
1033569,253606.078104821,-9078
1021969,261151.698985242,-8663
1009958,268830.930033293,-8147
997266,276752.269471666,-7707
984385,284479.810099989,-7288
970759,292325.311554126,-6802
956587,300220.000466551,-6339
941922,308631.784054348,-6017
926425,317711.111484192,-5761
910117,327469.11308339,-5400
892456,338803.344365893,-5197
873151,351291.26228163,-4926
852317,364848.9871001,-4178
829504,379777.762111678,-3329
804039,395715.478813543,-1645
776090,412072.877217307,377
745589,428468.062084172,2588
712182,444788.678722355,5685
675920,458863.620106446,9584
637261,470550.177775261,14321
596911,478280.720313961,20067
555088,479814.048047957,26258
513136,474658.48537868,32318
471113,463942.562596923,37237
430822,447083.439295712,40901
392556,425774.294996211,42720
357016,402246.357168199,43248
324585,376915.386132601,42531
294903,352151.952281021,41266
268387,327787.831628862,39304
244761,304860.395749605,36954
223531,283660.941653696,34833
204604,264546.318028126,32872
187775,246859.079573915,30973
172372,230447.483767621,29204
158589,215533.482543517,27649
146028,201589.05945984,26172
134660,188728.442887895,24768
124686,177262.707960002,23665
115248,166400.711858293,22567
106841,156365.759657093,21465
99287,147262.962762201,20449
92149,138626.513026505,19569
85765,130627.432713316,18588
79880,123370.426164445,17810
74473,116704.00401421,17182
69299,110141.122473445,16534
64714,104217.690271955,15889
60413,98537.2116422377,15357
56464,93215.970590567,14845
52723,88090.8546517934,14280
49343,83363.5166176013,13792
46128,78757.5070729138,13227
43063,74449.4548963229,12756
40258,70377.790056795,12257
37552,66470.4668078892,11829
35023,62635.9256587394,11372
32597,58922.989276817,10897
30352,55496.8962839652,10485
28285,52287.2929397298,10084
26274,49080.7127834097,9627
24422,46041.2374761871,9137
22675,43109.5849834655,8687
21007,40344.1076120545,8265
19528,37784.1801315012,7826
18025,35210.7334325835,7419
16693,32916.1740846469,7034
15421,30690.0723582665,6666
14241,28567.5507096015,6289
13190,26647.1909730617,5934
12166,24778.5423388874,5576
11231,23104.1131221098,5283
10390,21554.6997712554,4997
9647,20115.9514298697,4705
8902,18643.6051887251,4373
8240,17387.2952922852,4130
7631,16233.8590118895,3914
7061,15129.5476015728,3682
6553,14151.8228535062,3480
6069,13203.0789009931,3300
5563,12186.2815859871,3085
5141,11322.8071673522,2895
4748,10521.7930392914,2726
4441,9880.26658817063,2572
4103,9157.72291655975,2403
3806,8540.04426466595,2265
3532,7980.53412171202,2143
3303,7488.02243704535,2022
3052,6953.75666837797,1897
2791,6377.9273852599,1750
2584,5925.92431083829,1635
2394,5521.36367711121,1535
2237,5180.83413028501,1452
2104,4897.36237166413,1382
1932,4511.38178781636,1283
1810,4241.87297486943,1213
1684,3959.64669000421,1140
1566,3691.47863558794,1068
1431,3397.32027696783,999
1324,3155.73735536878,936
1238,2964.08782197556,886
1140,2742.80684788655,823
1063,2566.00094310568,776
978,2362.70519028262,716
903,2191.81767999169,670
827,2013.9963392513,620
778,1899.05589643116,586
704,1720.44915752737,533
630,1548.68096429803,486
578,1427.72684221294,454
524,1297.80801775933,414
484,1199.83736024561,382
442,1098.76457832439,354
400,1001.38874942404,330
378,943.736132605345,309
340,855.93618296969,283
308,776.831429660323,255
281,711.269014678741,236
0,0,0
