Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310718,4372.91025423507,-1
1310718,4372.91025423507,-1
1310718,4372.91025423507,-1
1310718,4372.91025423507,-1
1310717,4374.80637313301,-1
1310717,4374.80637313301,-1
1310716,4376.14713166367,0
1310716,4376.14713166367,0
1310715,4377.48789019434,0
1310715,4377.48789019434,0
1310715,4377.48789019434,0
1310714,4378.59861092888,0
1310714,4378.59861092888,0
1310714,4378.59861092888,0
1310714,4378.59861092888,0
1310713,4377.25785239821,0
1310712,4378.04325056161,0
1310712,4378.04325056161,0
1310711,4379.38400909228,0
1310711,4379.38400909228,0
1310710,4382.06552615361,-1
1310710,4382.06552615361,-1
1310710,4382.06552615361,-1
1310709,4382.06552615361,-1
1310709,4382.06552615361,-1
1310705,4387.98392064355,-2
1310704,4387.98392064355,-2
1310704,4387.98392064355,-2
1310702,4391.22079807216,-3
1310701,4391.77615843942,-3
1310698,4396.90915476597,-4
1310697,4399.5906718273,-5
1310695,4403.38290962317,-5
1310693,4406.84982484791,-5
1310692,4408.74594374584,-5
1310690,4411.65749860331,-4
1310690,4411.65749860331,-4
1310689,4413.78365529737,-4
1310688,4415.90981199144,-4
1310688,4415.90981199144,-4
1310687,4416.69521015483,-4
1310684,4421.50288391023,-5
1310683,4422.61360464477,-5
1310682,4423.16896501204,-5
1310680,4427.19124060404,-5
1310677,4431.21351619604,-6
1310673,4437.13191068598,-6
1310671,4437.36194848211,-5
1310670,4437.91730884938,-5
1310668,4438.47266921665,-5
1310667,4436.34651252259,-6
1310665,4438.24263142052,-5
1310662,4444.39106370659,-5
1310657,4455.11713195193,-7
1310654,4459.13940754393,-7
1310648,4471.7615946872,-10
1310644,4473.10235321787,-10
1310640,4477.91002697327,-9
1310635,4482.48766293254,-9
1310627,4496.77593117763,-13
1310623,4496.5458933815,-13
1310618,4504.91576713664,-14
1310610,4511.38952199385,-13
1310607,4517.53795427992,-14
1310602,4524.01170913713,-15
1310593,4530.02538840208,-15
1310587,4541.07677921856,-16
1310579,4552.12817003504,-17
1310575,4556.15044562704,-16
1310570,4560.95811938244,-16
1310562,4566.64647607625,-15
1310555,4575.24638762753,-16
1310543,4583.61626138267,-16
1310541,4585.51238028061,-16
1310535,4595.45305036255,-18
1310527,4607.51987713855,-20
1310518,4617.55583199551,-19
1310514,4621.57810758751,-20
1310502,4641.22940995526,-22
1310494,4649.59928371041,-21
1310487,4660.55538975188,-21
1310473,4677.19985248715,-25
1310465,4689.26667926316,-26
1310456,4700.64339265078,-26
1310442,4721.96077612034,-28
1310430,4735.13832363089,-33
1310420,4749.6566296721,-35
1310406,4763.94489791718,-36
1310385,4788.95923440761,-43
1310372,4810.41137089828,-45
1310346,4850.82469636833,-48
1310330,4864.32756645002,-49
1310302,4900.39329375692,-52
1310280,4930.08055098163,-56
1310245,4981.44998249314,-62
1310196,5060.97534314866,-79
1310148,5139.38998306965,-89
1310080,5241.47820095039,-98
1310011,5338.29866948347,-114
1309912,5484.4018810801,-140
1309790,5678.63764675964,-183
1309668,5879.29135076747,-217
1309526,6119.30347603973,-267
1309312,6487.06880082543,-336
1309044,6900.3640991249,-380
1308762,7341.46688403396,-433
1308443,7829.44040098745,-479
1308046,8433.59983451674,-541
1307624,9015.95868902093,-570
1307156,9631.51118422067,-635
1306590,10400.830303101,-703
1305883,11294.6820923489,-753
1305188,12123.3920739615,-798
1304407,13019.1005138613,-820
1303558,13965.9088792304,-852
1302638,14904.7285099444,-878
1301605,15937.9171299263,-925
1300473,17144.8884667737,-1009
1299261,18568.1098378391,-1211
1297758,20385.3726922191,-1521
1296055,22644.967456981,-1944
1293968,25720.7030278192,-2558
1291449,29653.1370598272,-3396
1288002,35410.1461108428,-4650
1283681,42993.3472171194,-6297
1277907,53399.4821322319,-8400
1270221,67178.0848275647,-10941
1260133,85235.0344508959,-14051
1246853,108296.223184323,-17630
1229572,137182.50818966,-21281
1207486,172089.597939218,-24668
1179598,213292.398619716,-27467
1145411,259225.33957988,-28578
1104351,308944.887638177,-27778
1055814,360429.94914208,-24720
999710,411665.334128351,-18661
936282,458437.984611174,-9406
866566,497547.568118047,2128
791838,525712.614227568,15378
713438,541566.110208668,28960
633713,542615.346819686,41170
554529,529831.876293944,51468
477577,504783.129219538,59204
404876,468578.020086381,63808
338143,425656.233378382,65623
277410,377193.899019426,64698
224148,326232.880726543,61304
178600,276464.732105053,56147
140244,228864.287825044,49932
108593,185304.613478743,43114
83389,147087.449684571,35928
63801,114820.325863422,29040
48672,88068.1325946087,22720
37038,66614.1964316465,17297
28394,49895.8616721691,12771
22074,37439.7193451906,9311
17527,28389.0506744999,6696
14258,21813.7543456726,4756
11850,17066.9109818214,3403
10167,13751.6656344712,2413
8928,11550.4327531211,1766
7931,9895.10228326583,1298
7149,8711.17980412102,989
6563,7884.49392274707,789
5992,7234.86710391339,684
5521,6699.07000716531,601
5085,6315.23869997488,576
4723,5938.68289408788,548
4383,5588.80750579311,525
4031,5242.80329178641,520
3684,4905.62902712711,508
3407,4593.33434593712,488
3110,4237.34999360239,458
2868,3978.36033106794,451
2610,3678.4972674712,431
2386,3399.45204350567,400
2185,3138.85211639833,367
2000,2889.5730861497,344
1840,2683.17520891915,315
1685,2485.91625532431,296
1557,2326.75390095543,284
1390,2129.82026993174,270
1276,1996.28342894947,262
1173,1878.70093731409,255
1062,1748.63101155655,249
965,1623.09925351219,239
874,1509.99911306107,238
797,1399.54102142518,229
717,1295.92147546374,230
647,1193.54740325796,221
583,1104.21612554161,212
505,985.618197946707,201
443,892.264644638354,194
393,808.486970594701,180
350,730.302368469844,167
306,657.290230917627,160
268,583.778549527056,143
231,508.600787034676,125
197,438.230698297695,108
172,384.179749724849,96
139,310.247460988122,78
113,253.514995353941,64
99,227.619975925107,61
83,188.968016331884,49
62,143.747017106439,40
52,121.969558044621,35
43,100.517421553945,28
37,85.9991155127326,24
33,76.8438435941896,22
25,56.7324656341809,15
20,47.021833348368,13
19,44.3403162870335,12
15,35.1850443684905,10
11,24.4589761231525,6
9,21.2220986945483,6
8,18.5405816332138,5
7,15.8590645718793,4
6,13.9629456739422,4
5,12.622187143275,4
5,12.622187143275,4
5,12.622187143275,4
0,0,0
