Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310718,4372.91025423507,-1
1310718,4372.91025423507,-1
1310712,4384.19168284768,-2
1310704,4396.02847182755,-4
1310697,4400.3760699907,-3
1310688,4409.66609493035,-3
1310680,4417.02053272597,-4
1310676,4418.68661382778,-4
1310668,4420.90805529686,-4
1310663,4423.5895723582,-4
1310655,4430.8487253788,-6
1310647,4443.70095031821,-9
1310635,4455.76777709421,-10
1310629,4467.04920570682,-12
1310618,4476.75983799263,-11
1310611,4484.80438917664,-11
1310597,4498.63258182946,-12
1310589,4504.22565374826,-11
1310568,4522.21087501421,-14
1310550,4535.84849811701,-15
1310540,4540.98149444355,-18
1310528,4552.49296085228,-22
1310517,4566.2258687301,-26
1310499,4587.54325219966,-31
1310485,4603.72763934268,-32
1310465,4623.37894171043,-38
1310454,4641.68948554752,-43
1310437,4665.5931013034,-47
1310418,4695.31982677421,-50
1310407,4707.15661575409,-47
1310394,4719.08868950898,-46
1310376,4750.57678085661,-51
1310361,4762.83417718264,-53
1310344,4780.9146832236,-58
1310323,4813.18817273463,-62
1310309,4829.92792024492,-66
1310291,4854.71221893922,-67
1310275,4873.48283836856,-68
1310239,4928.77926069706,-76
1310221,4950.00135939161,-81
1310195,4996.00775678045,-88
1310171,5020.69677069973,-95
1310144,5063.56157543498,-102
1310117,5094.49430641534,-104
1310090,5124.96696180345,-107
1310063,5169.21199331547,-112
1310034,5214.66303033704,-117
1310002,5258.44798625681,-121
1309977,5290.95151356396,-121
1309944,5330.90476344175,-125
1309912,5366.64516817751,-129
1309880,5414.68243748541,-135
1309842,5469.28874642552,-142
1309800,5516.63590234503,-144
1309757,5576.93056797896,-152
1309706,5635.55915251108,-156
1309666,5675.32183283884,-156
1309620,5744.54173259518,-165
1309562,5831.69103708855,-181
1309503,5900.03025390648,-182
1309449,5957.04857386571,-187
1309381,6057.43124239854,-197
1309309,6143.06556709403,-202
1309235,6233.50756554492,-211
1309175,6303.18754089352,-214
1309107,6393.62953934441,-224
1309045,6472.23474881543,-231
1308968,6548.38847902123,-239
1308875,6659.91782314556,-250
1308797,6727.98753392126,-258
1308721,6827.98906335404,-258
1308622,6941.14502033407,-266
1308533,7057.84682903104,-277
1308429,7181.11767736023,-279
1308328,7300.13621230129,-295
1308216,7416.3384771599,-305
1308083,7575.94455883822,-316
1307988,7686.13314443188,-321
1307890,7789.19733002604,-331
1307789,7903.86826680396,-341
1307670,8065.56103693024,-359
1307540,8220.41526138208,-370
1307444,8334.85616036386,-374
1307321,8484.48210371414,-383
1307204,8625.27809771702,-394
1307058,8815.68215735459,-414
1306925,8993.13870727773,-429
1306763,9192.73750707994,-453
1306601,9375.70819242969,-470
1306408,9609.62770194479,-492
1306229,9819.68306395011,-514
1306041,10037.053395505,-544
1305848,10302.0962055504,-574
1305642,10565.4729344941,-595
1305367,10932.1833550742,-644
1305089,11279.2030050404,-680
1304755,11705.7480156622,-722
1304422,12155.5065286514,-771
1304014,12713.3274705403,-806
1303527,13355.576731615,-852
1303115,13848.4859036646,-866
1302618,14433.391522209,-898
1302089,14988.9515543827,-909
1301556,15568.14569627,-928
1300991,16177.2571331781,-966
1300412,16807.574320498,-1000
1299791,17474.8542663461,-1042
1299134,18169.0677875457,-1095
1298440,18892.3179208278,-1150
1297699,19677.3776995417,-1217
1296878,20582.6456704234,-1286
1295975,21574.7703197929,-1359
1295005,22654.2348432059,-1437
1293929,23879.1914013193,-1529
1292744,25109.8363161265,-1599
1291466,26463.6336745246,-1692
1290097,27906.2464185179,-1806
1288539,29626.373058396,-1982
1286869,31449.4917190565,-2173
1285096,33468.2263721734,-2416
1283125,35657.2700552506,-2735
1280830,38425.8698661105,-3166
1278227,41732.3207656008,-3748
1275286,45595.0122340508,-4447
1272003,50309.5155534231,-5384
1267972,56454.134606064,-6504
1263380,63475.0177140699,-7831
1257985,72223.1857203557,-9469
1251319,83140.5363845963,-11375
1243222,96602.9872490605,-13787
1233434,113327.404367105,-16627
1221735,133175.561628729,-19663
1207249,157126.38301583,-22788
1189292,185948.402249124,-25877
1167796,218801.367988945,-28512
1142341,255664.219976344,-30450
1112130,296433.508919866,-31320
1076358,340119.278600004,-30757
1034781,385263.299627513,-28522
987600,431045.6604354,-24621
934420,474185.946668304,-18224
875234,512710.32728328,-9093
810965,544752.541856622,1809
742710,567300.869556109,14265
671528,576933.982789476,27473
599889,573705.356829889,39985
528565,556259.01398881,50964
459846,526479.50259507,58779
395426,487437.455114824,63280
336675,442030.195397562,64657
284177,392717.910004434,63018
238177,343097.374163834,59100
199002,296626.937528595,54113
165716,253605.134785306,48162
137692,215339.393265996,42328
114154,181387.09801088,36634
94668,152106.861877747,31383
78627,127270.016758148,26692
65564,106357.712220676,22613
54845,88680.0225590076,18949
46193,74438.8277977023,15975
39074,62518.9421618156,13381
33330,52869.9067944183,11266
28357,44569.5656807362,9408
24353,37983.8274949034,7938
20931,32344.9766109318,6623
18152,27742.7553372817,5581
15884,24120.6381261517,4767
13891,20965.8113453651,4092
12221,18315.2309817695,3514
10769,16027.979831702,3039
9529,14139.8935846732,2663
8392,12436.7857749499,2341
7429,11004.7017579715,2059
6594,9746.37733789536,1801
5892,8715.61707721541,1613
5244,7828.10428980354,1428
4673,6982.71037720962,1282
4184,6288.99639984831,1182
3715,5602.80430986937,1039
3318,5016.70903409822,938
3003,4559.0570712289,861
2717,4143.48451493144,784
2426,3746.5872932883,713
2146,3324.02509001245,637
1930,2997.4979571063,581
1724,2695.67618640224,514
1535,2399.94703145533,465
1371,2157.21392087564,403
1228,1938.05910348069,357
1101,1737.25429816893,318
986,1559.43295742854,280
903,1446.15859571021,254
804,1297.73865786948,228
731,1199.80746860186,215
659,1096.60852998658,197
588,996.725405292103,188
534,919.191448309531,175
499,863.56970340989,161
447,804.885302348856,161
399,725.455226468346,143
354,640.796869486281,126
326,594.655719076325,117
294,545.317159483863,111
262,488.584693849682,98
251,471.384870747136,94
227,435.319143440233,90
206,399.808776500601,84
193,379.142038173322,82
175,344.837676743244,74
157,307.201153109546,65
143,283.432290374777,63
129,262.440229476356,61
120,244.12968563927,58
111,226.929862536724,53
97,201.130127882904,48
92,189.293338903026,45
88,182.264223678548,45
86,179.582706617213,44
77,162.287598739652,43
63,134.13166959564,35
60,127.427876942304,33
57,120.168723921698,31
54,113.464931268362,29
53,110.783414207027,28
47,100.287383757817,25
44,95.7097477985455,24
42,91.9175100026714,24
40,86.5544758800024,22
36,78.7399624921266,21
34,74.1623265328551,20
32,70.9254491042508,20
31,69.0293302063137,20
26,56.9625034303085,16
24,52.9402278383068,15
24,52.9402278383068,15
23,50.2587107769723,14
22,47.5771937156378,13
20,42.2141595929689,11
19,39.5326425316344,10
18,36.8511254702999,9
0,0,0
