Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310719,4370.22873717373,0
1310716,4377.48789019434,-2
1310715,4380.16940725567,-3
1310714,4382.85092431701,-4
1310711,4390.89547550101,-7
1310708,4398.94002668502,-10
1310706,4403.51766264429,-11
1310702,4412.67293456283,-13
1310700,4416.4651723587,-13
1310699,4419.14668942004,-14
1310698,4421.82820648137,-15
1310697,4423.16896501204,-15
1310691,4437.13191068598,-18
1310685,4451.09485635993,-22
1310681,4461.26556423799,-25
1310671,4483.59838366708,-30
1310658,4514.43582987243,-39
1310647,4538.66476819945,-45
1310640,4548.93076085254,-47
1310622,4587.35268264963,-54
1310612,4606.77394722126,-54
1310593,4642.83967452816,-59
1310585,4662.95105248817,-65
1310566,4691.75762677446,-68
1310552,4718.11272179555,-72
1310536,4752.1870454295,-81
1310525,4777.10609714491,-87
1310508,4807.71350555413,-90
1310493,4832.95787984068,-95
1310476,4863.33525045377,-101
1310450,4905.45412527173,-106
1310424,4943.51125625158,-109
1310404,4981.14777988528,-116
1310384,5019.56970168237,-122
1310358,5068.25761613255,-133
1310337,5108.90097939872,-138
1310311,5154.12197862417,-147
1310266,5232.0765429529,-162
1310239,5277.98765556673,-171
1310204,5340.17844009859,-177
1310157,5423.95611414224,-193
1310118,5500.24459736916,-207
1310071,5584.25230920895,-220
1310015,5679.36722839412,-233
1309963,5774.33104627537,-248
1309910,5853.72165390978,-258
1309846,5949.85200905448,-279
1309773,6073.48764820091,-296
1309686,6221.48697869548,-319
1309613,6350.02557637232,-337
1309530,6495.6687123767,-363
1309427,6672.47461715756,-390
1309327,6841.7913311217,-410
1309211,7024.57144692141,-432
1309087,7235.9280992113,-469
1308977,7410.93316986924,-495
1308833,7656.63365183531,-530
1308683,7914.36149233128,-563
1308526,8172.87473099065,-580
1308341,8453.26071348685,-609
1308132,8775.07545741262,-640
1307911,9106.04547325694,-672
1307649,9500.95129122713,-713
1307400,9851.30310339697,-749
1307120,10276.563172017,-802
1306813,10773.4782713757,-869
1306474,11250.1472397533,-892
1306114,11774.3934018465,-934
1305751,12285.5573012043,-977
1305330,12822.3072457025,-1002
1304905,13377.351385755,-1036
1304427,13960.0682593959,-1060
1303982,14502.164889734,-1074
1303501,15049.1018903931,-1119
1302997,15630.4058406917,-1160
1302526,16185.2199429481,-1199
1302016,16790.8249963854,-1239
1301499,17406.3774915851,-1266
1300962,18038.6466143319,-1311
1300440,18639.085974877,-1338
1299832,19292.7119493394,-1369
1299251,19931.9543707817,-1392
1298670,20550.5858704257,-1432
1297995,21280.0402525227,-1493
1297378,21932.7460758006,-1544
1296645,22707.6120266732,-1599
1295927,23465.9124513026,-1627
1295187,24243.4041027076,-1668
1294409,25023.9584102739,-1710
1293635,25730.0808852652,-1735
1292820,26475.5223132748,-1781
1291968,27309.5327408006,-1833
1291114,28098.5358586143,-1869
1290166,29006.2158405151,-1926
1289230,29951.7556121653,-2016
1288241,30884.9658226777,-2116
1287151,32043.9557067461,-2259
1286054,33285.2708732698,-2406
1284896,34474.9239822764,-2519
1283642,35776.6781440574,-2668
1282393,37199.05152875,-2857
1281016,38840.7934203509,-3074
1279438,40756.7266222354,-3362
1277704,43024.819242093,-3719
1275814,45586.863302738,-4169
1273461,48904.4772261026,-4716
1270877,52668.8591711068,-5406
1267970,57004.9528388621,-6157
1264571,62202.8847357942,-7057
1260536,68485.5162089212,-8157
1255932,75807.4616143529,-9408
1250671,84236.025579743,-10818
1244542,94152.7390343206,-12369
1237368,105609.240915639,-14047
1229084,118882.462672495,-15955
1219943,133242.556402167,-17751
1209075,150228.590526363,-19753
1196878,168867.364921369,-21744
1183203,189075.095141462,-23442
1167665,211466.946932897,-25098
1150025,235681.062626939,-26351
1129874,262240.084892789,-27308
1107583,290413.410321206,-27854
1082363,320454.236999739,-27769
1053899,352596.982338656,-27073
1022225,385401.558881125,-25430
986516,419620.7428585,-22690
946812,453425.281202441,-18889
902758,486407.485229931,-13767
855070,516744.535677993,-7220
802670,543228.569788404,1051
747451,563936.475304587,10664
689246,577184.87397509,21213
629158,580605.955861864,32419
568896,573879.565530403,43033
509256,555605.465074214,51769
451508,528450.322797423,58314
397283,493824.235535193,61986
347257,453789.262820967,62874
301752,411755.545621924,61760
261778,370276.543273604,58731
226198,329559.602052981,54624
195404,292237.740514651,50431
168179,257184.370245399,46102
144943,225860.824401961,41694
124824,197538.959469128,37327
107596,172545.848363571,33231
92883,150519.066836499,29683
80432,131127.715875045,26304
69861,114237.519479988,23143
60724,99390.2703280919,20264
53009,86555.3119660995,17733
46406,75487.9525763234,15449
40835,66376.7654926345,13577
35838,58076.6583835072,11853
31650,51171.8304058146,10406
28010,45145.3300519716,9133
24964,40230.955621833,8107
22204,35695.1909894638,7136
19754,31669.7095735139,6282
17663,28408.7559509717,5602
15809,25539.8129398251,4985
14152,22909.7059400849,4478
12691,20560.556631491,3997
11295,18390.9110930221,3543
10132,16619.654636031,3180
9127,15021.3396812131,2853
8261,13718.0474196709,2626
7391,12422.4512667783,2393
6665,11309.4841283815,2199
6023,10305.4042852938,2004
5433,9359.43713461698,1841
4911,8565.56375483851,1700
4391,7774.62504988078,1559
3954,7087.11532133445,1434
3579,6468.46070172723,1317
3236,5913.0123026114,1215
2899,5370.39300847169,1097
2600,4871.63760674394,1010
2311,4409.59857746537,932
2061,3980.98322667847,849
1862,3624.80830479371,789
1668,3305.8656474793,729
1494,3009.71588518623,685
1346,2739.23110452587,630
1235,2520.90115354042,585
1118,2294.66140439208,543
1016,2107.39893740811,508
901,1877.74808956395,453
820,1713.79440972249,415
748,1563.70839077995,381
696,1459.72405400128,358
642,1340.66605081412,326
603,1257.67377493386,303
565,1185.31228252393,291
531,1116.74302790987,276
500,1046.92829954016,256
471,984.372724191055,239
446,934.669373781352,227
420,874.239955126312,210
399,832.581155900613,200
380,798.966907858917,193
362,762.671142755887,184
344,725.494694714445,177
328,693.776565570686,170
309,651.33236818159,159
296,628.769510956374,153
281,596.821344016488,145
273,581.517639811879,142
263,557.058663688726,135
254,538.74811985164,131
246,524.459851606556,129
236,502.45235474861,123
226,482.110938992474,117
220,469.488751849199,113
211,449.607411685318,108
199,427.27459225623,103
188,403.601014296475,98
182,390.9788271532,95
180,386.401191193928,94
172,371.557562581574,92
163,356.15857360195,91
157,342.981026091405,88
145,312.928978049456,78
137,295.72915494691,74
131,282.321569640237,70
126,269.699382496962,66
122,261.099470945689,64
116,252.729597190543,62
114,249.492719761939,62
0,0,0
