Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310718,4372.91025423507,-1
1310716,4376.93252982707,-1
1310710,4386.08780174561,-1
1310692,4419.14668942004,-11
1310673,4460.71020387072,-23
1310650,4508.84275795363,-33
1310621,4575.19057109861,-48
1310570,4672.83590604119,-69
1310505,4810.24392131153,-106
1310420,4983.25758829653,-148
1310319,5170.65480830161,-185
1310209,5400.21037137076,-239
1310096,5637.38987827775,-288
1309945,5941.75841302203,-352
1309754,6312.24472311516,-429
1309551,6722.0731061899,-523
1309315,7196.35318351168,-627
1309091,7618.80375372969,-709
1308839,8105.47598039862,-801
1308595,8577.53461625132,-892
1308304,9140.20947182213,-999
1307987,9717.45844996306,-1100
1307638,10355.6922071263,-1216
1307247,11084.0657601326,-1348
1306860,11801.4600871341,-1450
1306456,12556.4351212404,-1557
1306061,13248.4897891804,-1649
1305676,13949.5486277349,-1776
1305226,14697.1066358362,-1861
1304792,15424.3232281814,-1946
1304327,16190.5960391832,-2020
1303862,16935.9720740615,-2103
1303404,17713.700534943,-2188
1302919,18503.3774178623,-2286
1302421,19348.9060834773,-2390
1301945,20054.5357863107,-2453
1301492,20773.5730744508,-2528
1301007,21509.7149009183,-2585
1300483,22290.387613223,-2675
1299946,23124.4048124293,-2742
1299379,24010.8626956355,-2804
1298816,24851.5605675319,-2866
1298249,25672.2981627721,-2939
1297641,26542.413785851,-2989
1297050,27413.4168635487,-3050
1296450,28270.9102994842,-3130
1295822,29197.6862233855,-3214
1295186,30041.1935936839,-3265
1294545,30873.4753518985,-3335
1293890,31699.5365130153,-3382
1293223,32632.9931096067,-3465
1292579,33447.6775573359,-3530
1291923,34265.0829903725,-3583
1291270,35054.1024564691,-3641
1290592,35873.8640839959,-3713
1289897,36662.7093288252,-3761
1289231,37438.4328426729,-3843
1288533,38245.7397326432,-3916
1287799,39173.4916242579,-3997
1287118,39972.3401273785,-4073
1286328,40916.8086465402,-4179
1285538,41892.5746874995,-4284
1284726,42840.4475336766,-4376
1283886,43822.798962551,-4491
1283094,44686.8056215898,-4553
1282284,45641.1031777757,-4643
1281409,46611.4041281568,-4743
1280528,47620.9355184618,-4854
1279654,48601.4861132132,-4951
1278730,49633.4388360418,-5087
1277846,50602.8032869556,-5187
1276888,51725.0142103655,-5325
1275865,52900.7765385099,-5462
1274865,54079.434073229,-5612
1273820,55182.4238782196,-5739
1272774,56322.3899850994,-5909
1271649,57591.466398306,-6090
1270490,58927.827124125,-6268
1269259,60342.9672806822,-6438
1268023,61801.757640138,-6608
1266771,63290.5047628608,-6805
1265494,64921.9507701648,-7033
1264061,66576.3176538309,-7243
1262719,68175.0069760684,-7434
1261247,69945.5366563469,-7650
1259834,71627.1393179725,-7872
1258355,73418.8189321338,-8137
1256772,75272.8240838482,-8362
1255194,77169.8287933189,-8584
1253611,79045.2793098434,-8790
1251976,80937.1904912337,-8992
1250305,82849.7847592341,-9187
1248600,84788.4646162133,-9402
1246835,86837.4678118073,-9601
1245159,88874.7920914058,-9807
1243383,90948.3331996152,-10020
1241540,93031.6407566393,-10242
1239680,95165.6671000326,-10478
1237737,97481.2444337528,-10737
1235769,99777.9163950225,-10980
1233795,102038.42734421,-11238
1231737,104395.219749847,-11485
1229534,107039.378208355,-11791
1227327,109541.360446085,-12055
1225020,112255.714772063,-12361
1222551,115168.859379717,-12704
1220006,118151.858183987,-13063
1217381,121195.604957802,-13363
1214739,124184.459568353,-13673
1212017,127294.235604422,-13975
1209244,130550.900250252,-14339
1206343,133837.728577182,-14640
1203281,137274.199195745,-14981
1200170,140760.238411696,-15312
1196995,144301.836784337,-15667
1193702,147906.989820005,-16040
1190349,151871.847280991,-16416
1186773,155879.720648016,-16748
1183163,159884.13667642,-17119
1179198,164521.771870398,-17614
1175074,169293.561853935,-18059
1170782,174232.217072171,-18484
1166304,179431.376932739,-18957
1161397,185138.256897403,-19391
1156175,191331.237380087,-19962
1150507,197817.814089342,-20453
1144498,204845.590397715,-20993
1138037,212344.856438212,-21524
1131120,220293.880991698,-22068
1123498,229078.976736273,-22583
1115327,238154.487646521,-23041
1106770,247618.302638541,-23415
1097622,257414.884513769,-23741
1087799,267479.940612781,-23856
1077556,278035.119505403,-24055
1066591,288969.440436198,-24151
1054913,300237.347506768,-23956
1042612,311709.226900189,-23683
1029305,323672.918288285,-23221
1015444,335595.696807073,-22662
1000706,347742.332955634,-22149
984990,360421.375417288,-21355
968217,373671.436683384,-20506
949730,388103.465688275,-19677
929868,402598.254381426,-18450
908040,417916.630798303,-17080
884164,434089.806752529,-15486
858497,450273.00231333,-13468
830610,466396.632790131,-11088
800183,482196.493782658,-8295
767438,496812.896338391,-4503
732593,509802.855096883,192
695924,519706.667962261,5561
657557,525237.781258656,11078
618378,527261.606153683,16663
578461,524401.912056144,21801
539062,517263.108752408,26255
500335,506126.897058615,29868
462812,492187.077535782,33084
427187,475451.505327381,35959
393568,456275.170146076,37956
361715,435617.791884215,39747
332148,412993.655610887,40474
305147,390188.047283723,40402
280472,368017.212570179,40011
258270,346637.494749618,39195
237481,326261.627896186,38638
218556,306618.793973133,37820
201227,287667.06187027,36699
185255,269660.784992722,35675
170538,252460.727404372,34593
157002,236118.239383528,33425
144454,220558.39516362,32171
133003,206104.65361155,30924
122549,192541.422109921,29661
112773,179655.969389512,28243
103772,167277.80658925,26908
95532,155782.690573499,25645
87760,144859.121635834,24340
80668,134463.637337985,23025
74212,124784.097780471,21724
68367,116008.015783113,20473
63037,107842.139595114,19311
57915,99878.9739079284,18116
53345,92630.2052847138,16959
49071,85758.6662324917,15812
45279,79623.9100752771,14868
41806,73923.4903221089,13899
38543,68511.8100769093,12962
35528,63515.7909011016,12109
32849,59003.9135362055,11305
30316,54798.8003687899,10608
28023,50906.7114641988,9902
25895,47276.681649984,9269
23946,43877.5413856885,8634
22152,40717.5325637269,8041
20588,37919.1338625845,7470
19083,35181.0365987564,6941
17741,32816.964725058,6472
16487,30565.3259983856,6038
15400,28587.7111324099,5626
14293,26586.5410932129,5211
13337,24882.7268218184,4886
12448,23300.6520706725,4567
11634,21825.2595216494,4241
10885,20436.8420558524,3925
10246,19247.0868903903,3669
9643,18135.421042278,3432
9070,17106.2873944538,3222
8550,16150.9349340624,3041
8066,15230.8791510972,2837
7637,14442.4082736875,2676
7238,13694.6202277901,2521
6862,12977.1142677307,2378
6527,12373.9375735953,2277
6222,11850.9368852577,2194
5934,11335.845995083,2109
5643,10818.9937390315,2031
5388,10356.3435328568,1946
5138,9901.49149178707,1877
4924,9530.10815047271,1821
4690,9119.38273617674,1759
4482,8760.2009746595,1709
4264,8362.1372157529,1648
4088,8061.58403876778,1616
3923,7769.67024158002,1588
3742,7439.62037692022,1538
3576,7135.9256072815,1500
3443,6907.63863793129,1477
3296,6653.01292184281,1443
3156,6399.11678738881,1408
3027,6169.54487603686,1383
2877,5888.33402713116,1334
2743,5645.02920790138,1302
2603,5387.39665218043,1262
2473,5161.84701642047,1240
2348,4949.43545992496,1215
2222,4729.05828873764,1198
2083,4462.09623983093,1146
1959,4218.15712374169,1098
1864,4027.75306410412,1061
1778,3842.442532547,1015
1697,3682.70169784757,980
1592,3481.47628518965,949
1493,3278.73589273385,903
1388,3063.37331313478,854
1305,2897.65826741649,825
1224,2725.29524557379,782
1156,2581.64351324236,747
1089,2446.4964076872,718
0,0,0
