Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310710,4390.66543770488,-5
1310665,4469.86547578927,-17
1310570,4605.43318869059,-34
1310386,4807.71350555413,-40
1310115,5079.0395009068,-74
1309753,5398.26801254626,-97
1309340,5809.50931896339,-149
1308888,6229.44582170682,-180
1308319,6766.67896176058,-246
1307736,7331.5290188739,-291
1307082,7939.5133867647,-352
1306337,8655.65546833011,-430
1305581,9344.42024723444,-497
1304791,10100.4597621487,-572
1303927,10904.3786733865,-645
1303086,11674.8017413209,-727
1302242,12464.0512452135,-807
1301342,13274.9992716758,-884
1300409,14175.8965244311,-978
1299413,15114.5188139146,-1072
1298427,16013.3620747875,-1141
1297464,16832.2593676587,-1195
1296462,17654.8536135508,-1263
1295451,18494.9730051166,-1324
1294499,19304.5802730482,-1379
1293495,20140.4242312626,-1452
1292465,20992.1734939755,-1524
1291428,21859.6961130875,-1586
1290413,22715.4445314291,-1666
1289416,23549.9150345471,-1705
1288345,24397.9047560297,-1759
1287322,25227.3933641252,-1811
1286278,26057.9532247091,-1863
1285231,26800.0066739862,-1897
1284211,27557.0548531795,-1951
1283225,28325.0591384143,-2005
1282184,29103.0830302233,-2045
1281140,29894.553975585,-2094
1280131,30630.5937455971,-2136
1279051,31459.9870689176,-2190
1278033,32224.0874832987,-2255
1277027,32962.7856504088,-2309
1275967,33731.0594416859,-2364
1274936,34476.8098439838,-2412
1273908,35205.2882583674,-2461
1272879,35966.095978791,-2502
1271850,36655.3603015337,-2540
1270747,37461.6748755078,-2585
1269598,38281.2622817674,-2627
1268409,39166.3168182336,-2689
1267262,40048.6503693924,-2738
1266029,41033.1674232069,-2817
1264756,41989.1242888141,-2866
1263541,42823.1115963766,-2909
1262263,43718.4090055326,-2957
1260909,44707.5595118353,-3015
1259602,45657.8116724658,-3085
1258322,46566.7861729708,-3131
1257028,47510.5645787441,-3176
1255689,48411.78038239,-3237
1254418,49301.7705739523,-3289
1253194,50136.3132418821,-3332
1251942,50974.2111919788,-3366
1250646,51901.765742363,-3421
1249399,52734.2775383738,-3461
1248100,53666.6397625134,-3509
1246730,54633.703835466,-3563
1245436,55545.8825168338,-3594
1244080,56476.4833750966,-3638
1242703,57394.478394499,-3680
1241332,58402.931760635,-3728
1239882,59387.7115488113,-3768
1238466,60308.2206356882,-3806
1236992,61344.6230131354,-3860
1235502,62316.4784115605,-3917
1233985,63411.1051144765,-3974
1232534,64383.0557976767,-4004
1230893,65568.1244990436,-4061
1229287,66695.2941975128,-4130
1227642,67915.0089311637,-4202
1225887,69175.3901480441,-4275
1224116,70417.5329858991,-4328
1222344,71610.2419793866,-4389
1220324,73006.0166879011,-4448
1218356,74364.2270375936,-4506
1216303,75761.7236437388,-4569
1214307,77141.1628638063,-4616
1212198,78520.6742486856,-4680
1210076,79859.0032582142,-4724
1207938,81220.1646310103,-4792
1205791,82707.1898561024,-4861
1203474,84342.6840638836,-4929
1201091,85799.476247986,-4960
1198682,87296.5932444639,-5010
1196258,88845.5628680089,-5043
1193800,90332.0654292993,-5060
1191437,91766.2062430819,-5094
1189099,93141.084175473,-5111
1186782,94504.1021989209,-5127
1184376,95970.3817491935,-5157
1182001,97395.715733592,-5166
1179584,98796.4492171658,-5209
1177062,100224.323193924,-5238
1174627,101582.191872763,-5292
1172160,102948.890500949,-5338
1169653,104356.692567993,-5388
1167085,105799.314888589,-5459
1164461,107247.467692894,-5533
1161781,108698.150912956,-5587
1159115,110198.084179517,-5640
1156463,111799.297145831,-5707
1153615,113481.80641528,-5775
1150793,115011.173781306,-5845
1147858,116667.016176524,-5909
1144929,118366.367249938,-5997
1141840,120283.285996139,-6091
1138751,122098.727701354,-6189
1135585,124088.714401636,-6286
1132477,126039.612186695,-6365
1129224,128002.586375132,-6456
1125861,130126.418890684,-6540
1122300,132326.405136442,-6604
1118612,134760.120322165,-6732
1114787,137310.616253077,-6828
1110743,139956.631362238,-6930
1106496,142714.057410784,-7014
1101843,145848.736150286,-7178
1097084,149039.250324202,-7289
1091811,152598.768524978,-7464
1086230,156414.989553688,-7590
1080262,160372.410835465,-7694
1073769,164642.110450149,-7806
1067029,168966.169987694,-7939
1059833,173452.901068,-7943
1052084,178159.818749944,-7985
1043955,182941.300212562,-7961
1035495,187741.903542066,-8024
1026665,192398.887835804,-7974
1017507,197317.62901731,-7930
1008011,202042.736033431,-7832
998102,207006.704985843,-7881
988050,212013.354945121,-7999
977396,217242.968307873,-8071
966418,223102.843041415,-8323
954787,229953.551872482,-8755
942456,237600.940776807,-9254
929079,246689.796202903,-9808
914431,257372.011775517,-10295
898121,269629.671633272,-10937
879908,283275.614203802,-11415
859458,298910.093406699,-11318
836131,315646.014738222,-10781
810182,333394.080779059,-9117
781436,350080.189932038,-6558
750303,364403.818322685,-2733
717456,375179.855457717,1529
683246,381417.503902932,5605
648574,383739.855551032,9115
613475,382249.332357235,12087
578924,377059.622037676,14298
545567,369073.190317764,15801
513762,358809.14872018,16730
483771,347316.469959745,17196
455522,334541.214720943,17523
429258,320656.225254415,17170
404888,307020.393608475,16657
382782,294193.611065178,15751
362239,281768.955186462,14662
343898,270752.700170162,13657
326612,260635.167205075,12789
310846,251759.752314795,12284
296144,243785.840244322,11944
282366,236002.030030879,11714
269655,228819.964435024,11564
257384,221719.534008236,11464
245796,214992.153003864,11350
234680,208539.262707462,11287
224285,202592.479445661,11257
214423,196763.064985982,11317
204893,190949.86480509,11404
195783,185258.590747238,11364
187223,179752.821757252,11411
179121,174206.579658508,11335
171142,168773.306913953,11326
163771,163734.338387074,11309
156552,158412.098247727,11171
149785,153527.063794115,11134
143160,148541.692911897,11084
137016,143754.106451998,10959
131067,139049.137900559,10799
125122,134164.724200446,10622
119563,129505.952615946,10468
114251,124968.930128297,10323
109131,120526.815642,10142
104247,116276.56437861,9988
99613,112223.023480128,9856
95121,108197.845428622,9665
90818,104327.27521549,9541
86777,100563.419901046,9322
82726,96693.509909658,9120
79053,93197.4020422841,8950
75363,89568.7564216047,8775
71856,86213.6813577102,8629
68551,82870.8501467809,8374
65336,79583.5916359028,8181
62239,76254.0794971856,7919
59385,73280.0685152476,7720
56719,70375.1917248933,7452
54154,67624.8342598173,7234
51836,65083.91420817,7032
49592,62511.8708559923,6803
47357,59957.1226116922,6541
45347,57653.1356808729,6355
43433,55446.5967437658,6151
41574,53297.0924749006,5928
39897,51341.8076234322,5735
38321,49417.8924585731,5512
36842,47698.6532733139,5318
35482,46056.3137481778,5164
34199,44555.7298364751,5044
32899,42961.1580746047,4881
31661,41458.1717284852,4694
30553,40134.0058107829,4552
29530,38885.1918768402,4425
28492,37635.8620507763,4297
27482,36387.6987619759,4164
26552,35278.2842469765,4079
25642,34229.9103275283,3980
24793,33197.300187877,3880
23987,32217.4165865506,3770
23181,31272.9085991428,3664
22372,30292.9297130415,3560
21626,29414.3094631864,3472
20915,28500.1393781456,3378
20228,27627.4375227804,3274
19549,26797.3146178255,3195
18882,25923.2325356835,3088
18257,25120.3617569709,2995
17651,24316.6661118488,2878
17062,23601.0235741217,2804
16543,22924.2399138208,2720
15975,22175.0389445809,2629
15420,21475.3276362375,2532
14926,20864.3758969603,2458
14499,20319.541933032,2382
14031,19729.1779955899,2303
13571,19142.2415051264,2220
13097,18549.7908792364,2144
12654,17992.985373307,2074
12279,17491.9132453352,2005
11888,16968.4130131593,1927
11523,16504.7310227422,1877
11198,16070.0461761614,1816
0,0,0
