Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310703,4406.65925529788,-9
1310463,4799.15306224896,-49
1309820,5187.64094189085,-33
1309028,5449.69326058669,-12
1308371,5591.560507078,-14
1307768,5761.44892969222,-22
1307154,5979.80200064095,-8
1306579,6074.28262296666,-4
1306014,6130.66664606642,-9
1305573,6175.3322849246,1
1305191,6221.7198214135,-4
1304876,6256.67482798586,-12
1304600,6314.05793876232,-47
1304288,6375.70971120974,-65
1303999,6513.25247950119,-84
1303700,6661.71188558802,-106
1303412,6808.00566673468,-120
1303065,6992.73771796125,-142
1302728,7202.37247262041,-160
1302409,7405.95407976852,-182
1302088,7654.47083181703,-205
1301741,7869.92869619112,-223
1301413,8148.68806583161,-259
1301018,8516.22335282118,-310
1300608,8911.22445556638,-359
1300177,9341.66376043949,-426
1299731,9854.19153829115,-487
1299238,10365.1090515699,-544
1298715,10946.2060840356,-608
1298131,11609.240488176,-665
1297494,12310.4831246001,-725
1296752,13170.8159505814,-784
1295959,14085.301781591,-832
1295166,14936.6140886749,-858
1294316,15762.60308498,-863
1293484,16580.2453274932,-883
1292645,17433.9532973134,-901
1291809,18144.1048195771,-876
1290921,18963.183105396,-892
1290005,19746.4978665159,-895
1289202,20343.4471918731,-934
1288351,21079.5100818485,-973
1287539,21792.4152859853,-1004
1286708,22549.7397429013,-1007
1285840,23280.058459654,-976
1284953,24050.9252548978,-978
1284093,24757.6425585024,-979
1283262,25431.7773983077,-1008
1282415,26227.8096313459,-1075
1281559,27006.7931425854,-1103
1280665,27826.6895231334,-1137
1279728,28592.9324424914,-1203
1278775,29404.8006201381,-1244
1277796,30210.2903277027,-1345
1276899,30970.0431439207,-1386
1275882,31764.7114984649,-1444
1274901,32605.6788764035,-1485
1273909,33416.6105545829,-1539
1272856,34224.7028427166,-1574
1271883,35037.1100324479,-1640
1270825,35914.1594859762,-1686
1269731,36839.2462088124,-1740
1268663,37727.93511009,-1813
1267611,38548.5774205553,-1857
1266489,39357.7082646118,-1900
1265474,40159.1430000187,-1986
1264449,40985.457318895,-2075
1263383,41903.6727994911,-2159
1262260,42829.6469769462,-2254
1261164,43834.8933572973,-2378
1260044,44804.8362885417,-2463
1258973,45697.5378888091,-2568
1257830,46780.3740426717,-2668
1256682,47862.5990196382,-2795
1255485,49071.8312662008,-2935
1254235,50207.1475723096,-3021
1252957,51422.163460341,-3124
1251670,52723.8522289908,-3274
1250326,54028.3110277964,-3345
1248970,55373.0878672971,-3461
1247588,56635.6578290809,-3536
1246106,58099.0720644226,-3640
1244644,59579.8766924168,-3755
1243188,61065.4100576743,-3861
1241636,62606.9231869681,-3996
1240109,64157.9468023954,-4132
1238503,65755.3184860655,-4258
1236863,67468.185972923,-4430
1235144,69288.0215162284,-4567
1233340,71122.2964290828,-4698
1231544,72916.2764212055,-4830
1229747,74790.4555390892,-4989
1227892,76715.4977729656,-5176
1226002,78579.4994112908,-5337
1224104,80497.9004407233,-5506
1222154,82526.1647331783,-5669
1220167,84607.4154933982,-5827
1218153,86617.8293176083,-5990
1216036,88762.430627943,-6150
1213935,90847.7527086034,-6311
1211839,93002.5247268161,-6492
1209587,95368.0816886687,-6685
1207274,97866.4132133035,-6857
1204911,100524.738730397,-7091
1202549,103040.325894663,-7294
1200061,105679.026034274,-7454
1197404,108592.493159577,-7701
1194639,111678.047029001,-7921
1191895,114703.552618869,-8144
1188992,117794.097959917,-8361
1185995,121040.391751717,-8507
1182770,124568.681790585,-8707
1179417,128240.560973576,-8889
1176038,131887.300643657,-9051
1172507,135591.230050043,-9233
1168659,139738.4306712,-9429
1164795,143625.760946884,-9520
1160681,147652.92759714,-9651
1156599,151569.018207184,-9818
1152267,155673.275087114,-9930
1147692,160130.802105751,-9973
1142911,164819.057996402,-10071
1138059,169374.897343407,-10165
1132942,174327.308589484,-10295
1127372,179484.38904348,-10270
1121704,184670.703450789,-10286
1115709,190176.085691832,-10348
1109177,195937.111889844,-10366
1102226,201991.843142565,-10389
1094886,208452.061951877,-10311
1087040,215245.567503279,-10154
1078442,222355.652745823,-9988
1069482,229641.052033315,-9859
1059964,237052.912806637,-9614
1049995,244340.247681272,-9252
1039699,251716.253611879,-8796
1028755,259113.149546929,-8299
1017298,266715.632036161,-7681
1005313,274284.28939276,-7125
992904,281359.905629209,-6524
980208,288529.60219568,-5946
966817,296087.067798598,-5250
953187,303658.348050807,-4775
938645,311553.608671882,-4308
923637,319495.388777546,-3788
907701,328417.421242111,-3428
890664,337929.443276699,-3104
872736,348451.995789269,-2720
853358,360198.753320191,-2165
832332,373169.131779291,-1262
809152,387303.363612743,-216
783484,402105.934263008,1283
755596,416664.595688828,3424
724903,431258.838003313,6275
691909,444592.241830248,9617
656563,455631.28248864,13868
619393,463208.532022613,18664
580781,467440.598599173,23891
540624,466622.818317468,28880
500268,460834.711409559,33094
460292,450983.597033287,36473
421539,437181.071087745,39162
384007,420037.604921576,41267
347964,400198.255651173,42905
314492,377852.861237365,43684
284167,354320.96372197,43440
256498,329496.87718562,42155
231278,304743.687368567,40220
209232,281920.991332607,37746
189802,260029.301575811,35087
172599,240314.173196565,32811
157575,222917.356679707,30709
144211,207094.597449533,28837
132497,192960.815633822,27182
121893,179707.701288167,25432
112290,167834.982977089,23933
103825,157223.576772515,22656
96243,147479.1119018,21522
89373,138648.426400424,20547
82828,130282.846551247,19690
76941,122536.906865992,18822
71704,115565.166138185,18062
66835,108984.236787944,17331
62407,103003.096153106,16663
58129,97078.6158190905,15991
54141,91464.8593699382,15372
50478,86233.9977285091,14783
47105,81282.9204692823,14099
43833,76442.1502003874,13501
40811,71831.1029441485,12860
37940,67439.4636630639,12254
35322,63407.6799086021,11724
32906,59623.9528305965,11197
30602,55989.2500956475,10631
28477,52673.2504036143,10172
26443,49391.1671622307,9689
24494,46122.9842783117,9166
22736,43197.5687309707,8663
21063,40356.2398319618,8214
19479,37687.7898469167,7784
18034,35217.558434897,7392
16645,32822.2747475736,6984
15377,30610.9608332767,6625
14219,28560.9748982888,6270
13080,26527.1107622345,5882
12058,24657.4929320273,5550
11082,22833.9700123034,5197
10199,21186.1817448719,4880
9402,19687.4082438945,4591
8662,18290.7229607979,4334
7966,16975.919232847,4083
7295,15676.6655951796,3820
6768,14641.6924893576,3619
6280,13690.7270953754,3434
5799,12717.0246229008,3219
5337,11813.6364226342,3047
4926,10970.4244832633,2853
4537,10146.9033145062,2662
4175,9380.80472477168,2489
3802,8601.3938345055,2306
3504,7980.66887473313,2164
3256,7449.9653060655,2040
3028,6956.53347021432,1917
2810,6480.99157085407,1800
2584,5990.05068251419,1680
2405,5603.74477609528,1586
2221,5197.13692216633,1489
2058,4839.82815958374,1395
1904,4502.9955657784,1314
1751,4159.74503364477,1221
1626,3876.50331282002,1145
1501,3596.82379199502,1072
1399,3361.48458745705,1005
1291,3116.43475063327,939
1182,2871.19434425946,878
1104,2690.69148645774,827
1026,2505.38095490061,773
926,2275.63482228144,712
844,2077.47206578492,651
774,1910.79740063602,598
716,1762.66331712034,548
653,1609.62627507425,501
604,1488.21207739689,464
557,1379.19002906669,433
511,1267.16114110401,400
464,1151.43530012047,364
424,1054.94015415853,337
395,984.014705054278,316
363,907.170861460089,293
333,829.081544110246,266
312,776.696676639209,250
293,730.230203658111,236
269,670.586183166468,218
245,609.37136634803,198
0,0,0
