Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310717,4375.03641092913,-1
1310712,4381.28012799022,-1
1310701,4394.45767550076,-3
1310696,4403.6129474193,-4
1310667,4444.39106370659,-10
1310626,4501.67888970804,-14
1310575,4544.31365664717,-15
1310523,4591.8513821167,-19
1310464,4648.12377215863,-18
1310414,4681.64273542531,-14
1310338,4716.42352073046,-9
1310286,4741.85846456704,-8
1310206,4786.4288186502,-15
1310120,4826.28678375298,-14
1310035,4866.79539399804,-9
1309974,4884.32053967173,-7
1309909,4898.14873232456,-10
1309841,4920.02147616139,-13
1309782,4938.10198220235,-15
1309720,4961.58499061207,-16
1309652,4992.38296857132,-14
1309601,5015.3664331427,-12
1309544,5031.78085808184,-5
1309483,5032.10618065299,-4
1309437,5039.36533367359,-5
1309380,5042.69749587721,-4
1309332,5049.40128853055,-4
1309297,5062.80887383722,-5
1309241,5072.65425914414,-4
1309205,5075.20102318437,-4
1309171,5082.6902140011,-4
1309125,5092.95620665418,-1
1309088,5093.74160481758,0
1309060,5095.08236334825,0
1309036,5096.09779930777,0
1309013,5092.17080849079,-1
1308983,5095.17764812326,-2
1308950,5098.41452555187,-2
1308918,5101.32608040933,-2
1308882,5101.42136518434,-2
1308847,5105.76896334749,-2
1308811,5108.54576518384,-2
1308783,5109.00584077609,-3
1308753,5108.68051820495,-3
1308732,5110.34659930676,-3
1308710,5111.91739563355,-3
1308686,5112.47275600082,-3
1308657,5116.49503159282,-3
1308645,5117.51046755235,-3
1308621,5117.28042975622,-3
1308599,5121.30270534822,-3
1308576,5123.5241468173,-3
1308555,5129.1172187361,-3
1308527,5131.24337543016,-2
1308513,5133.69485469537,-2
1308489,5135.03561322604,-2
1308452,5150.33931743065,-1
1308432,5152.23543632859,-2
1308408,5151.45003816519,-2
1308390,5153.90151743039,-3
1308371,5156.58303449173,-3
1308350,5156.3529966956,-3
1308319,5159.58987412421,-4
1308299,5165.50826861414,-5
1308268,5166.61898934868,-5
1308240,5172.53738383862,-6
1308209,5175.21890089996,-7
1308177,5190.29256730844,-9
1308151,5201.57399592105,-11
1308122,5215.53694159499,-15
1308090,5224.59692873852,-17
1308065,5233.52216286093,-16
1308038,5240.4559933104,-16
1308002,5245.68427441195,-16
1307964,5253.72882559596,-15
1307933,5265.24029200469,-16
1307898,5271.25397126965,-17
1307867,5279.62384502479,-18
1307834,5292.80139253534,-19
1307808,5304.40814371909,-19
1307769,5314.30934555493,-19
1307741,5323.36933269846,-17
1307716,5333.3100027804,-16
1307692,5343.25067286234,-15
1307664,5353.74670331155,-16
1307637,5374.1834038427,-18
1307609,5383.20392274013,-22
1307579,5406.78221592487,-25
1307533,5430.87640123078,-27
1307493,5452.6538602926,-28
1307451,5496.20877841623,-35
1307414,5531.71914535587,-36
1307364,5570.37110494909,-38
1307306,5614.19552911495,-42
1307255,5643.00210340125,-46
1307178,5750.7786779758,-65
1307094,5855.41365989676,-81
1307006,5981.96085390065,-99
1306894,6109.07975655463,-125
1306749,6314.88280517182,-156
1306578,6587.9538181185,-189
1306363,6851.75115440834,-206
1306156,7091.77962796341,-215
1305929,7385.53372752019,-232
1305634,7750.0785231601,-252
1305356,8109.85511329071,-282
1305044,8500.52496615559,-299
1304701,8944.59512245102,-346
1304324,9419.08211760565,-368
1303864,9915.36292010491,-386
1303400,10412.9450128887,-419
1302920,10917.5956891432,-408
1302374,11457.77308062,-407
1301789,12030.3981828751,-395
1301210,12536.3501494141,-391
1300547,13097.4474369776,-378
1299868,13569.5714659616,-343
1299161,14004.7096164542,-333
1298447,14449.0819753575,-313
1297734,14781.6786040575,-271
1297018,15128.2381784314,-259
1296274,15476.4080173783,-253
1295488,15871.3860001602,-264
1294661,16283.3568882119,-282
1293747,16765.3003776176,-333
1292834,17270.3947811814,-387
1291859,17977.753153326,-505
1290740,18807.1436717246,-677
1289441,20168.3321312425,-1026
1287866,22195.0758340558,-1580
1285839,25190.418904661,-2375
1283183,29673.0674448395,-3589
1279309,36693.0749985022,-5311
1274219,46250.6716034453,-7516
1266924,59995.18759362,-10417
1257044,78526.3558679002,-13842
1243161,103520.994534119,-17817
1224977,134647.776719133,-21829
1201127,172655.412263109,-25462
1170688,217612.51898426,-28218
1131917,269000.645581649,-29083
1084823,324183.344891865,-27274
1028483,380722.951618404,-22277
963136,434471.085540732,-13519
889092,480567.602527147,-1360
808139,514999.281844195,12732
722113,534199.086689889,27478
634125,537210.482880126,41756
545369,523106.26314522,53403
460513,493255.345231154,61472
381202,451272.236629168,65712
309088,399818.559998321,65860
246123,344637.566237453,63453
192118,288317.83152842,58547
147472,234502.658517721,51755
111552,185365.998068822,43747
83318,142161.751552652,35400
62120,106762.690773597,27538
46242,78674.665052611,20716
34699,56865.5586652845,14908
26629,41231.9533736458,10570
20937,30030.5896150265,7313
16991,22128.386068148,5007
14222,16691.21951059,3433
12338,13094.7796626169,2395
10997,10628.9803950964,1673
9936,8718.33409576426,1160
9214,7491.60262841311,812
8701,6707.6073305072,601
8283,6120.51296705934,456
7935,5687.20157557488,348
7652,5376.26400119837,277
7386,5154.00705939594,225
7146,4980.20799424755,180
6928,4826.7108766092,142
6772,4723.83726056506,117
6596,4650.59508521672,103
6442,4575.09200015319,86
6279,4506.52274553914,70
6138,4471.24241639563,65
5979,4423.24461533384,54
5822,4391.39173316896,53
5642,4356.34144182159,50
5509,4324.16323708557,51
5346,4298.30768590284,56
5179,4264.54233655721,72
5012,4230.27744337323,77
4839,4192.81514100675,92
4684,4152.53656855781,99
4539,4111.24256014936,106
4377,4075.44633888468,119
4180,4002.33891655745,125
4015,3923.31309974028,131
3842,3843.73192255584,131
3654,3769.87857031131,139
3487,3668.28989626892,132
3317,3596.29319467623,135
3157,3504.54990594077,137
2993,3434.48879149212,146
2809,3334.93098936878,151
2647,3227.42392083646,153
2490,3141.08313446976,171
2345,3051.7355084706,192
2185,2913.93000581738,214
2010,2778.25065985822,236
1880,2684.43703095762,244
1749,2563.02283328026,243
1596,2408.11279229951,242
1472,2278.46347388813,236
1351,2160.4998431527,250
1223,2029.35866490671,264
1098,1872.97311237418,262
960,1700.59374224866,265
855,1550.08711595997,254
761,1410.1718048955,241
664,1267.74919803692,241
578,1131.11023264715,236
489,974.185668030169,212
420,866.77388427286,202
358,755.530394473577,184
312,670.086639328114,168
263,578.03437630433,149
202,456.42960907695,127
162,376.023565483014,112
125,298.394323725427,93
101,246.00945625439,80
79,194.830594292907,63
60,148.689443882951,48
41,101.207534942328,32
27,70.0447661658388,24
21,56.3118582880242,21
16,42.9042729813518,16
13,34.8597217973483,13
8,21.4521364906759,8
3,8.04455118400346,3
1,2.68151706133449,1
1,2.68151706133449,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
