Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310718,4372.12485607167,0
1310717,4374.02097496961,0
1310717,4374.02097496961,0
1310716,4375.91709386755,0
1310716,4375.91709386755,0
1310715,4377.25785239821,0
1310714,4378.59861092888,0
1310713,4381.28012799022,-1
1310710,4385.85776394949,-2
1310708,4387.75388284742,-2
1310707,4387.75388284742,-2
1310707,4387.75388284742,-2
1310705,4393.11691697009,-4
1310702,4397.46451513324,-3
1310701,4397.46451513324,-3
1310700,4400.14603219457,-4
1310696,4407.40518521518,-4
1310694,4407.73050778632,-4
1310693,4409.07126631699,-4
1310691,4413.09354190899,-5
1310691,4413.09354190899,-5
1310689,4416.56045713372,-5
1310682,4428.30196133858,-6
1310679,4426.96120280792,-7
1310678,4429.64271986925,-8
1310675,4433.66499546125,-9
1310673,4439.02802958392,-11
1310668,4445.271746645,-12
1310658,4462.79689231869,-14
1310649,4471.95216423723,-14
1310639,4485.68507211505,-19
1310633,4494.84034403359,-20
1310623,4507.46253117687,-20
1310611,4524.75763905443,-21
1310604,4537.60986399383,-23
1310587,4558.27660232111,-25
1310575,4574.230951668,-27
1310566,4584.17162174994,-26
1310551,4606.50444117903,-27
1310535,4637.43717215939,-34
1310511,4670.13126901658,-38
1310488,4700.18331705853,-41
1310464,4734.02760289635,-44
1310449,4754.00422783524,-48
1310426,4785.58760395789,-49
1310404,4828.81719951038,-60
1310370,4885.31962734844,-66
1310341,4928.08914730868,-72
1310302,5001.69611347426,-85
1310248,5094.1689838442,-100
1310180,5198.30442192681,-109
1310081,5365.45551095078,-145
1309960,5568.02168213936,-168
1309821,5799.12492157202,-189
1309662,6073.07661745711,-211
1309468,6366.37064142163,-237
1309237,6707.416080369,-256
1308961,7115.09518678639,-283
1308663,7547.50277536916,-303
1308311,8012.83449860525,-332
1307912,8499.82527616485,-334
1307494,9009.6484169919,-361
1307023,9564.63674051548,-381
1306516,10137.0712732205,-397
1306017,10635.0739733505,-378
1305510,11078.3750797654,-376
1305012,11505.6823685873,-374
1304454,11966.8897597759,-356
1303930,12330.8955433313,-336
1303373,12681.454273334,-316
1302799,12995.8914595009,-298
1302256,13279.6259524835,-290
1301721,13547.4619126482,-290
1301200,13769.3145953873,-284
1300718,13995.6496293106,-286
1300235,14221.7546254379,-288
1299777,14409.437699768,-295
1299248,14665.6505604661,-305
1298771,14858.5224476517,-303
1298281,15052.9093146351,-308
1297792,15275.6426803126,-309
1297313,15466.3325942753,-312
1296847,15662.9409027278,-308
1296342,15866.3088203626,-317
1295811,16143.037318084,-334
1295270,16365.2153233943,-335
1294739,16593.6370457656,-350
1294220,16829.3737376864,-362
1293664,17057.7001752828,-370
1293134,17340.7840231231,-391
1292564,17606.5564148031,-409
1291957,17912.6468471781,-429
1291326,18238.2538288997,-432
1290638,18578.4907497204,-456
1289963,18940.7582873623,-470
1289286,19300.8602000641,-488
1288588,19682.8185083199,-507
1287925,20044.5865021234,-531
1287177,20442.0159641706,-565
1286460,20865.879457731,-589
1285682,21281.008286719,-611
1284871,21799.7797816317,-655
1284022,22368.2546269542,-718
1283064,23084.991537133,-802
1282102,23811.0021239686,-885
1281021,24762.046454443,-1021
1279740,26014.6035813331,-1212
1278292,27496.3909487213,-1442
1276617,29381.8977351442,-1765
1274719,31562.0624240255,-2167
1272497,34434.9324259892,-2693
1269810,38135.3362956995,-3385
1266638,42736.2630507455,-4267
1262665,48751.6765122846,-5301
1257936,55988.1263128005,-6524
1252084,65063.495217098,-8076
1244717,76764.5812498046,-9942
1236140,90000.4506942666,-11835
1225665,106237.098408268,-13952
1212867,125372.895087684,-16264
1197352,147584.016307194,-18340
1178540,173631.608653155,-20520
1156529,202393.141489428,-22140
1130865,234436.943688627,-23213
1100679,268616.187959485,-23442
1066153,304413.205113056,-22704
1026892,341338.441259458,-20882
982948,377784.264332211,-17773
933850,412569.472837479,-12933
880131,443363.025059431,-6548
822289,469566.008998842,959
760958,488119.242229594,9911
697693,497838.331458511,18925
632510,497991.949304561,27805
568352,489587.110285653,35505
504921,472135.760786504,42053
444419,446717.056356238,46789
387707,414624.382444718,49179
334920,378700.173061845,50208
287176,339616.538947184,49648
244925,299366.895409833,47104
208150,260197.772461937,43935
176843,222921.68379769,39581
150159,188985.000059231,34886
128005,158890.840594732,30114
110008,132930.98841512,25708
95079,110579.336740891,21468
83134,92310.021319742,17952
73396,77024.8520869219,14794
65440,64657.3436713424,12097
58972,54781.8712135663,9825
53671,46886.6624422614,7940
49188,40659.3505114261,6438
45312,35706.9285269101,5235
42043,31958.1524887184,4303
39133,28876.3840854105,3600
36534,26573.8455794212,3010
34140,24705.7359573313,2592
31942,23146.2798799395,2274
29951,21916.4992997879,2060
28100,20834.8229115082,1857
26333,19811.3939686606,1706
24657,18864.5393633649,1549
23165,17998.9551363188,1450
21668,17166.3739804182,1379
20241,16420.9815972571,1293
18915,15662.1816287892,1196
17634,14992.4665519588,1128
16416,14343.5856630424,1067
15315,13804.5353405829,1050
14261,13254.8937028992,1035
13235,12705.0778439483,1049
12226,12136.3171443008,1050
11273,11556.1306864172,1058
10307,10892.2155993385,1048
9427,10243.4762351237,1060
8557,9547.04127245492,1041
7760,8874.0893181959,1018
7014,8245.70771802005,983
6323,7602.7846918397,909
5644,6980.33783443661,853
5098,6519.44899413868,806
4531,6012.59322469801,773
4008,5546.45975501572,744
3547,5064.30934777714,717
3089,4604.8170825388,676
2667,4092.99576635834,609
2358,3733.77453659499,597
2064,3360.87621548275,556
1801,3018.95009359697,530
1540,2669.76481869058,502
1336,2345.74498157855,452
1120,2016.1157242649,413
968,1752.62059058292,370
830,1530.07779445544,337
716,1352.94656710343,311
606,1163.61375995431,272
513,991.520244153829,240
434,846.527753291738,208
367,716.053568470858,177
308,595.654806753033,150
275,526.165400954464,129
229,437.254730584269,108
188,354.492492500141,88
167,312.833693274442,77
148,273.07101294668,68
131,237.330608210919,57
118,212.966916862781,50
112,200.344729719506,46
99,174.314957269559,37
89,157.90053233041,34
86,149.855981146406,31
82,143.382226289198,30
75,128.863920247986,26
71,122.945525758047,26
68,115.686372737441,24
64,111.664097145439,23
60,103.064185594166,20
57,98.4865496348944,19
53,90.441998450891,17
49,83.4128832264126,16
47,79.3906076344109,15
47,79.3906076344109,15
47,79.3906076344109,15
45,76.1537302058066,14
45,76.1537302058066,14
42,71.8061320426627,14
40,66.9984582872635,12
40,66.9984582872635,12
36,62.420822327992,12
0,0,0
