Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310717,4373.46561460234,0
1310717,4373.46561460234,0
1310716,4376.14713166367,-1
1310713,4384.19168284768,-4
1310713,4384.19168284768,-4
1310712,4386.87319990901,-5
1310710,4392.23623403168,-7
1310708,4395.47311146028,-7
1310704,4404.30306080769,-9
1310700,4410.77681566489,-10
1310696,4415.90981199144,-8
1310692,4424.18440097157,-10
1310678,4455.02184717691,-20
1310671,4470.65087395266,-23
1310660,4492.98369338175,-27
1310646,4514.30107685131,-31
1310629,4544.77373223942,-35
1310617,4569.23270836257,-41
1310604,4598.49935824113,-49
1310588,4630.21748738488,-54
1310573,4651.76490865057,-54
1310558,4682.37231705979,-58
1310546,4700.35753832574,-60
1310527,4733.32114122515,-63
1310508,4765.59463073618,-69
1310475,4819.97090188017,-77
1310456,4853.58514992186,-83
1310436,4886.87407539241,-91
1310405,4938.60829772117,-102
1310373,4985.72541584455,-111
1310345,5038.34032111171,-119
1310311,5099.97574527631,-127
1310278,5148.89369752261,-131
1310247,5208.077642422,-142
1310205,5267.81694768866,-151
1310165,5346.55691018079,-167
1310127,5406.62153801858,-172
1310093,5461.91796034708,-174
1310055,5514.72343516428,-176
1309998,5616.02625488162,-196
1309953,5678.90715280187,-198
1309916,5726.90495386366,-198
1309863,5816.9263449684,-214
1309809,5897.65771113347,-220
1309756,5984.86283215576,-237
1309710,6054.40805448325,-246
1309660,6132.03729624083,-256
1309597,6239.48854824424,-275
1309541,6321.00531257272,-284
1309463,6446.44178584207,-302
1309402,6534.0116976816,-310
1309330,6661.57432764501,-329
1309242,6794.13520091386,-347
1309162,6924.01455712137,-370
1309073,7054.86988104231,-377
1308971,7218.59352308764,-405
1308863,7386.33944072498,-431
1308744,7564.96252791158,-452
1308620,7771.36040514214,-486
1308502,7956.26667763592,-507
1308355,8190.7810157644,-530
1308193,8431.59488748286,-552
1308033,8679.84213348915,-571
1307855,8939.37080810804,-599
1307696,9160.28699137981,-610
1307528,9396.60216363121,-639
1307341,9643.73868890295,-671
1307138,9938.18290184811,-697
1306926,10245.6140927538,-729
1306704,10551.3397343116,-753
1306470,10884.6101281171,-775
1306243,11152.8898155912,-800
1305974,11512.1110453546,-825
1305715,11844.0175606662,-863
1305404,12234.0762366349,-896
1305118,12598.2398931748,-924
1304822,12964.7202759587,-959
1304520,13348.9558422125,-991
1304196,13802.950320307,-1028
1303873,14203.544494971,-1059
1303537,14632.0414410196,-1083
1303160,15105.0529246225,-1117
1302783,15591.1072027148,-1142
1302361,16110.6246275448,-1165
1301895,16615.8075442032,-1185
1301496,17077.2680931512,-1195
1301095,17514.4602355261,-1216
1300645,18066.0769286,-1272
1300210,18594.6148723274,-1285
1299714,19131.1742472756,-1310
1299231,19670.6846453274,-1348
1298768,20164.0538929692,-1360
1298279,20714.1392579624,-1380
1297787,21253.2848651969,-1413
1297285,21829.9158947612,-1451
1296679,22425.7939676299,-1479
1296095,23024.774164906,-1515
1295514,23615.3055519349,-1549
1294877,24269.5658232568,-1568
1294207,24921.4304318423,-1587
1293525,25615.0491244286,-1620
1292786,26404.1706469806,-1698
1292049,27133.8155986277,-1733
1291251,27915.5990316669,-1790
1290485,28682.5946526226,-1828
1289668,29523.2761762362,-1896
1288826,30335.8575872346,-1955
1287992,31197.1663809293,-2036
1287087,32147.7669840943,-2107
1286069,33213.8633904467,-2206
1285038,34302.062578432,-2312
1283948,35549.2172029534,-2463
1282800,36901.562169763,-2656
1281449,38591.9688558507,-2912
1279941,40459.2536115311,-3184
1278314,42657.7615408152,-3509
1276547,45107.8719982725,-3963
1274484,48161.7444018762,-4527
1272059,51871.0667340285,-5200
1269259,56158.4956072969,-6000
1265943,61513.542638396,-7040
1262190,67699.3440663876,-8204
1257778,75069.7349669491,-9592
1252635,83860.0708929013,-11241
1246626,94059.0078274222,-13044
1239462,106209.362405882,-15100
1230939,120650.697783996,-17441
1221150,137266.374741276,-19828
1209638,156663.763663796,-22513
1196172,178853.162078937,-25313
1180325,204240.846908212,-28070
1162114,232694.136068695,-30571
1140821,264595.99933784,-32655
1116171,299713.480792322,-33910
1087808,337550.39375258,-34235
1055307,377128.970035543,-33232
1018547,417990.609959187,-30812
976888,458791.964793799,-26701
931259,497949.956252549,-21113
880796,534481.428836444,-13291
825759,565374.747421437,-3699
767503,589154.326084032,7148
706270,604512.892560263,19412
643374,609388.848554114,32191
579484,601635.890492074,43967
516750,582320.808860642,53922
456540,554181.707695326,61323
399675,517124.164995251,65950
347217,474958.581003086,67889
299745,429999.152825775,67454
257495,383806.430913161,64643
220050,338848.293287696,60392
187694,296814.600370453,55453
160051,258482.024556272,50114
135908,223669.828982797,44708
115324,192807.553118757,39713
98013,165609.827924797,34929
83287,141714.735467647,30511
71013,121191.823774556,26540
60607,103113.106949353,22826
52072,88126.1685574303,19582
44774,75253.4022554588,16755
38827,64784.191424869,14414
33692,55596.8601875767,12301
29551,48159.8232380209,10646
25977,41922.1596063599,9140
22789,36415.2978870071,7850
20175,31929.1971368015,6867
17916,28013.3027061514,5903
16005,24719.996657606,5120
14354,21969.2867832371,4459
12944,19657.362967533,3917
11617,17567.8144983698,3418
10510,15832.4890156644,3016
9517,14371.2894501114,2703
8620,13025.1814286824,2402
7794,11770.1333542809,2130
7123,10828.9738773595,1963
6497,9975.53541358163,1817
5890,9154.7910466609,1672
5355,8360.59234431128,1520
4884,7679.34268110885,1387
4448,7070.62873158357,1280
4044,6496.65609911734,1178
3688,6003.03369371613,1106
3364,5533.56129014975,1031
3023,5037.75691152556,955
2770,4696.99732690323,900
2526,4343.4249855876,842
2278,3998.72206186547,800
2039,3619.34998589602,737
1862,3337.71852964417,693
1667,3022.43335710452,637
1516,2768.91836175058,588
1384,2538.80743831417,535
1269,2345.9518994114,497
1155,2160.1649439792,474
1060,1993.66450009752,445
977,1874.41592736033,427
879,1701.53701339645,392
792,1534.76706347254,351
734,1419.041222489,320
667,1286.90095656632,284
611,1190.73113317551,261
573,1119.61511452123,250
527,1031.25980451831,229
482,957.097477985454,216
457,912.431839127279,206
429,859.7216490851,197
413,828.558880308611,188
386,775.943975041446,177
353,710.381560059865,162
328,662.249005976957,151
315,636.449271323137,145
291,593.124390995629,138
267,546.887955810658,126
256,524.785174177698,122
243,498.525363931623,113
231,470.044112216468,105
218,439.762026378392,95
207,421.126159970163,94
197,401.704895398538,92
190,390.653504582058,92
181,368.646007724112,85
177,364.06837176484,85
172,352.786943152233,82
166,340.624831601213,81
161,330.454123723145,78
154,316.72121584533,75
149,304.884426865453,72
143,289.580722660843,67
137,276.403175150298,64
133,269.92942029309,63
130,265.351784333818,62
126,256.196512415275,60
120,245.470444169937,57
114,238.441328945459,56
107,222.352226577452,51
103,213.752315026179,49
95,198.678648617697,47
0,0,0
