Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310714,4380.16940725567,-1
1310709,4390.66543770488,-4
1310702,4401.94686631749,-6
1310693,4417.80593088937,-8
1310673,4457.56861121713,-17
1310649,4493.30901595289,-25
1310621,4551.28695534273,-40
1310585,4620.54632334517,-56
1310540,4704.32399738882,-81
1310497,4793.79002812629,-105
1310430,4939.24259458063,-142
1310340,5129.03547732201,-188
1310216,5387.99244329082,-250
1310108,5620.68959901355,-307
1309975,5909.50804347428,-375
1309798,6285.76164675342,-462
1309610,6656.15267207154,-547
1309431,7009.89923465438,-626
1309202,7496.19032222325,-719
1308985,7923.31381317555,-796
1308725,8443.69557266119,-892
1308491,8893.97674945207,-976
1308187,9482.08654885946,-1081
1307857,10130.2609761046,-1195
1307556,10728.4461986151,-1301
1307166,11482.445265008,-1448
1306815,12132.0162673127,-1550
1306463,12787.5451323535,-1662
1306081,13463.3364766583,-1752
1305668,14215.2257346399,-1868
1305267,14947.542626746,-1974
1304877,15685.2783695036,-2106
1304416,16531.5760849993,-2226
1303960,17327.3061154296,-2349
1303501,18138.2282170067,-2467
1303044,18956.9811802544,-2597
1302600,19709.0051912572,-2694
1302117,20540.4592781404,-2800
1301603,21453.9296731905,-2936
1301074,22405.6314204877,-3086
1300527,23322.9267498993,-3207
1299963,24280.5564682887,-3341
1299339,25341.5035300317,-3471
1298745,26288.6603379352,-3564
1298128,27297.7778925745,-3675
1297465,28375.1788475028,-3773
1296852,29352.7130260194,-3862
1296220,30358.7121079683,-3960
1295509,31418.7158985635,-4056
1294842,32403.9461857297,-4122
1294171,33382.8932875887,-4193
1293491,34361.9683707884,-4310
1292783,35400.8616957469,-4404
1292049,36415.2960445823,-4483
1291257,37551.2167559067,-4614
1290469,38616.2351380902,-4695
1289764,39583.0201283981,-4747
1289077,40524.1170171101,-4824
1288278,41570.4995328854,-4941
1287497,42650.2104423773,-5023
1286723,43701.4006319079,-5107
1285957,44714.8195447837,-5208
1285142,45822.5910986446,-5322
1284339,46816.5492787027,-5400
1283516,47876.1882784807,-5466
1282658,48973.1548276041,-5587
1281738,50153.3042221577,-5688
1280780,51379.4600141002,-5812
1279871,52575.0478658796,-5940
1278913,53701.0047871588,-6078
1277966,54882.5902250181,-6206
1276902,56201.7905959806,-6342
1275839,57477.3571123273,-6478
1274748,58884.6664072138,-6647
1273656,60218.3224960082,-6816
1272539,61599.2766958736,-7022
1271384,63086.8409330501,-7210
1270186,64601.6341765056,-7428
1268988,66039.0349876801,-7599
1267711,67683.0637138814,-7823
1266386,69333.3293854632,-8048
1265020,71083.4618334567,-8275
1263688,72711.5457869134,-8518
1262274,74495.6572737659,-8773
1260862,76211.0647529831,-9026
1259366,78093.2027138782,-9270
1257841,80001.3704472232,-9490
1256259,81986.224151178,-9743
1254654,84037.5440730161,-10032
1253145,85875.5554071375,-10252
1251495,87918.3312339532,-10506
1249796,90073.7865938739,-10781
1248056,92256.0176561619,-11063
1246235,94524.5336882876,-11361
1244413,96860.8566968273,-11619
1242614,99086.9121832811,-11864
1240767,101458.959248274,-12160
1238834,103839.43200355,-12428
1236971,106150.796492129,-12673
1234881,108837.987204959,-13013
1232786,111562.275429339,-13357
1230671,114259.469400461,-13703
1228440,117095.428493667,-14009
1226059,120192.55922263,-14386
1223586,123246.936779916,-14687
1221120,126380.593311778,-14996
1218477,129760.433521162,-15369
1215774,133196.220798017,-15726
1212962,136754.486753357,-16082
1210121,140196.248241231,-16390
1207085,143930.248848864,-16751
1204005,147631.999086948,-17048
1200779,151430.030781482,-17418
1197505,155334.593576834,-17730
1194033,159538.391910604,-18138
1190413,163844.603784826,-18550
1186825,168013.844599407,-18863
1182989,172610.051031955,-19270
1179171,177131.816055326,-19652
1174917,182213.449240788,-20112
1170442,187556.688212714,-20566
1165790,192994.194117453,-21039
1160763,198947.221096315,-21530
1155439,205305.791448298,-22017
1149739,212038.212969143,-22532
1143691,219192.329553687,-22931
1137099,226942.224959565,-23388
1129861,235394.293891492,-23841
1122003,244275.720137364,-24245
1113779,253545.670926202,-24640
1105017,263077.627793809,-24897
1095483,273400.326025144,-25157
1085420,283779.979988228,-25215
1074921,294424.769241211,-25250
1063564,305632.611683944,-25014
1051786,316828.429573068,-24749
1039190,328293.976736332,-24174
1025584,339845.546135073,-23478
1011422,351315.178162139,-22655
996804,362777.998730253,-21710
981047,375025.665387567,-20766
964057,387808.106933989,-19955
945906,400670.909445915,-18958
926623,414467.504615443,-17912
905540,428891.548852438,-16743
882946,444201.536242355,-15235
858453,460199.583111341,-13509
831142,477279.717399351,-11347
801465,494200.919370788,-8838
769209,511127.248728708,-5621
734518,526900.536488694,-1428
697158,539880.117621475,4018
657813,548951.778353065,10383
617109,552350.599585221,17556
575912,549603.493702771,24593
535086,539990.672359062,30485
495753,525505.605036636,34883
458741,506655.499233637,37654
424131,485076.776761299,39152
392195,462144.95778239,39667
363231,439722.71555823,39623
336918,418134.783159282,39062
313026,397736.722687448,38514
290892,378682.986913041,38160
270745,360750.013637213,37809
251749,343581.913792405,37706
234234,327047.680953393,37548
217962,311471.367653854,37579
202506,295836.612372574,37388
188132,280594.673415895,37022
174794,266057.625003812,36651
162002,251350.418663073,35996
149976,236804.307458925,35275
138696,222797.505344839,34408
128331,209466.547586665,33469
118559,196384.641625866,32324
109475,183803.324597483,31074
100923,171842.811465364,29874
92993,160264.196858214,28511
85792,149413.686298028,27124
79137,139118.712650052,25706
72983,129647.671201577,24461
67192,120368.203154925,23062
61821,111603.691245427,21667
56868,103476.594998363,20449
52238,95686.2687568943,19138
48085,88628.3016807001,17918
44101,81789.2430358219,16708
40514,75462.3800745438,15505
37227,69614.3748265467,14392
34177,64221.0705183154,13384
31473,59376.6850378138,12440
29013,54929.5452214897,11552
26748,50732.2003275354,10690
24611,46777.9302150148,9874
22701,43177.5019498521,9114
20914,39817.6411703288,8389
19330,36851.9960953874,7735
17888,34130.947553358,7177
16540,31576.5110882681,6632
15276,29241.094687552,6140
14129,27051.5446889559,5635
13111,25158.3976104124,5224
12204,23383.7137064426,4809
11361,21769.7466048857,4445
10593,20272.0607046795,4099
9922,18999.3921998294,3829
9310,17805.2894362042,3556
8736,16712.3547392752,3312
8201,15708.1401431663,3088
7726,14807.4103399978,2888
7325,14038.2654423847,2721
6972,13375.4774243233,2568
6586,12633.4335516486,2401
6229,11947.4156829369,2257
5922,11362.3753113713,2145
5642,10815.7895581685,2003
5411,10372.4816800732,1899
5160,9907.11048859104,1804
4932,9476.96380972344,1720
4702,9066.14311065246,1652
4487,8672.61751945904,1579
4308,8332.5480482251,1505
4124,8014.20021952406,1459
3963,7709.91062127197,1409
3814,7427.49376685672,1361
3646,7103.55286623688,1307
3491,6816.36780631233,1264
3356,6569.82610965395,1233
3236,6347.64810434371,1202
3117,6133.14985940023,1177
2992,5906.06889555958,1151
2864,5685.69172437226,1129
2754,5488.89284636969,1111
2640,5290.29313424419,1094
2526,5086.33038799602,1073
2414,4895.73575880842,1057
2316,4710.27412594737,1030
2212,4542.93246737337,1026
2127,4389.55375447332,1014
2032,4223.83870875503,994
1925,4036.02088140379,975
1830,3858.00897111337,948
1748,3701.1796912714,918
1657,3545.36584738896,898
1551,3350.57472134215,867
1460,3168.69163676366,824
1365,2984.95190153333,789
1288,2843.6958319382,771
1223,2715.86369593255,739
0,0,0
