Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310719,4370.22873717373,0
1310708,4394.36239072574,-6
1310693,4430.33283325763,-16
1310662,4481.83701779026,-26
1310640,4519.93361701621,-34
1310611,4572.64380705839,-47
1310576,4632.8431879173,-57
1310527,4719.53241681842,-75
1310483,4803.17533784096,-93
1310424,4921.81273368196,-124
1310345,5072.72361903399,-155
1310285,5188.90953560979,-181
1310193,5378.66295010507,-223
1310096,5578.30121815337,-262
1310003,5754.55176256697,-295
1309896,5972.36582143125,-342
1309786,6180.88985535587,-385
1309654,6437.85541765172,-438
1309523,6691.54463427288,-497
1309392,6938.89484905794,-540
1309241,7231.18020874339,-591
1309106,7491.07367417953,-646
1308955,7815.72780815103,-719
1308783,8140.76308122259,-769
1308594,8499.8726779281,-837
1308392,8898.70548671528,-908
1308164,9345.15495746419,-995
1307950,9763.86910641524,-1076
1307713,10204.4001826742,-1160
1307470,10679.8304489766,-1257
1307219,11162.8451908708,-1346
1306950,11711.7871385638,-1445
1306691,12218.6660279677,-1535
1306408,12784.9983683133,-1630
1306058,13482.5902916431,-1771
1305709,14180.8328601153,-1898
1305363,14884.9938230773,-2019
1304966,15653.3764424903,-2156
1304551,16462.6719312117,-2285
1304147,17259.861124911,-2423
1303724,18069.2682466902,-2575
1303234,19022.8266446392,-2737
1302787,19864.2050533216,-2849
1302274,20824.3719591489,-2996
1301749,21785.9190917529,-3138
1301204,22808.0862125621,-3295
1300649,23830.1349286329,-3434
1300063,24914.0491066645,-3574
1299433,26036.1946369431,-3705
1298778,27217.8657829751,-3840
1298090,28475.0631340339,-3977
1297411,29713.5293339095,-4120
1296720,30955.6298985965,-4290
1296017,32199.7776834854,-4440
1295234,33610.3537474442,-4596
1294407,35000.8579016892,-4704
1293583,36411.7429399363,-4822
1292750,37842.446730138,-4985
1291921,39245.4546667879,-5098
1291065,40632.4687858448,-5168
1290187,42088.663336412,-5275
1289221,43648.5563694328,-5387
1288220,45260.3905426152,-5508
1287157,46924.0705711842,-5598
1286137,48495.5241154622,-5688
1285033,50158.2676445638,-5778
1283850,51958.2054994225,-5876
1282636,53715.564403871,-5966
1281423,55447.1004537024,-6063
1280164,57265.7299914982,-6139
1278804,59149.0113696934,-6196
1277417,61059.3610762614,-6291
1276048,62955.1039636937,-6392
1274610,64905.4069201395,-6522
1273221,66694.1450877997,-6582
1271740,68571.6591728089,-6700
1270204,70517.568291165,-6782
1268605,72584.3988350405,-6856
1267034,74492.6714297629,-6953
1265463,76316.5878701111,-7023
1263763,78383.0699714523,-7137
1262038,80422.6974339339,-7254
1260365,82356.9208646141,-7308
1258657,84279.9744997394,-7352
1256931,86095.7116358825,-7410
1255169,88004.0563954167,-7491
1253434,89808.282065151,-7610
1251702,91682.8614753395,-7664
1249853,93473.4889902171,-7684
1248035,95209.2079935468,-7742
1246277,96854.9219540545,-7799
1244541,98444.8303717931,-7875
1242838,99994.7325280468,-7940
1241085,101559.031780682,-7979
1239316,103178.032627031,-8036
1237506,104848.823512239,-8071
1235701,106466.999492179,-8119
1233937,108046.871955061,-8147
1232085,109714.869690149,-8225
1230268,111409.570962793,-8325
1228237,113230.710601305,-8426
1226289,114970.340247169,-8524
1224337,116672.977242861,-8615
1222261,118570.41213628,-8718
1220099,120412.488019161,-8819
1217912,122220.966002284,-8902
1215644,124129.849773902,-9035
1213277,126168.024844796,-9163
1210895,128208.11238287,-9310
1208454,130346.479552746,-9482
1206004,132437.476446739,-9650
1203517,134638.264438943,-9794
1200913,136976.069730715,-9937
1198330,139057.323295856,-10103
1195603,141360.968555822,-10286
1192788,143886.108479389,-10474
1189780,146355.961557231,-10605
1186834,148823.109998048,-10722
1183678,151421.199470958,-10880
1180323,154361.826242651,-11091
1176909,157335.258744258,-11329
1173171,160768.476137109,-11609
1169257,164294.587007677,-11853
1165004,168001.174811161,-12129
1160450,172105.224773257,-12469
1155715,176229.67873932,-12864
1150502,181077.224965679,-13261
1144924,186330.347261726,-13720
1139006,191943.183559694,-14173
1132638,197991.187899798,-14735
1125782,204630.006676334,-15286
1118464,211614.560160834,-15740
1110602,219165.202404523,-16247
1102240,226939.827454404,-16640
1093356,235271.274358497,-17051
1083904,244027.498135654,-17439
1073759,253362.153776499,-17885
1062680,263856.588666334,-18354
1051063,274531.384889269,-18714
1038203,286424.519585837,-19155
1024416,299238.945962523,-19532
1009211,313339.265793334,-19746
992382,329006.967847981,-19977
973505,346400.009637163,-19928
952318,365477.863397428,-19679
928697,386296.556775825,-19141
902188,407841.527442178,-18057
872424,430656.906865503,-16572
839164,453988.459169929,-13576
802573,475259.257679204,-9809
763111,494668.507191255,-4201
720798,509727.630729986,2439
676977,518415.585330804,10086
632347,519941.205055875,17364
587338,514997.490649209,23511
543640,503801.353528607,28330
501523,487320.930181344,31669
461615,467847.47371804,33654
424021,446357.205807239,34535
389326,424137.490286021,34827
357400,402202.144716482,34765
328008,380461.5451949,34414
300732,359844.7911431,34075
275403,339553.909612306,33854
252349,320216.892648828,33608
230850,301569.555005594,33313
211184,283603.103396583,33143
192936,265759.39600534,32555
176003,248230.80633705,31798
160485,231756.894088557,30950
146247,215649.7943171,29902
133339,200627.752140974,28842
121356,186061.291587552,27630
110328,171960.244498781,26248
100516,159354.984386396,24977
91418,147301.896327452,23744
83324,136144.631146388,22378
75591,125214.795371698,20988
68984,115913.412308041,19872
62847,106890.084957276,18656
57216,98530.1241049021,17573
52214,90963.4677285787,16463
47728,84258.800682736,15579
43483,77738.6914668527,14620
39712,71783.9645484866,13661
36286,66289.9917173975,12755
33081,61041.900361222,11926
30108,56130.9996179887,11111
27378,51562.9547244279,10307
24944,47391.0842425564,9544
22732,43657.1817246207,8933
20726,40097.9521830914,8268
18937,36893.1198492872,7663
17360,34043.9860134928,7128
15925,31391.7136439102,6624
14623,28927.4333229462,6143
13447,26755.6385078199,5694
12325,24605.818492986,5266
11302,22684.0390614233,4885
10391,20940.573742759,4526
9562,19341.9334653699,4210
8793,17875.2592326364,3921
8137,16603.2250246457,3673
7558,15487.0604770664,3460
6983,14383.1533258131,3241
6500,13405.7539003176,3033
6049,12524.0084060917,2869
5638,11738.5838365606,2723
5294,11069.1940823013,2605
4913,10316.2172235484,2456
4610,9714.76242704377,2345
4320,9140.63869327361,2234
4053,8600.08973929905,2116
3781,8042.57100001807,1997
3588,7643.27811563864,1908
3357,7178.00220893147,1807
3174,6804.37430618475,1721
2986,6426.7077795632,1647
2816,6071.52517367468,1564
2660,5757.25543709456,1502
2530,5501.97907586379,1453
2401,5248.46408050985,1405
2291,5026.66721429967,1361
2178,4800.67385123027,1307
2073,4588.68290208092,1259
1981,4394.67717419751,1214
1872,4159.62382398458,1150
1762,3933.43989136516,1099
1668,3746.2332409101,1056
1563,3535.4088290242,1002
1469,3337.28554077377,959
1407,3209.12808219699,924
1316,3016.93953671932,869
1251,2870.79685687659,824
1154,2663.66939801155,768
1084,2511.83836147501,726
1010,2347.84521338744,681
937,2186.34301281119,641
859,2014.8606739069,593
788,1859.56272214562,549
743,1760.15602132622,524
681,1622.74800605587,486
619,1481.50828474356,441
560,1339.29259571782,396
507,1219.31444134615,362
464,1122.58925758808,337
423,1024.38856227823,306
368,897.841368274334,272
326,800.330786352866,244
0,0,0
