Area,Perimeter,Euler
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310720,4367.5472201124,1
1310708,4396.02847182755,-7
1310653,4500.01280860623,-23
1310479,4714.68527481692,-37
1310125,5013.80240849636,-28
1309754,5141.49301980043,-17
1309422,5224.86643478074,-20
1309148,5333.11943323037,-32
1308892,5442.2925828645,-41
1308622,5557.19355743854,-36
1308368,5685.21626299422,-49
1308064,5830.95468377361,-42
1307771,5955.9705496968,-49
1307428,6103.35870329519,-53
1307069,6239.02170097152,-77
1306718,6412.40015877375,-82
1306421,6573.57703677887,-98
1306102,6798.45967911372,-126
1305795,6986.60282903611,-140
1305462,7215.80994957083,-169
1305166,7407.11104042962,-178
1304878,7614.44541712751,-203
1304536,7825.57203162127,-238
1304214,8066.88544717809,-277
1303890,8338.6551698402,-312
1303565,8584.16508225624,-356
1303229,8841.47231540605,-412
1302878,9236.51288639735,-483
1302476,9712.1337222498,-560
1302079,10107.134824995,-626
1301589,10670.4766739909,-732
1301169,11153.1266250678,-784
1300720,11724.1713543938,-865
1300234,12380.8504084152,-922
1299750,12998.3057941934,-973
1299225,13781.0556183436,-1067
1298671,14514.118440367,-1143
1298100,15281.7714781455,-1221
1297535,16004.5451875525,-1301
1296933,16837.5700707626,-1376
1296290,17700.8375715646,-1474
1295611,18661.0766422036,-1602
1294886,19686.8223112953,-1735
1294202,20696.9947701402,-1856
1293455,21809.1996303369,-1987
1292635,23039.2564882112,-2135
1291823,24175.8182680756,-2224
1290959,25408.914662148,-2322
1290103,26631.0222536133,-2433
1289167,27939.4869797281,-2575
1288175,29281.5033656753,-2684
1287194,30614.1180936249,-2761
1286150,32039.1729953789,-2876
1285083,33470.3300894923,-2980
1283946,35056.0623254131,-3128
1282742,36657.1935503134,-3236
1281614,38219.47547439,-3382
1280387,39792.7298527909,-3502
1279165,41419.0986802973,-3636
1277884,43016.7099783659,-3743
1276568,44691.1555434264,-3874
1275236,46403.4282016705,-4041
1273867,48028.8768779924,-4143
1272438,49767.9415868866,-4295
1270973,51567.5772391374,-4453
1269510,53365.6747916271,-4591
1268001,55238.2368732575,-4737
1266433,57190.8238593817,-4932
1264812,59158.7145497106,-5051
1263149,61133.6901717929,-5174
1261503,63151.5700668565,-5305
1259730,65276.4016700851,-5452
1257900,67441.5513140089,-5597
1256041,69611.7781377302,-5729
1254158,71665.8190448757,-5811
1252199,73870.1923570427,-5928
1250152,76145.4679983507,-6062
1248013,78591.9401242379,-6182
1245723,81162.9449204928,-6336
1243464,83623.8005994001,-6478
1241080,86234.9165185172,-6654
1238589,88847.9843730611,-6771
1235988,91621.1183848756,-6877
1233357,94405.5896418317,-6972
1230687,97153.0124320869,-7080
1227864,100018.208283528,-7192
1224926,102909.89398301,-7287
1221888,105923.969847884,-7410
1218930,108694.122944951,-7526
1215846,111555.503438633,-7694
1212667,114485.311662227,-7835
1209376,117383.727079248,-8004
1206080,120362.443678486,-8120
1202622,123357.058810542,-8258
1199194,126236.775772946,-8403
1195818,129089.247380787,-8521
1192457,131856.518814641,-8660
1188832,134966.146554329,-8762
1185258,137835.643764006,-8830
1181592,140786.687629655,-8891
1177841,143734.924801825,-8956
1173930,146825.216985113,-8982
1169988,149946.793146839,-9038
1166092,153029.517202819,-9083
1162071,156172.624437527,-9099
1157910,159419.476394616,-9118
1153576,162561.368047212,-9108
1149231,165864.59725572,-9137
1144718,169231.253145913,-9148
1140066,172447.681492462,-9116
1135234,175914.617994732,-9147
1130335,179405.550592612,-9160
1125232,182823.109067043,-9093
1120151,185971.053867151,-9047
1115057,189207.228800843,-8991
1109786,192401.728587026,-8891
1104552,195736.794329416,-8803
1099080,199053.326261853,-8712
1093703,202087.943688635,-8646
1088095,205297.92817197,-8511
1082417,208402.009079666,-8345
1076711,211554.206193161,-8167
1070640,214782.106537873,-8065
1064497,218068.037833581,-7870
1058101,221588.509392303,-7730
1051487,225097.883320282,-7629
1044595,228777.82340274,-7425
1037307,232584.970900946,-7236
1029671,236532.309987939,-6954
1021870,240557.577714375,-6753
1013458,244819.337639252,-6523
1004770,249130.189737643,-6351
995736,253415.100576678,-6071
986238,257738.233191358,-5727
976298,262215.812966505,-5318
966374,266661.447379633,-5045
955721,271517.081592182,-4792
944852,276018.830522368,-4545
933556,280670.653089972,-4245
921946,285422.207680967,-4028
909649,290837.637890795,-3823
897204,296817.731554944,-3762
883840,303383.759816958,-3654
869820,310790.160628298,-3642
854582,319261.860066302,-3700
838528,328465.413515898,-3582
820791,339177.708223276,-3475
801008,351485.78863155,-2993
778958,365193.229068302,-2194
755014,379214.003904004,-999
728617,393815.965447102,638
699609,408106.877782766,2846
667785,421366.4581491,5757
633986,432734.839405559,9180
597991,441340.981811121,13480
560812,445938.241023541,18609
522740,445549.396286599,23877
484942,439237.766026551,28856
447669,426948.704947458,32402
412205,410238.904225152,34813
379358,390547.700257951,35745
348996,368416.720024,35312
321313,345585.347944919,33757
296570,324120.839138689,31907
275011,304663.075452206,30025
255897,286684.789178548,28024
238753,269956.769230422,25895
223821,255661.556217109,24378
210207,242274.81255062,22955
198164,230590.421187333,21821
187350,220370.893646056,20762
177520,210963.054451313,19902
168709,202357.951282263,19124
160442,194522.548371193,18463
152876,187316.960298682,17890
146005,180897.075878347,17388
139533,174842.702644763,17015
133536,169279.639057095,16741
127710,163883.854539791,16470
122362,158772.327179272,16211
117264,153903.279771573,15966
112591,149552.336865362,15794
108029,145087.547888782,15627
103641,140723.102112489,15476
99542,136693.339653344,15320
95645,132835.638013433,15155
91939,129100.707678014,15006
88207,125355.37659692,14862
84545,121512.574402151,14744
81145,117857.225243916,14547
77778,114312.081019558,14397
74532,110681.246653975,14200
71299,107119.116296027,14000
68298,103624.707206321,13745
65278,100226.395775193,13546
62456,96953.8624881894,13355
59721,93698.4337395129,13154
57121,90462.1962176118,12890
54595,87344.3987503213,12672
52116,84097.6026097616,12357
49749,81045.7323482699,12105
47513,78087.8431652656,11809
45315,75182.4572544706,11540
43172,72258.7839198017,11303
41122,69461.0330588797,11018
39202,66794.0163122184,10787
37347,64070.7598720808,10508
35614,61530.2767760625,10202
33961,59151.000449693,9957
32349,56748.0601219661,9674
30829,54499.2512087371,9403
29442,52429.4465217947,9161
28042,50251.4446529316,8868
26738,48245.8058059112,8629
25504,46368.5708035465,8424
24337,44539.0246279553,8194
23233,42838.5955303715,7993
22138,41064.5921631878,7729
21171,39481.5250960456,7483
20235,37954.1096654468,7295
19359,36580.9141624403,7141
18495,35181.2056914284,6950
17611,33657.7104799661,6716
16844,32397.1155735724,6547
16085,31123.2247149299,6358
15355,29869.1035633934,6169
14667,28683.8538690789,5974
14039,27617.5668931765,5815
13417,26514.8099309038,5625
12779,25380.8343833258,5448
12217,24370.7408609731,5264
11652,23360.7099268298,5102
11091,22324.9119545983,4905
10586,21390.7257763725,4733
10050,20385.8441868386,4556
9603,19557.1900217549,4390
9114,18655.293681323,4211
8666,17799.7127125682,4049
8232,16970.2173327922,3879
7799,16177.1524711404,3738
7403,15407.317460139,3574
7000,14657.9191496686,3417
6628,13933.0751000965,3255
6255,13211.412111424,3109
5907,12543.4747487532,2973
5579,11904.2486755937,2844
5231,11228.4409830062,2712
4929,10623.0591956845,2581
4627,9999.97804142196,2433
4376,9500.24667198079,2333
4137,9021.60264821305,2229
3907,8554.31898955011,2134
3692,8130.97138811087,2049
0,0,0
